"FocalAOU","ENV","COMP","SHARED","NONE","n","COMPSC","Focal","Comp"
2881,0.0308230102989196,0.00229438984822783,0.00804708027152633,0.958835519581326,136,0.0692804941823145,"Gray Partridge","Ruffed Grouse"
2890,0.0730416235338608,0.00388452675846708,-0.00314296917308602,0.926216818880758,784,0.0504968303197995,"Northern Bobwhite","Scaled Quail"
2940,0.0824058288603782,0.0194262225388748,0.00866118851997981,0.889506760080767,138,0.190767270932315,"California Quail","Mountain Quail"
3120,0.150922594236956,0.0627457519253024,0.0831892911849403,0.703142362652801,114,0.293659557217023,"Band-tailed Pigeon","Mourning Dove"
3160,0.0913693077350848,0.0403128445668598,-0.0037339356741386,0.872051783372194,1704,0.306137497467563,"Mourning Dove","Band-tailed Pigeon"
3190,0.0258859239593418,0.335828892860517,0.0720476564562968,0.566237526723844,152,0.928435544369106,"White-winged Dove","Mourning Dove"
3200,0.0709499533655298,0.185276989994055,0.0494906506653325,0.694282405975083,110,0.72309721828918,"Common Ground-Dove","Mourning Dove"
3870,0.0979479081737711,0.0284116152339157,0.161575452377037,0.712065024215276,1052,0.224847439019284,"Yellow-billed Cuckoo","Black-billed Cuckoo"
3880,0.0323255989124527,0.105398537991555,-0.000462857601576494,0.862738720697569,608,0.765287337142774,"Black-billed Cuckoo","Yellow-billed Cuckoo"
3930,0.00683538573374869,0.0635082913155162,0.0186572838631019,0.910999039087633,1318,0.902828711542026,"Hairy Woodpecker","Red-headed Woodpecker"
3940,0.1369288052044,0.000402017663901855,0.0554227698706891,0.807246407261009,1474,0.00292736659917478,"Downy Woodpecker","Red-naped Sapsucker"
3960,0.125656838222789,0.0514697139536801,-0.0254647875380432,0.848338235361574,118,0.290581583174506,"Ladder-backed Woodpecker","Downy Woodpecker"
4020,0.0197956430191254,0.461874157943257,0.0852367480077614,0.433093451029856,380,0.95890204663117,"Yellow-bellied Sapsucker","Hairy Woodpecker"
4021,0.175986813591179,0.0263861693492718,0.00250547495300279,0.795121542106547,160,0.130383853446663,"Red-naped Sapsucker","Williamson's Sapsucker"
4060,0.0431815506835018,0.0792778235378724,-0.0247146956165969,0.902255321395223,774,0.64738060309339,"Red-headed Woodpecker","Northern Flicker"
4090,0.0114061608228839,0.34057333525058,0.137068594648857,0.51095190927768,1020,0.967594246397514,"Red-bellied Woodpecker","Northern Flicker"
4120,0.0406695072353932,0.0768818308716565,0.0295405500291925,0.852908111863758,1192,0.65402769640651,"Northern Flicker","Red-headed Woodpecker"
4290,0.0303738350768428,0.00116257601612461,0.00397673917386197,0.964486849733171,176,0.0368645630822545,"Black-chinned Hummingbird","Broad-tailed Hummingbird"
4320,0.183680530261505,0.0414469344424903,0.0605384433953465,0.714334091900658,148,0.184104300632471,"Broad-tailed Hummingbird","Black-chinned Hummingbird"
