,AOU,Variables,Estimate,Q2.5,Q97.5
182,7240,,-0.803321935,-1.444124385,-0.26421401
183,7260,,-3.36517263,-3.996558017,-2.843741009
184,7270,,-1.720209988,-2.342083171,-1.203703948
185,7280,,-2.859891073,-3.491118878,-2.338114072
186,7290,,-3.166774048,-3.805292441,-2.626114656
187,7310,,0.990106654,0.352967633,1.551658079
188,7350,,-0.388187317,-1.014717819,0.133401892
189,7360,,1.137340044,0.493533901,1.675062696
190,7380,,-2.982565146,-3.655167925,-2.390666099
191,7430,,-0.391815152,-1.061592503,0.198025458
192,7480,,-3.51816118,-4.162164935,-2.968143565
193,7510,,-2.891291237,-3.566870293,-2.280262962
194,7540,,-1.812572793,-2.446173939,-1.276583235
195,7550,,2.371205163,1.723464793,2.924902633
196,7560,,19.92903026,18.6937799,21.2016791
197,7580,,-2.276382153,-2.912274491,-1.750351031
198,7590,,-2.545031706,-3.174866463,-2.023349781
199,7610,,1.581485009,0.960540191,2.110115909
200,7660,,0.587703502,-0.046172061,1.11521874
201,7670,,-0.738476006,-1.396460812,-0.16582002
202,7680,,-0.875357769,-1.523399891,-0.339610951
203,2881,Competitors,1.90373866,1.368771441,2.483346551
204,2890,Competitors,2.16273674,1.663650578,2.736076251
205,2940,Competitors,1.753511897,1.264336707,2.320456845
206,3000,Competitors,2.1429061,1.652852049,2.724111992
207,3120,Competitors,1.010072581,0.522653369,1.581479801
208,3160,Competitors,1.594709692,1.119295607,2.157936549
209,3190,Competitors,-4.19940168,-4.993345864,-3.398057272
210,3200,Competitors,-1.119169435,-2.007044553,-0.243835091
211,3870,Competitors,1.327822044,0.850831442,1.895335316
212,3880,Competitors,1.776630995,1.305547233,2.340515301
213,3930,Competitors,1.93292849,1.45564024,2.496542007
214,3940,Competitors,1.821730622,1.344500519,2.390697661
215,3960,Competitors,2.206165958,1.728676896,2.774474523
216,4020,Competitors,-1.798643362,-2.320986948,-1.211302134
217,4021,Competitors,1.707106705,1.223672427,2.274624219
218,4060,Competitors,1.772948776,1.289524387,2.338388851
219,4090,Competitors,-2.350405964,-2.862698419,-1.764087377
220,4120,Competitors,1.142231356,0.666493245,1.705455676
221,4290,Competitors,2.030672242,1.547026934,2.594912592
222,4320,Competitors,1.744197122,1.246575656,2.322289923
223,4330,Competitors,1.818461888,1.328913048,2.397740146
224,4430,Competitors,-1.98736819,-2.666265512,-1.230891773
225,4440,Competitors,-2.027826595,-2.525696349,-1.450720055
226,4470,Competitors,-0.248871769,-0.742977327,0.328427547
227,4480,Competitors,1.566856085,1.074821837,2.145570913
228,4520,Competitors,-1.326687146,-1.840222425,-0.740518421
229,4540,Competitors,0.59814306,0.111238634,1.172006196
230,4560,Competitors,-3.311912493,-3.844425261,-2.713379993
231,4570,Competitors,1.982277567,1.509844068,2.547744409
232,4590,Competitors,2.248115628,1.77545417,2.811641091
233,4610,Competitors,-3.616714536,-4.159379398,-3.014231552
234,4620,Competitors,-2.21813753,-2.732311956,-1.617566814
235,4640,Competitors,1.582039155,1.094342538,2.156030051
236,4641,Competitors,-0.846621788,-1.451169453,-0.208116862
237,4650,Competitors,0.677659032,0.194196933,1.238299868
238,4660,Competitors,1.588144006,1.118871814,2.153802011
239,4670,Competitors,-4.277727543,-4.844839443,-3.651636673
240,4680,Competitors,1.368013984,0.894775876,1.935513968
241,4690,Competitors,1.747195617,1.266606952,2.324258447
242,4691,Competitors,2.028061356,1.54777551,2.602675649
243,4750,Competitors,0.705207906,0.227511932,1.273290421
244,4770,Competitors,0.800619036,0.301758951,1.378836799
245,4780,Competitors,1.252750797,0.772120844,1.825772747
246,4812,Competitors,0.046026525,-0.52564373,0.667422059
247,4840,Competitors,1.999468166,1.518689681,2.566679694
248,4880,Competitors,0.741116831,0.262905746,1.311388339
249,4900,Competitors,-1.716071049,-2.315254012,-1.06318516
250,4910,Competitors,1.908694186,1.429677016,2.474688931
251,4940,Competitors,-4.025991946,-4.679102626,-3.335693695
252,4950,Competitors,1.638174607,1.161987487,2.211427052
253,4970,Competitors,0.889252604,0.404018132,1.460599722
254,4980,Competitors,-0.059994665,-0.541079816,0.51079447
255,5010,Competitors,-4.279689329,-4.845901965,-3.647929623
256,5011,Competitors,-0.757632766,-1.256903703,-0.179833503
257,5060,Competitors,-2.284592938,-2.842407897,-1.652122104
258,5070,Competitors,-0.393114176,-0.999175775,0.245432044
259,5080,Competitors,1.965249262,1.472061078,2.542435684
260,5100,Competitors,0.015561816,-0.481916676,0.58839346
261,5110,Competitors,0.478675446,-0.006866413,1.047488207
262,5120,Competitors,0.806616078,0.310952282,1.393843974
263,5170,Competitors,-1.274979067,-1.79637843,-0.681529295
264,5180,Competitors,1.127478804,0.647210038,1.697135379
265,5190,Competitors,1.592444693,1.123808413,2.156511977
266,5210,Competitors,1.284375592,0.804371265,1.854768705
267,5220,Competitors,2.18829122,1.695572752,2.777753978
268,5290,Competitors,1.20600693,0.730825634,1.770804487
269,5300,Competitors,1.450329048,0.960760801,2.020580323
270,5330,Competitors,2.269996822,1.794781937,2.835945567
271,5400,Competitors,1.052752505,0.578486901,1.618425896
272,5460,Competitors,1.143247571,0.673263229,1.707791044
273,5480,Competitors,-1.302683067,-2.084093264,-0.496118205
274,5520,Competitors,1.270862316,0.798368054,1.841843791
275,5540,Competitors,1.803324955,1.326827934,2.371971453
276,5580,Competitors,-17.67391433,-19.32964044,-16.05521299
277,5600,Competitors,-0.869146174,-1.36624775,-0.297177269
278,5610,Competitors,-11.24907406,-12.47189212,-10.04703633
279,5620,Competitors,1.003063181,0.516739736,1.573737139
280,5630,Competitors,-2.301008383,-2.822132557,-1.690420137
281,5730,Competitors,1.255764297,0.76242064,1.823654579
282,5780,Competitors,-0.613418593,-1.163381306,-0.009738404
283,5810,Competitors,-5.074716328,-5.646626103,-4.442490487
284,5840,Competitors,2.283411231,1.809045123,2.843436958
285,5850,Competitors,1.739686766,1.263066851,2.311935084
286,5870,Competitors,1.148343164,0.672245998,1.718220401
287,5880,Competitors,1.37008683,0.890793404,1.938534799
288,5900,Competitors,0.776846312,0.293614901,1.349186802
289,5930,Competitors,-0.88235225,-1.406818235,-0.285425878
290,5950,Competitors,1.367320451,0.89700988,1.933103756
291,5960,Competitors,1.235389255,0.762865889,1.802246033
292,5970,Competitors,1.491860286,1.01173938,2.061860397
293,5980,Competitors,-0.303122702,-0.796306037,0.274299239
294,5990,Competitors,1.987353044,1.511057156,2.548425292
295,6010,Competitors,-10.11438279,-11.61237909,-8.655736094
296,6040,Competitors,0.947007364,0.473712162,1.509881336
297,6050,Competitors,0.477752274,-0.017963918,1.041416266
298,6070,Competitors,2.268958116,1.76943709,2.838380694
299,6080,Competitors,1.720928808,1.248101209,2.282180864
300,6100,Competitors,1.611914596,1.102630462,2.191322041
301,6120,Competitors,0.508516581,0.033675807,1.078589371
302,6130,Competitors,1.661212565,1.187946965,2.227441405
303,6140,Competitors,0.781668992,0.309653477,1.349539411
304,6150,Competitors,1.466478666,0.990451632,2.026656817
305,6160,Competitors,1.233076889,0.760451673,1.803894721
306,6170,Competitors,1.92807642,1.454530791,2.487273563
307,6190,Competitors,1.862598268,1.090890468,2.655517652
308,6220,Competitors,2.062203935,1.30545069,2.850729202
309,6240,Competitors,-0.296628654,-0.774288537,0.274858075
310,6270,Competitors,1.161709687,0.688843169,1.723596692
311,6280,Competitors,1.557350106,1.061182304,2.129665684
312,6290,Competitors,-2.522927935,-3.125335048,-1.860293738
313,6291,Competitors,1.443661637,0.946948086,2.030462076
314,6292,Competitors,1.829528373,1.352282953,2.399932128
315,6310,Competitors,0.959412986,0.479450256,1.527736262
316,6330,Competitors,2.045601225,1.562831321,2.616229167
317,6360,Competitors,2.019218033,1.545054089,2.583074257
318,6370,Competitors,1.547791543,1.075737215,2.116458308
319,6380,Competitors,1.891152289,1.383993885,2.47898892
320,6390,Competitors,-1.066797856,-1.703033578,-0.395955234
321,6410,Competitors,-0.460070664,-1.258196377,0.37755066
322,6450,Competitors,-2.521244405,-3.093411686,-1.894524539
323,6460,Competitors,1.183675565,0.698358781,1.752928296
324,6480,Competitors,0.227914786,-0.262516114,0.795474907
325,6520,Competitors,1.10396341,0.633024871,1.670154669
326,6540,Competitors,0.595227911,0.09077802,1.178833403
327,6570,Competitors,-0.329738476,-0.8289105,0.257697302
328,6590,Competitors,-13.23254143,-14.28091279,-12.18049905
329,6620,Competitors,-9.181692088,-10.0783849,-8.258465783
330,6630,Competitors,1.633806771,1.160746947,2.194111827
331,6650,Competitors,1.489085343,1.009067043,2.05696092
332,6670,Competitors,-14.40593021,-15.51977568,-13.28600574
333,6710,Competitors,-3.567701935,-4.109543266,-2.952149118
334,6730,Competitors,-2.130978766,-2.774478955,-1.43399684
335,6740,Competitors,-7.974127882,-8.627273249,-7.279540647
336,6760,Competitors,2.443209897,1.960898505,3.015007789
337,6770,Competitors,1.871300054,1.397856314,2.431291879
338,6790,Competitors,-6.226695283,-7.127987472,-5.314845699
339,6800,Competitors,0.891417322,0.388968414,1.480209276
340,6810,Competitors,1.514768004,1.042931878,2.083074386
341,6830,Competitors,2.009890899,1.538204044,2.575455364
342,6840,Competitors,-2.551584934,-3.097512678,-1.942821798
343,6850,Competitors,-0.149574284,-0.655256345,0.430495247
