"FocalAOU","Competition_Est.x","Competition_P.x","Competition_R2.x","EnvZ_R2.x","BothZ_P.x","BothZ_R2.x","Competition_Est.y","Competition_P.y","Competition_R2.y","EnvZ_R2.y","BothZ_P.y","BothZ_R2.y","Focal_Common_Name","PRIMARY_COM_NAME"
3000,0.382336307385827,0.484965097218814,0.000911983092533512,0.0538077529407412,0.734069705412976,0.0540135698055984,0.257858914386562,0.692177923896846,0.000293198691326055,0.0567928745174104,0.279659908958226,0.0588685607334001,"Ruffed Grouse",NA
2940,-1.24404068103046,0.14340492969595,0.010414949577772,0.380774819089619,0.0132578868302902,0.399433172145451,-7.52182189626586,0.0157897762803143,0.0280874110588546,0.091068111167402,0.0374080321114621,0.110494537834633,NA,NA
2890,-1.80628823801944,0.0175725350384212,0.00479313637062961,0.192943830517067,0.913592420966171,0.192951955603605,-2.75500015172948,0.350805650711002,0.00074155758538107,0.0698986637976956,0.0269409481658978,0.0737831885403679,"Northern Bobwhite",NA
2881,-0.503594467796727,0.338225717670928,0.00454122714697675,0.203454697916353,0.799627860282785,0.20371450605393,-0.632621943379319,0.147813928264983,0.0103414701197543,0.0388703127577504,0.492055803103853,0.0411646745203377,"Gray Partridge","Ruffed Grouse"
3190,-14.2968204741633,6.27704211328724e-52,0.639155121793953,0.338067219617382,1.23217929788476e-39,0.697617243211755,-154.495703464312,1.58126125115415e-27,0.407876549316813,0.0979344684216099,3.09771797422159e-24,0.433762532658814,"White-winged Dove","Mourning Dove"
3160,1.72141579811608,0.000411376551894915,0.0048754065082662,0.248331422254533,1.82098325243371e-08,0.257612862400618,51.7933724804399,2.25367489537203e-11,0.0173672578491884,0.0876353747418374,2.09728811822114e-25,0.125645720111585,"Mourning Dove","White-winged Dove"
3200,-2.46109078753578,0.00126245936206493,0.0619742427828652,0.248690505051672,0.168996791844031,0.257604587932393,-2.61437325672983,0.0281060247071178,0.0292348695309626,0.120441282795073,0.227328339439358,0.128492204985175,"Common Ground-Dove","Inca Dove"
3880,-1.13063222812649,1.70444205867695e-18,0.0811828075059216,0.255633228661735,9.52320026794944e-05,0.268047502426697,-1.25653704288922,1.00357249214979e-23,0.104935680389978,0.0318627477349904,1.67827990576264e-24,0.137261282195981,"Black-billed Cuckoo","Yellow-billed Cuckoo"
3870,-6.20095242004275,1.91759271474628e-131,0.31458962109336,0.467102752304862,4.64177160188707e-28,0.506472876415057,-6.92361388171709,3.58281355091102e-74,0.189987067610953,0.259523381402326,4.46185076776799e-15,0.287934986474513,"Yellow-billed Cuckoo","Black-billed Cuckoo"
4120,-1.89216183510306,2.96019120910167e-10,0.02198967210903,0.169809644298129,1.25430164583042e-18,0.205200608855714,-2.31755549784194,2.47368361210058e-28,0.0659742174465515,0.0702100597520543,2.14899883873031e-34,0.14508701669722,"Northern Flicker","Hairy Woodpecker"
