FocalAOU,Competitor Estimate,Competior P-value,Competitor R2,Environment R2,Competitor_Environmnent P-value,Competitor_Environmnent R2,Focal Common Name,Competitor Common Name
3000,0.257858914,0.692177924,0.000293199,0.056792875,0.279659909,0.058868561,Ruffed Grouse,NA
2940,-7.5218218,0.015789777,0.028087411,0.091068116,0.037408041,0.110494541,California Quail,NA
2890,-2.755000139,0.350805653,0.000741558,0.069898664,0.026940948,0.073783188,Northern Bobwhite,Scaled Quail
2881,-0.632621943,0.147813928,0.01034147,0.038870312,0.492055801,0.041164673,Gray Partridge,Ruffed Grouse
3190,-154.4957065,1.58E-27,0.407876555,0.097934453,3.10E-24,0.433762551,White-winged Dove,Mourning Dove
3160,51.79337248,2.25E-11,0.017367258,0.087635374,2.10E-25,0.125645719,Mourning Dove,White-winged Dove
3200,-2.614373187,0.028106027,0.029234869,0.120441273,0.227328395,0.128492193,Common Ground-Dove,Inca Dove
3880,-1.256537038,1.00E-23,0.104935681,0.031862747,1.68E-24,0.137261284,Black-billed Cuckoo,Yellow-billed Cuckoo
3870,-6.923613882,3.58E-74,0.189987067,0.259523381,4.46E-15,0.287934987,Yellow-billed Cuckoo,Black-billed Cuckoo
4120,-2.317555504,2.47E-28,0.065974218,0.070210062,2.15E-34,0.145087019,Northern Flicker,Hairy Woodpecker
4020,-17.79829082,9.05E-100,0.547110903,0.105032436,5.96E-91,0.566906554,Yellow-bellied Sapsucker,Hairy Woodpecker
4090,-7.921680233,1.18E-13,0.035392619,0.148474783,4.36E-19,0.191875818,Red-bellied Woodpecker,Red-headed Woodpecker
3960,-1.338988836,0.032010144,0.026004923,0.100192459,0.001529318,0.151662083,Ladder-backed Woodpecker,Downy Woodpecker
3940,-0.860994528,5.84E-12,0.021225732,0.192351572,5.86E-19,0.220822745,Downy Woodpecker,Yellow-bellied Sapsucker
4021,-0.822153641,0.008321738,0.028891647,0.178492566,0.005762864,0.204878779,Red-naped Sapsucker,Williamson's Sapsucker
4060,-1.787040308,7.48E-16,0.054563122,0.018466848,6.17E-23,0.097744668,Red-headed Woodpecker,Northern Flicker
4320,-12.43759074,1.18E-06,0.101985377,0.244219761,0.000489696,0.285666442,Broad-tailed Hummingbird,Black-chinned Hummingbird
4290,-0.234719998,0.245733214,0.005139315,0.034350653,0.577559709,0.035513216,Black-chinned Hummingbird,Broad-tailed Hummingbird
4330,-3.25493658,1.67E-08,0.1617335,0.262106404,0.142564251,0.271040575,Rufous Hummingbird,Calliope Hummingbird
4470,-17.14688543,6.68E-14,0.063537982,0.132963134,3.57E-20,0.215008869,Western Kingbird,Say's Phoebe
4520,-13.3098179,5.85E-99,0.227345511,0.01641588,4.64E-115,0.272383147,Great Crested Flycatcher,Eastern Kingbird
4440,-4.949117406,4.85E-29,0.059635192,0.048731967,3.48E-61,0.16814064,Eastern Kingbird,Great Crested Flycatcher
4430,-21.8340567,5.98E-37,0.438384661,0.416948381,1.12E-18,0.560443091,Scissor-tailed Flycatcher,Eastern Kingbird
4560,-5.068192726,4.21E-57,0.143404905,0.045567528,3.20E-70,0.212303086,Eastern Phoebe,Great Crested Flycatcher
4570,-2.08493126,1.46E-10,0.07437404,0.073843904,1.34E-13,0.165211978,Say's Phoebe,Western Kingbird
4590,-1.101746008,0.000457597,0.021186402,0.075468056,0.000127928,0.098982584,Olive-sided Flycatcher,Western Kingbird
4540,-16.99100402,1.26E-12,0.140248286,0.052606651,1.38E-13,0.197609689,Ash-throated Flycatcher,Say's Phoebe
4610,-7.379452614,8.07E-71,0.173958364,0.128537221,3.46E-81,0.300901934,Eastern Wood-Pewee,Eastern Phoebe
4480,-10.12128362,7.30E-05,0.099247524,0.122856678,7.03E-07,0.258472633,Cassin's Kingbird,Ash-throated Flycatcher
