Focal AOU,Focal Common Name,Environment Occupancy ,Competition Occupancy,Shared Occupancy,None Occupancy,Total Variance Occupancy,Environment Abundance,Competition Abundance,Shared Abundance,None Abundance,Total Variance Abundance,Rc,n
2881,Gray Partridge,0.199173279,0.000259808,0.004281419,0.796285494,0.203714506,0.030823204,0.002294362,0.008047108,0.958835325,0.041164675,0.001302733,204
2890,Northern Bobwhite,0.188158819,8.13E-06,0.004785011,0.807048044,0.192951956,0.073041631,0.003884525,-0.003142967,0.926216811,0.073783189,4.32E-05,1176
2940,California Quail,0.389018223,0.018658353,-0.008243403,0.600566828,0.399433172,0.082407127,0.019426427,0.008660984,0.889505462,0.110494538,0.045767538,207
3000,Ruffed Grouse,0.05379177,0.000474341,1.60E-05,0.945717906,0.054282094,0.056954167,0.000166256,-0.000161292,0.943040869,0.056959131,0.008741023,537
3120,Band-tailed Pigeon,0.200629408,0.139955074,0.170621098,0.488794421,0.511205579,0.104922329,0.07959588,0.129190432,0.686291359,0.313708641,0.410926161,171
3160,Mourning Dove,0.242818943,0.009078746,0.005512479,0.742589831,0.257410169,0.075913447,0.030692572,0.011721928,0.881672053,0.118327947,0.036041404,2556
3190,White-winged Dove,0.051498876,0.338074653,0.286568343,0.323858127,0.676141873,0.023964682,0.380737071,0.073969786,0.521328461,0.478671539,0.867807044,228
3200,Common Ground-Dove,0.171252837,0.102065696,0.077437668,0.649243799,0.350756201,0.078435831,0.173560384,0.042005452,0.705998333,0.294001667,0.373431304,165
3870,Yellow-billed Cuckoo,0.191883255,0.039370124,0.275219497,0.493527124,0.506472876,0.097947919,0.028411605,0.161575463,0.712065014,0.287934986,0.170246697,1578
3880,Black-billed Cuckoo,0.186864695,0.012414274,0.068768534,0.731952498,0.268047502,0.032325602,0.105398534,-0.000462854,0.862738718,0.137261282,0.062295955,912
3930,Hairy Woodpecker,0.027305344,0.000698175,0.013607649,0.958388831,0.041611169,0.012533019,0.032855224,0.012959651,0.941652106,0.058347894,0.024931702,1977
3940,Downy Woodpecker,0.321037512,0.004293716,0.005249034,0.669419737,0.330580263,0.231750359,0.047299457,-0.039398778,0.760348961,0.239651039,0.013197984,2211
3960,Ladder-backed Woodpecker,0.057948674,0.0529416,-0.014191756,0.903301482,0.096698518,0.10558991,0.064496273,-0.005397464,0.835311281,0.164688719,0.477423294,177
4020,Yellow-bellied Sapsucker,0.021276231,0.479070309,0.092229402,0.407424058,0.592575942,0.037136247,0.640297473,0.067896187,0.254670093,0.745329907,0.957477009,570
4021,Red-naped Sapsucker,0.14235768,0.016262581,1.82E-05,0.841361558,0.158638442,0.175987084,0.026386204,0.00250544,0.795121272,0.204878728,0.102525246,240
4060,Red-headed Woodpecker,0.06911592,0.01241643,-0.012119558,0.930587209,0.069412791,0.043726543,0.030669402,-0.025259686,0.950863742,0.049136258,0.152288385,1161
4090,Red-bellied Woodpecker,0.042568915,0.292502496,0.339634707,0.325293883,0.674706117,0.007407274,0.493383009,0.1410675,0.358142217,0.641857783,0.872955695,1530
4120,Northern Flicker,0.165382004,0.066336954,0.004427641,0.763853402,0.236146598,0.073209725,0.133764305,-0.002999665,0.796025635,0.203974365,0.286281945,1788
4290,Black-chinned Hummingbird,0.061908773,0.000685749,0.002735688,0.93466979,0.06533021,0.030373896,0.001162564,0.003976752,0.964486789,0.035513211,0.01095541,264
4320,Broad-tailed Hummingbird,0.319170586,0.009180574,0.069502977,0.602145863,0.397854137,0.18368108,0.04144667,0.060538708,0.714333543,0.285666457,0.02795962,222
4330,Rufous Hummingbird,0.205228874,0.004420553,0.164057853,0.626292719,0.373707281,0.109307055,0.008934171,0.152799299,0.728959475,0.271040525,0.021085454,183
4430,Scissor-tailed Flycatcher,0.061143947,0.101429378,0.379041563,0.458385112,0.541614888,0.034901029,0.271390788,0.382047329,0.311660854,0.688339146,0.623899263,282
4440,Eastern Kingbird,0.058255154,0.26391948,0.070432892,0.607392474,0.392607526,0.012363227,0.304824376,0.036368727,0.64644367,0.35355633,0.819181437,2037
4470,Western Kingbird,0.052704751,0.201272176,0.229283398,0.516739675,0.483260325,0.001665453,0.376064924,0.131297683,0.490971941,0.509028059,0.79248213,858
4480,Cassin's Kingbird,0.224592017,0.060239133,0.005361347,0.709807504,0.290192496,0.15922507,0.135615935,-0.036368412,0.741527408,0.258472592,0.211490677,153
4520,Great Crested Flycatcher,0.078778229,0.19511848,0.030144846,0.695958445,0.304041555,0.020087679,0.51157355,-0.003671799,0.47201057,0.52798943,0.712379791,1731
4540,Ash-throated Flycatcher,0.088990018,0.105708022,-0.042890348,0.848192309,0.151807691,0.065378931,0.060348452,-0.01277228,0.887044898,0.112955102,0.542933159,336
