FocalAOU,Competitor Estimate,Competior P-value,Competitor R2,Environment R2,Competitor_Environmnent P-value,Competitor_Environmnent R2,Focal Common Name,Competitor Common Name
3000,0.382336308,0.484965096,0.000911983,0.053807754,0.734069717,0.054013571,Ruffed Grouse,NA
2940,-1.244040745,0.143404906,0.010414951,0.380774833,0.013257889,0.399433185,California Quail,NA
2890,-1.806288232,0.017572536,0.004793136,0.192943832,0.913592426,0.192951957,Northern Bobwhite,Scaled Quail
2881,-0.503594456,0.338225728,0.004541227,0.203454695,0.79962784,0.203714503,Gray Partridge,Ruffed Grouse
3190,-14.29682065,6.28E-52,0.639155118,0.338067226,1.23E-39,0.697617246,White-winged Dove,Mourning Dove
3160,1.721415799,0.000411377,0.004875407,0.248331421,1.82E-08,0.257612861,Mourning Dove,White-winged Dove
3200,-2.461090837,0.001262459,0.061974246,0.248690483,0.168996812,0.257604565,Common Ground-Dove,Inca Dove
3880,-1.130632214,1.70E-18,0.081182805,0.255633231,9.52E-05,0.268047504,Black-billed Cuckoo,Yellow-billed Cuckoo
3870,-6.200952433,1.92E-131,0.314589622,0.467102755,4.64E-28,0.506472879,Yellow-billed Cuckoo,Black-billed Cuckoo
4120,-1.89216184,2.96E-10,0.021989672,0.169809646,1.25E-18,0.20520061,Northern Flicker,Hairy Woodpecker
4020,-10.99109957,2.05E-90,0.511485085,0.113505634,5.39E-82,0.538517939,Yellow-bellied Sapsucker,Hairy Woodpecker
4090,-1.522868268,0.000174077,0.009183145,0.38220363,7.81E-09,0.395569095,Red-bellied Woodpecker,Red-headed Woodpecker
3960,-3.172393585,0.000121392,0.081161713,0.043756906,5.53E-07,0.174510722,Ladder-backed Woodpecker,Downy Woodpecker
3940,-0.593613131,0.00170467,0.004447013,0.326286542,2.14E-07,0.334458268,Downy Woodpecker,Yellow-bellied Sapsucker
4021,-1.106185143,0.048328564,0.016280764,0.142375861,0.034489804,0.158638446,Red-naped Sapsucker,Williamson's Sapsucker
4060,-1.994613777,3.76E-12,0.040791633,0.056996354,9.13E-21,0.125705667,Red-headed Woodpecker,Northern Flicker
4320,-3.791316731,2.22E-05,0.07868355,0.388673544,0.070953191,0.397854124,Broad-tailed Hummingbird,Black-chinned Hummingbird
4290,-0.304411624,0.343791417,0.003421436,0.064644474,0.66387236,0.065330222,Black-chinned Hummingbird,Broad-tailed Hummingbird
