FocalAOU,Focal Common Name,Family,Competitor Common Name,CompAOU,Overlap
4560,Eastern Phoebe,Tyrannidae,Gray Flycatcher,4691,no
4560,Eastern Phoebe,Tyrannidae,Dusky Flycatcher,4690,no
4670,Least Flycatcher,Tyrannidae,Northern Beardless-Tyrannulet,4720,no
4940,Bobolink,Icteridae,Boat-tailed/Great-tailed Grack,5135,no
5610,Clay-colored Sparrow,Emberizidae,Nelson's/Saltmarsh Sharp-tailed Sparrow,5499,no
5930,Northern Cardinal,Cardinalidae,Grayish Saltator,18530,no
5930,Northern Cardinal,Cardinalidae,Pyrrhuloxia,5940,no
5930,Northern Cardinal,Cardinalidae,Cardinal/Pyrrhuloxia,5935,no
5950,Rose-breasted Grosbeak,Cardinalidae,Grayish Saltator,18530,no
5960,Black-headed Grosbeak,Cardinalidae,Grayish Saltator,18530,no
5970,Blue Grosbeak,Cardinalidae,Grayish Saltator,18530,no
5980,Indigo Bunting,Cardinalidae,Grayish Saltator,18530,no
6010,Painted Bunting,Cardinalidae,Grayish Saltator,18530,no
6040,Dickcissel,Cardinalidae,Grayish Saltator,18530,no
6110,Purple Martin,Hirundinidae,Common House-Martin,6152,no
6120,Cliff Swallow,Hirundinidae,Common House-Martin,6152,no
6130,Barn Swallow,Hirundinidae,Common House-Martin,6152,no
6140,Tree Swallow,Hirundinidae,Common House-Martin,6152,no
6170,Northern Rough-winged Swallow,Hirundinidae,Common House-Martin,6152,no
6240,Red-eyed Vireo,Vireonidae,Cassin's Vireo,6292,no
7040,Gray Catbird,Mimidae,Bahama Mockingbird,7031,no
7040,Gray Catbird,Mimidae,Curve-billed Thrasher,7070,no
7070,Curve-billed Thrasher,Mimidae,Gray Catbird,7040,no
2890,Northern Bobwhite,Odontophoridae,Mountain Quail,2920,no
2890,Northern Bobwhite,Odontophoridae,California Quail,2940,no
2890,Northern Bobwhite,Odontophoridae,Gambel's Quail,2950,no
2890,Northern Bobwhite,Odontophoridae,Montezuma Quail,2960,no
2930,Scaled Quail,Odontophoridae,Mountain Quail,2920,no
2930,Scaled Quail,Odontophoridae,California Quail,2940,no
2940,California Quail,Odontophoridae,Scaled Quail,2930,no
2940,California Quail,Odontophoridae,Gambel's Quail,2950,no
2940,California Quail,Odontophoridae,Northern Bobwhite,2890,no
2940,California Quail,Odontophoridae,Montezuma Quail,2960,no
2950,Gambel's Quail,Odontophoridae,Mountain Quail,2920,no
2950,Gambel's Quail,Odontophoridae,California Quail,2940,no
2950,Gambel's Quail,Odontophoridae,Northern Bobwhite,2890,no
3131,Rock Pigeon,Columbidae,White-crowned Pigeon,3140,no
3131,Rock Pigeon,Columbidae,Spotted Dove,3151,no
3131,Rock Pigeon,Columbidae,Zenaida Dove,3170,no
3131,Rock Pigeon,Columbidae,Ruddy Ground-Dove,3201,no
3131,Rock Pigeon,Columbidae,White-tipped Dove,3180,no
