"FocalAOU","FocalSciName","CompAOU","CompSciName","Estimate","P","R2"
3870,"Coccyzus americanus",3850,"Geococcyx californianus",0.0113690430816314,0.174049516782051,0.0397917932336014
3880,"Coccyzus erythropthalmus",3870,"Coccyzus americanus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4070,"Melanerpes formicivorus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4090,"Melanerpes carolinus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4050,"Dryocopus pileatus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4040,"Sphyrapicus thyroideus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4000,"Picoides arcticus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4100,"Melanerpes aurifrons",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4110,"Melanerpes uropygialis",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",3970,"Dryobates nuttallii",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4010,"Picoides tridactylus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",3960,"Dryobates scalaris",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",3990,"Leuconotopicus albolarvatus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4021,"Sphyrapicus nuchalis",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",3975,"Picoides arizonae",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4140,"Colaptes chrysoides",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",3950,"Leuconotopicus borealis",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",3940,"Dryobates pubescens",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4080,"Melanerpes lewis",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4020,"Sphyrapicus varius",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4060,"Melanerpes erythrocephalus",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4030,"Sphyrapicus ruber",0.0113690430816314,0.174049516782051,0.0397917932336014
3930,"Leuconotopicus villosus",4120,"Colaptes auratus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4120,"Colaptes auratus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4021,"Sphyrapicus nuchalis",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",3960,"Dryobates scalaris",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",3950,"Leuconotopicus borealis",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4040,"Sphyrapicus thyroideus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4000,"Picoides arcticus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",3990,"Leuconotopicus albolarvatus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4050,"Dryocopus pileatus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",3930,"Leuconotopicus villosus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4070,"Melanerpes formicivorus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4020,"Sphyrapicus varius",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4090,"Melanerpes carolinus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4080,"Melanerpes lewis",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4060,"Melanerpes erythrocephalus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",3970,"Dryobates nuttallii",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4010,"Picoides tridactylus",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4100,"Melanerpes aurifrons",0.0113690430816314,0.174049516782051,0.0397917932336014
3940,"Dryobates pubescens",4030,"Sphyrapicus ruber",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4090,"Melanerpes carolinus",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4050,"Dryocopus pileatus",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",3940,"Dryobates pubescens",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4070,"Melanerpes formicivorus",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4080,"Melanerpes lewis",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",3930,"Leuconotopicus villosus",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4010,"Picoides tridactylus",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4100,"Melanerpes aurifrons",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4021,"Sphyrapicus nuchalis",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",3970,"Dryobates nuttallii",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4060,"Melanerpes erythrocephalus",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4140,"Colaptes chrysoides",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4110,"Melanerpes uropygialis",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",3975,"Picoides arizonae",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",3990,"Leuconotopicus albolarvatus",0.0113690430816314,0.174049516782051,0.0397917932336014
3960,"Dryobates scalaris",4120,"Colaptes auratus",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",4070,"Melanerpes formicivorus",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",4040,"Sphyrapicus thyroideus",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",4120,"Colaptes auratus",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",3930,"Leuconotopicus villosus",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",4030,"Sphyrapicus ruber",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",3990,"Leuconotopicus albolarvatus",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",4000,"Picoides arcticus",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",3960,"Dryobates scalaris",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",4080,"Melanerpes lewis",0.0113690430816314,0.174049516782051,0.0397917932336014
3970,"Dryobates nuttallii",3940,"Dryobates pubescens",0.621876698790509,0.627516154197821,0.0160961973084244
3970,"Dryobates nuttallii",4050,"Dryocopus pileatus",0.621876698790509,0.627516154197821,0.0160961973084244
4020,"Sphyrapicus varius",4050,"Dryocopus pileatus",0.621876698790509,0.627516154197821,0.0160961973084244
4020,"Sphyrapicus varius",4010,"Picoides tridactylus",0.621876698790509,0.627516154197821,0.0160961973084244
4020,"Sphyrapicus varius",3930,"Leuconotopicus villosus",0.573756865632371,0.00624538453475995,0.0381019676786788
4020,"Sphyrapicus varius",4000,"Picoides arcticus",0.573756865632371,0.00624538453475995,0.0381019676786788
4020,"Sphyrapicus varius",4060,"Melanerpes erythrocephalus",0.573756865632371,0.00624538453475995,0.0381019676786788
4020,"Sphyrapicus varius",4090,"Melanerpes carolinus",0.573756865632371,0.00624538453475995,0.0381019676786788
4020,"Sphyrapicus varius",4120,"Colaptes auratus",0.573756865632371,0.00624538453475995,0.0381019676786788
4020,"Sphyrapicus varius",3940,"Dryobates pubescens",0.176476974581307,0.195308918840485,0.00867437216251677
4021,"Sphyrapicus nuchalis",4040,"Sphyrapicus thyroideus",0.176476974581307,0.195308918840485,0.00867437216251677
4030,"Sphyrapicus ruber",4070,"Melanerpes formicivorus",0.176476974581307,0.195308918840485,0.00867437216251677
4030,"Sphyrapicus ruber",3970,"Dryobates nuttallii",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4010,"Picoides tridactylus",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4020,"Sphyrapicus varius",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4070,"Melanerpes formicivorus",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4120,"Colaptes auratus",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",3930,"Leuconotopicus villosus",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4090,"Melanerpes carolinus",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",3950,"Leuconotopicus borealis",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4021,"Sphyrapicus nuchalis",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",3970,"Dryobates nuttallii",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4040,"Sphyrapicus thyroideus",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",3960,"Dryobates scalaris",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4080,"Melanerpes lewis",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4100,"Melanerpes aurifrons",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4060,"Melanerpes erythrocephalus",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",3940,"Dryobates pubescens",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4030,"Sphyrapicus ruber",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",4000,"Picoides arcticus",0.176476974581307,0.195308918840485,0.00867437216251677
4050,"Dryocopus pileatus",3990,"Leuconotopicus albolarvatus",0.176476974581307,0.195308918840485,0.00867437216251677
4060,"Melanerpes erythrocephalus",4090,"Melanerpes carolinus",0.176476974581307,0.195308918840485,0.00867437216251677
4060,"Melanerpes erythrocephalus",4120,"Colaptes auratus",0.176476974581307,0.195308918840485,0.00867437216251677
4070,"Melanerpes formicivorus",3970,"Dryobates nuttallii",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",4000,"Picoides arcticus",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",3960,"Dryobates scalaris",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",4020,"Sphyrapicus varius",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",3930,"Leuconotopicus villosus",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",4120,"Colaptes auratus",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",3950,"Leuconotopicus borealis",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",4050,"Dryocopus pileatus",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",4100,"Melanerpes aurifrons",0.176476974581307,0.195308918840485,0.00867437216251677
4090,"Melanerpes carolinus",3940,"Dryobates pubescens",0.480945472133199,9.32201208091297e-15,0.105308758576441
4090,"Melanerpes carolinus",4060,"Melanerpes erythrocephalus",0.480945472133199,9.32201208091297e-15,0.105308758576441
4100,"Melanerpes aurifrons",4090,"Melanerpes carolinus",0.480945472133199,9.32201208091297e-15,0.105308758576441
4100,"Melanerpes aurifrons",4050,"Dryocopus pileatus",0.480945472133199,9.32201208091297e-15,0.105308758576441
4100,"Melanerpes aurifrons",3930,"Leuconotopicus villosus",0.480945472133199,9.32201208091297e-15,0.105308758576441
4100,"Melanerpes aurifrons",4070,"Melanerpes formicivorus",0.480945472133199,9.32201208091297e-15,0.105308758576441
4100,"Melanerpes aurifrons",4021,"Sphyrapicus nuchalis",0.480945472133199,9.32201208091297e-15,0.105308758576441
4100,"Melanerpes aurifrons",4060,"Melanerpes erythrocephalus",0.480945472133199,9.32201208091297e-15,0.105308758576441
4100,"Melanerpes aurifrons",4120,"Colaptes auratus",0.480945472133199,9.32201208091297e-15,0.105308758576441
4100,"Melanerpes aurifrons",3960,"Dryobates scalaris",0.8873754085799,0.0107376709334708,0.494456880831648
4100,"Melanerpes aurifrons",3940,"Dryobates pubescens",0.8873754085799,0.0107376709334708,0.494456880831648
4110,"Melanerpes uropygialis",3960,"Dryobates scalaris",0.611757368884421,0.0688289099366662,0.449477652865353
4110,"Melanerpes uropygialis",4021,"Sphyrapicus nuchalis",0.611757368884421,0.0688289099366662,0.449477652865353
4110,"Melanerpes uropygialis",4120,"Colaptes auratus",0.611757368884421,0.0688289099366662,0.449477652865353
4110,"Melanerpes uropygialis",4140,"Colaptes chrysoides",0.611757368884421,0.0688289099366662,0.449477652865353
4110,"Melanerpes uropygialis",3930,"Leuconotopicus villosus",0.611757368884421,0.0688289099366662,0.449477652865353
4110,"Melanerpes uropygialis",3975,"Picoides arizonae",0.611757368884421,0.0688289099366662,0.449477652865353
4110,"Melanerpes uropygialis",4070,"Melanerpes formicivorus",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",4070,"Melanerpes formicivorus",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",3975,"Picoides arizonae",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",4050,"Dryocopus pileatus",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",4010,"Picoides tridactylus",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",4090,"Melanerpes carolinus",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",3930,"Leuconotopicus villosus",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",4040,"Sphyrapicus thyroideus",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",4140,"Colaptes chrysoides",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",4100,"Melanerpes aurifrons",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",4110,"Melanerpes uropygialis",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",3970,"Dryobates nuttallii",0.611757368884421,0.0688289099366662,0.449477652865353
4120,"Colaptes auratus",3940,"Dryobates pubescens",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",4000,"Picoides arcticus",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",3950,"Leuconotopicus borealis",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",4030,"Sphyrapicus ruber",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",3960,"Dryobates scalaris",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",4060,"Melanerpes erythrocephalus",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",4020,"Sphyrapicus varius",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",4080,"Melanerpes lewis",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",4021,"Sphyrapicus nuchalis",0.109600933222465,0.0341745806857728,0.00712342330852503
4120,"Colaptes auratus",3990,"Leuconotopicus albolarvatus",0.109600933222465,0.0341745806857728,0.00712342330852503
4240,"Chaetura vauxi",4220,"Cypseloides niger",0.109600933222465,0.0341745806857728,0.00712342330852503
4290,"Archilochus alexandri",4320,"Selasphorus platycercus",0.109600933222465,0.0341745806857728,0.00712342330852503
4310,"Calypte anna",4340,"Selasphorus sasin",0.109600933222465,0.0341745806857728,0.00712342330852503
4320,"Selasphorus platycercus",4290,"Archilochus alexandri",0.109600933222465,0.0341745806857728,0.00712342330852503
4330,"Selasphorus rufus",4360,"Selasphorus calliope",0.109600933222465,0.0341745806857728,0.00712342330852503
4360,"Selasphorus calliope",4330,"Selasphorus rufus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4550,"Myiarchus tuberculifer",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4610,"Contopus virens",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4530,"Myiarchus tyrannulus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4440,"Tyrannus tyrannus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4640,"Empidonax occidentalis",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4560,"Sayornis phoebe",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4700,"Empidonax fulvifrons",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4650,"Empidonax virescens",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4720,"Camptostoma imberbe",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4520,"Myiarchus crinitus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4460,"Tyrannus melancholicus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4461,"Tyrannus couchii",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4540,"Myiarchus cinerascens",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4670,"Empidonax minimus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4470,"Tyrannus verticalis",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4620,"Contopus sordidulus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4490,"Pitangus sulphuratus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4570,"Sayornis saya",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4691,"Empidonax wrightii",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4661,"Empidonax alnorum",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4590,"Contopus cooperi",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4660,"Empidonax traillii",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4710,"Pyrocephalus rubinus",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4580,"Sayornis nigricans",0.109600933222465,0.0341745806857728,0.00712342330852503
4430,"Tyrannus forficatus",4480,"Tyrannus vociferans",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4630,"Empidonax flaviventris",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4530,"Myiarchus tyrannulus",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4670,"Empidonax minimus",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4610,"Contopus virens",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4540,"Myiarchus cinerascens",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4580,"Sayornis nigricans",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4480,"Tyrannus vociferans",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4430,"Tyrannus forficatus",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4650,"Empidonax virescens",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4720,"Camptostoma imberbe",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4461,"Tyrannus couchii",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4490,"Pitangus sulphuratus",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4641,"Empidonax difficilis",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4470,"Tyrannus verticalis",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4640,"Empidonax occidentalis",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4690,"Empidonax oberholseri",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4570,"Sayornis saya",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4680,"Empidonax hammondii",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4450,"Tyrannus dominicensis",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4620,"Contopus sordidulus",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4661,"Empidonax alnorum",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4710,"Pyrocephalus rubinus",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4691,"Empidonax wrightii",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4520,"Myiarchus crinitus",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4560,"Sayornis phoebe",0.109600933222465,0.0341745806857728,0.00712342330852503
4440,"Tyrannus tyrannus",4590,"Contopus cooperi",0.109600933222465,0.0341745806857728,0.00712342330852503
