"FocalAOU","FocalSciName","CompAOU","CompSciName","Estimate","P","R2"
2881,"Perdix perdix",2980,"Falcipennis canadensis",0.0303350607268292,0.0027846054135847,0.0620975969819953
2881,"Perdix perdix",3091,"Phasianus colchicus",0.0303350607268292,0.0027846054135847,0.0620975969819953
2881,"Perdix perdix",3000,"Bonasa umbellus",0.0303350607268292,0.0027846054135847,0.0620975969819953
2890,"Colinus virginianus",2930,"Callipepla squamata",0.0303350607268292,0.0027846054135847,0.0620975969819953
2920,"Oreortyx pictus",2940,"Callipepla californica",0.0303350607268292,0.0027846054135847,0.0620975969819953
2930,"Callipepla squamata",2890,"Colinus virginianus",0.0303350607268292,0.0027846054135847,0.0620975969819953
2930,"Callipepla squamata",2950,"Callipepla gambelii",0.0303350607268292,0.0027846054135847,0.0620975969819953
2930,"Callipepla squamata",2960,"Cyrtonyx montezumae",0.0303350607268292,0.0027846054135847,0.0620975969819953
2940,"Callipepla californica",2920,"Oreortyx pictus",0.0303350607268292,0.0027846054135847,0.0620975969819953
2950,"Callipepla gambelii",2960,"Cyrtonyx montezumae",0.0303350607268292,0.0027846054135847,0.0620975969819953
2950,"Callipepla gambelii",2930,"Callipepla squamata",0.0303350607268292,0.0027846054135847,0.0620975969819953
3000,"Bonasa umbellus",2881,"Perdix perdix",0.0303350607268292,0.0027846054135847,0.0620975969819953
3000,"Bonasa umbellus",2980,"Falcipennis canadensis",0.0303350607268292,0.0027846054135847,0.0620975969819953
3091,"Phasianus colchicus",2881,"Perdix perdix",0.0303350607268292,0.0027846054135847,0.0620975969819953
3091,"Phasianus colchicus",3100,"Meleagris gallopavo",0.0303350607268292,0.0027846054135847,0.0620975969819953
3100,"Meleagris gallopavo",3091,"Phasianus colchicus",0.0303350607268292,0.0027846054135847,0.0620975969819953
3120,"Patagioenas fasciata",3160,"Zenaida macroura",0.0303350607268292,0.0027846054135847,0.0620975969819953
3120,"Patagioenas fasciata",3131,"Columba livia",0.0303350607268292,0.0027846054135847,0.0620975969819953
3131,"Columba livia",3190,"Zenaida asiatica",0.0303350607268292,0.0027846054135847,0.0620975969819953
3131,"Columba livia",22860,"Streptopelia decaocto",0.0303350607268292,0.0027846054135847,0.0620975969819953
3131,"Columba livia",3210,"Columbina inca",0.0303350607268292,0.0027846054135847,0.0620975969819953
3131,"Columba livia",3130,"Patagioenas flavirostris",0.0303350607268292,0.0027846054135847,0.0620975969819953
3131,"Columba livia",3160,"Zenaida macroura",0.0303350607268292,0.0027846054135847,0.0620975969819953
3131,"Columba livia",3200,"Columbina passerina",0.0303350607268292,0.0027846054135847,0.0620975969819953
3131,"Columba livia",3120,"Patagioenas fasciata",0.0303350607268292,0.0027846054135847,0.0620975969819953
3160,"Zenaida macroura",3120,"Patagioenas fasciata",0.0303350607268292,0.0027846054135847,0.0620975969819953
3160,"Zenaida macroura",22860,"Streptopelia decaocto",0.0303350607268292,0.0027846054135847,0.0620975969819953
3160,"Zenaida macroura",3131,"Columba livia",0.0303350607268292,0.0027846054135847,0.0620975969819953
3160,"Zenaida macroura",3200,"Columbina passerina",0.0303350607268292,0.0027846054135847,0.0620975969819953
3160,"Zenaida macroura",3210,"Columbina inca",0.0303350607268292,0.0027846054135847,0.0620975969819953
3160,"Zenaida macroura",3190,"Zenaida asiatica",0.0303350607268292,0.0027846054135847,0.0620975969819953
3190,"Zenaida asiatica",3210,"Columbina inca",0.0303350607268292,0.0027846054135847,0.0620975969819953
3190,"Zenaida asiatica",3160,"Zenaida macroura",-0.00219380091016661,0.807046078492127,0.000759599656896781
3190,"Zenaida asiatica",22860,"Streptopelia decaocto",-0.00219380091016661,0.807046078492127,0.000759599656896781
3190,"Zenaida asiatica",3131,"Columba livia",-0.00219380091016661,0.807046078492127,0.000759599656896781
3190,"Zenaida asiatica",3200,"Columbina passerina",-0.00219380091016661,0.807046078492127,0.000759599656896781
3190,"Zenaida asiatica",3120,"Patagioenas fasciata",-0.00219380091016661,0.807046078492127,0.000759599656896781
3200,"Columbina passerina",22860,"Streptopelia decaocto",-0.00219380091016661,0.807046078492127,0.000759599656896781
3200,"Columbina passerina",3131,"Columba livia",-0.00219380091016661,0.807046078492127,0.000759599656896781
3200,"Columbina passerina",3210,"Columbina inca",-0.00219380091016661,0.807046078492127,0.000759599656896781
3200,"Columbina passerina",3160,"Zenaida macroura",0.0275379913498796,0.00603738403210488,0.124900110403222
3200,"Columbina passerina",3180,"Leptotila verreauxi",0.0275379913498796,0.00603738403210488,0.124900110403222
3200,"Columbina passerina",3190,"Zenaida asiatica",0.0275379913498796,0.00603738403210488,0.124900110403222
3210,"Columbina inca",3160,"Zenaida macroura",0.0113690430816314,0.174049516782051,0.0397917932336014
3210,"Columbina inca",3200,"Columbina passerina",0.0113690430816314,0.174049516782051,0.0397917932336014
3210,"Columbina inca",3190,"Zenaida asiatica",0.0113690430816314,0.174049516782051,0.0397917932336014
3870,"Coccyzus americanus",3880,"Coccyzus erythropthalmus",0.0113690430816314,0.174049516782051,0.0397917932336014
