"CompAOU","focalAOU","Competitor","Focal","CompSciName","FocalSciName","Family","FocalMass","CompMass","focalcat","compcat"
2881,3000,"Gray Partridge","Ruffed Grouse","Perdix perdix","Bonasa umbellus","Phasianidae",621,398,"Bonasa_umbellus","Perdix_perdix"
2890,2930,"Northern Bobwhite","Scaled Quail","Colinus virginianus","Callipepla squamata","Odontophoridae",191,178,"Callipepla_squamata","Colinus_virginianus"
2920,2940,"Mountain Quail","California Quail","Oreortyx pictus","Callipepla californica","Odontophoridae",176,233,"Callipepla_californica","Oreortyx_pictus"
2930,2890,"Scaled Quail","Northern Bobwhite","Callipepla squamata","Colinus virginianus","Odontophoridae",178,191,"Colinus_virginianus","Callipepla_squamata"
2930,2950,"Scaled Quail","Gambel's Quail","Callipepla squamata","Callipepla gambelii","Odontophoridae",170,191,"Callipepla_gambelii","Callipepla_squamata"
2940,2920,"California Quail","Mountain Quail","Callipepla californica","Oreortyx pictus","Odontophoridae",233,176,"Oreortyx_pictus","Callipepla_californica"
2950,2930,"Gambel's Quail","Scaled Quail","Callipepla gambelii","Callipepla squamata","Odontophoridae",191,170,"Callipepla_squamata","Callipepla_gambelii"
2960,2930,"Montezuma Quail","Scaled Quail","Cyrtonyx montezumae","Callipepla squamata","Odontophoridae",191,195,"Callipepla_squamata","Cyrtonyx_montezumae"
2960,2950,"Montezuma Quail","Gambel's Quail","Cyrtonyx montezumae","Callipepla gambelii","Odontophoridae",170,195,"Callipepla_gambelii","Cyrtonyx_montezumae"
2980,3000,"Spruce Grouse","Ruffed Grouse","Falcipennis canadensis","Bonasa umbellus","Phasianidae",621,466.75,"Bonasa_umbellus","Falcipennis_canadensis"
2980,2881,"Spruce Grouse","Gray Partridge","Falcipennis canadensis","Perdix perdix","Phasianidae",398,466.75,"Perdix_perdix","Falcipennis_canadensis"
3000,2881,"Ruffed Grouse","Gray Partridge","Bonasa umbellus","Perdix perdix","Phasianidae",398,621,"Perdix_perdix","Bonasa_umbellus"
3120,3131,"Band-tailed Pigeon","Rock Pigeon","Patagioenas fasciata","Columba livia","Columbidae",369,365.25,"Columba_livia","Patagioenas_fasciata"
3130,3131,"Red-billed Pigeon","Rock Pigeon","Patagioenas flavirostris","Columba livia","Columbidae",369,324,"Columba_livia","Patagioenas_flavirostris"
3131,3120,"Rock Pigeon","Band-tailed Pigeon","Columba livia","Patagioenas fasciata","Columbidae",365.25,369,"Patagioenas_fasciata","Columba_livia"
3160,3190,"Mourning Dove","White-winged Dove","Zenaida macroura","Zenaida asiatica","Columbidae",153,123,"Zenaida_asiatica","Zenaida_macroura"
3190,3160,"White-winged Dove","Mourning Dove","Zenaida asiatica","Zenaida macroura","Columbidae",123,153,"Zenaida_macroura","Zenaida_asiatica"
3200,3210,"Common Ground-Dove","Inca Dove","Columbina passerina","Columbina inca","Columbidae",48,30,"Columbina_inca","Columbina_passerina"
3210,3200,"Inca Dove","Common Ground-Dove","Columbina inca","Columbina passerina","Columbidae",30,48,"Columbina_passerina","Columbina_inca"
3870,3880,"Yellow-billed Cuckoo","Black-billed Cuckoo","Coccyzus americanus","Coccyzus erythropthalmus","Cuculidae",51,64,"Coccyzus_erythropthalmus","Coccyzus_americanus"
3880,3870,"Black-billed Cuckoo","Yellow-billed Cuckoo","Coccyzus erythropthalmus","Coccyzus americanus","Cuculidae",64,51,"Coccyzus_americanus","Coccyzus_erythropthalmus"
3930,4090,"Hairy Woodpecker","Red-bellied Woodpecker","Leuconotopicus villosus","Melanerpes carolinus","Picidae",67,66.25,"Melanerpes_carolinus","Leuconotopicus_villosus"
3930,4110,"Hairy Woodpecker","Gila Woodpecker","Leuconotopicus villosus","Melanerpes uropygialis","Picidae",65.25,66.25,"Melanerpes_uropygialis","Leuconotopicus_villosus"
3930,4100,"Hairy Woodpecker","Golden-fronted Woodpecker","Leuconotopicus villosus","Melanerpes aurifrons","Picidae",81.5,66.25,"Melanerpes_aurifrons","Leuconotopicus_villosus"
3930,3970,"Hairy Woodpecker","Nuttall's Woodpecker","Leuconotopicus villosus","Dryobates nuttallii","Picidae",38,66.25,"Dryobates_nuttallii","Leuconotopicus_villosus"
3930,4020,"Hairy Woodpecker","Yellow-bellied Sapsucker","Leuconotopicus villosus","Sphyrapicus varius","Picidae",50,66.25,"Sphyrapicus_varius","Leuconotopicus_villosus"
3930,4120,"Hairy Woodpecker","Northern Flicker","Leuconotopicus villosus","Colaptes auratus","Picidae",132.17,66.25,"Colaptes_auratus","Leuconotopicus_villosus"
3940,4020,"Downy Woodpecker","Yellow-bellied Sapsucker","Dryobates pubescens","Sphyrapicus varius","Picidae",50,27,"Sphyrapicus_varius","Dryobates_pubescens"
3940,3960,"Downy Woodpecker","Ladder-backed Woodpecker","Dryobates pubescens","Dryobates scalaris","Picidae",30,27,"Dryobates_scalaris","Dryobates_pubescens"
3940,3970,"Downy Woodpecker","Nuttall's Woodpecker","Dryobates pubescens","Dryobates nuttallii","Picidae",38,27,"Dryobates_nuttallii","Dryobates_pubescens"
3950,4090,"Red-cockaded Woodpecker","Red-bellied Woodpecker","Leuconotopicus borealis","Melanerpes carolinus","Picidae",67,44,"Melanerpes_carolinus","Leuconotopicus_borealis"
3950,3940,"Red-cockaded Woodpecker","Downy Woodpecker","Leuconotopicus borealis","Dryobates pubescens","Picidae",27,44,"Dryobates_pubescens","Leuconotopicus_borealis"
3950,3930,"Red-cockaded Woodpecker","Hairy Woodpecker","Leuconotopicus borealis","Leuconotopicus villosus","Picidae",66.25,44,"Leuconotopicus_villosus","Leuconotopicus_borealis"
3960,3970,"Ladder-backed Woodpecker","Nuttall's Woodpecker","Dryobates scalaris","Dryobates nuttallii","Picidae",38,30,"Dryobates_nuttallii","Dryobates_scalaris"
3960,3940,"Ladder-backed Woodpecker","Downy Woodpecker","Dryobates scalaris","Dryobates pubescens","Picidae",27,30,"Dryobates_pubescens","Dryobates_scalaris"
3970,3940,"Nuttall's Woodpecker","Downy Woodpecker","Dryobates nuttallii","Dryobates pubescens","Picidae",27,38,"Dryobates_pubescens","Dryobates_nuttallii"
3970,3930,"Nuttall's Woodpecker","Hairy Woodpecker","Dryobates nuttallii","Leuconotopicus villosus","Picidae",66.25,38,"Leuconotopicus_villosus","Dryobates_nuttallii"
3970,3960,"Nuttall's Woodpecker","Ladder-backed Woodpecker","Dryobates nuttallii","Dryobates scalaris","Picidae",30,38,"Dryobates_scalaris","Dryobates_nuttallii"
3970,4030,"Nuttall's Woodpecker","Red-breasted Sapsucker","Dryobates nuttallii","Sphyrapicus ruber","Picidae",49,38,"Sphyrapicus_ruber","Dryobates_nuttallii"
