"FocalAOU","ENV","COMP","SHARED","NONE","n"
3000,0.054043168571243,0.000274391330773026,-0.000235414612769975,0.945917854710754,537
2940,0.38901823440141,0.0186583518759648,-0.00824340104875217,0.600566814771377,207
2890,0.188158820560112,8.12508564554393e-06,0.00478501124461251,0.80704804310963,1176
2881,0.199173276076444,0.000259808192272892,0.00428141875940487,0.796285496971878,204
3120,0.371250500854016,0,0,0.628749499145984,171
3000,0.054043168571243,0.000274391330773026,-0.000235414612769975,0.945917854710754,537
2940,0.38901823440141,0.0186583518759648,-0.00824340104875217,0.600566814771377,207
2890,0.188158820560112,8.12508564554393e-06,0.00478501124461251,0.80704804310963,1176
2881,0.199173276076444,0.000259808192272892,0.00428141875940487,0.796285496971878,204
3120,0.371250500854016,0,0,0.628749499145984,171
3190,0.338067226413175,0,0,0.661932773586825,228
3160,0.248331421181277,0,0,0.751668578818723,2556
3200,0.248690482859786,0,0,0.751309517140214,165
3880,0.186864698345104,0.0124142730917084,0.0687685321689245,0.731952496394263,912
3870,0.191883257308098,0.0393701244492949,0.275219497420597,0.49352712082201,1578
4120,0.183210937896178,0.0353909643881296,-0.0134012921744519,0.794799389890144,1788
4020,0.179807895171052,0.287459619911766,-0.0663022610265847,0.599034745943767,570
4090,0.0815131133755956,0.159639238953741,0.300690504714377,0.458157142956286,1530
3930,0.0368005147607957,0.0672379535244178,0.00411247680526676,0.89184905490952,1977
3960,0.0437569214236544,0,0,0.956243078576346,177
3940,0.3262865461958,0,0,0.6737134538042,2211
4021,0.142357686780835,0.0162625819722261,1.81820296751602e-05,0.841361549217264,240
4060,0.0571813795754992,0.00290174577950571,-0.000185018067806192,0.940101892712801,1161
4320,0.319170588027713,0.00918057831460556,0.0695029726383603,0.602145861019322,222
4290,0.0619087741309716,0.000685748478437845,0.00273568740057873,0.934669789990012,264
4330,0.205228866623362,0.0044205531225785,0.16405785463848,0.626292725615579,183
4470,0.167961863313376,0.0535182223485348,0.114026284511657,0.664493629826433,858
4520,0.108923075406381,0,0,0.891076924593619,1731
4440,0.0852909793367417,0.0700359225934385,0.0433970688779891,0.801276029191831,2037
4430,0.440185500797917,0,0,0.559814499202083,282
4560,0.168134805567329,0.102945883997323,-0.0682268164751287,0.797146126910477,1641
