Focal Common Name,Scientific Name,Family,Body Mass,Migratory Class,Trophic Group
Gray Partridge,Perdix perdix,Phasianidae,398,resident,granivore
Northern Bobwhite,Colinus virginianus,Odontophoridae,178,resident,herbivore
California Quail,Callipepla californica,Odontophoridae,176,resident,granivore
Ruffed Grouse,Bonasa umbellus,Phasianidae,621,resident,omnivore
Band-tailed Pigeon,Patagioenas fasciata,Columbidae,365.25,neotropical,granivore
Mourning Dove,Zenaida macroura,Columbidae,123,short,granivore
White-winged Dove,Zenaida asiatica,Columbidae,153,short,granivore
Common Ground-Dove,Columbina passerina,Columbidae,30,resident,granivore
Yellow-billed Cuckoo,Coccyzus americanus,Cuculidae,64,neotropical,insectivore
Black-billed Cuckoo,Coccyzus erythropthalmus,Cuculidae,51,neotropical,insectivore
Hairy Woodpecker,Leuconotopicus villosus,Picidae,66.25,resident,insectivore
Downy Woodpecker,Dryobates pubescens,Picidae,27,resident,insectivore
Ladder-backed Woodpecker,Dryobates scalaris,Picidae,30,resident,insectivore
Yellow-bellied Sapsucker,Sphyrapicus varius,Picidae,50,short,insectivore
Red-naped Sapsucker,Sphyrapicus nuchalis,Picidae,46,short,insectivore
Red-headed Woodpecker,Melanerpes erythrocephalus,Picidae,72,short,omnivore
Red-bellied Woodpecker,Melanerpes carolinus,Picidae,67,resident,insectivore
Northern Flicker,Colaptes auratus,Picidae,132.17,resident,insectivore
Black-chinned Hummingbird,Archilochus alexandri,Trochilidae,3.5,neotropical,nectarivore
Broad-tailed Hummingbird,Selasphorus platycercus,Trochilidae,4,neotropical,nectarivore
Rufous Hummingbird,Selasphorus rufus,Trochilidae,4,neotropical,nectarivore
Scissor-tailed Flycatcher,Tyrannus forficatus,Tyrannidae,43,neotropical,insectivore
Eastern Kingbird,Tyrannus tyrannus,Tyrannidae,44,neotropical,insectivore
Western Kingbird,Tyrannus verticalis,Tyrannidae,40,neotropical,insectivore
Cassin's Kingbird,Tyrannus vociferans,Tyrannidae,46,neotropical,insectivore
Great Crested Flycatcher,Myiarchus crinitus,Tyrannidae,34,neotropical,insectivore
Ash-throated Flycatcher,Myiarchus cinerascens,Tyrannidae,27,neotropical,insectivore
Eastern Phoebe,Sayornis phoebe,Tyrannidae,20,short,insectivore
Say's Phoebe,Sayornis saya,Tyrannidae,21,short,insectivore
Olive-sided Flycatcher,Contopus cooperi,Tyrannidae,32,neotropical,insectivore
Eastern Wood-Pewee,Contopus virens,Tyrannidae,14,neotropical,insectivore
Western Wood-Pewee,Contopus sordidulus,Tyrannidae,13,neotropical,insectivore
Cordilleran Flycatcher,Empidonax occidentalis,Tyrannidae,10,neotropical,insectivore
Pacific-slope Flycatcher,Empidonax difficilis,Tyrannidae,10,neotropical,insectivore
Acadian Flycatcher,Empidonax virescens,Tyrannidae,13,neotropical,insectivore
Willow Flycatcher,Empidonax traillii,Tyrannidae,13.25,neotropical,insectivore
Least Flycatcher,Empidonax minimus,Tyrannidae,10,neotropical,insectivore
Hammond's Flycatcher,Empidonax hammondii,Tyrannidae,10,neotropical,insectivore
Dusky Flycatcher,Empidonax oberholseri,Tyrannidae,10,neotropical,insectivore
Gray Flycatcher,Empidonax wrightii,Tyrannidae,13,neotropical,insectivore
Black-billed Magpie,Pica pica,Corvidae,177.5,resident,omnivore
Blue Jay,Cyanocitta cristata,Corvidae,87,short,omnivore
Steller's Jay,Cyanocitta stelleri,Corvidae,128,resident,omnivore
Western Scrub-Jay,Aphelocoma californica,Corvidae,96.25,resident,omnivore
Gray Jay,Perisoreus canadensis,Corvidae,73,resident,omnivore
American Crow,Corvus brachyrhynchos,Corvidae,458,short,omnivore
Fish Crow,Corvus ossifragus,Corvidae,274.75,short,omnivore
Clark's Nutcracker,Nucifraga columbiana,Corvidae,135.75,resident,omnivore
Bobolink,Dolichonyx oryzivorus,Icteridae,28.75,neotropical,insct/om
Brown-headed Cowbird,Molothrus ater,Icteridae,45,short,insectivore
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Icteridae,64.5,neotropical,insectivore
Red-winged Blackbird,Agelaius phoeniceus,Icteridae,53,short,insectivore
Eastern Meadowlark,Sturnella magna,Icteridae,102,short,insct/om
Western Meadowlark,Sturnella neglecta,Icteridae,112,short,insct/om
Orchard Oriole,Icterus spurius,Icteridae,19.5,neotropical,insct/om
Baltimore Oriole,Icterus galbula,Icteridae,34.25,neotropical,insectivore
Bullock's Oriole,Icterus bullockii,Icteridae,34.25,neotropical,insectivore
Brewer's Blackbird,Euphagus cyanocephalus,Icteridae,63,short,insectivore
Common Grackle,Quiscalus quiscula,Icteridae,127,short,omnivore
Great-tailed Grackle,Quiscalus mexicanus,Icteridae,NA,resident,omnivore
Purple Finch,Carpodacus purpureus,Fringillidae,25,short,granivore
Cassin's Finch,Carpodacus cassinii,Fringillidae,27,short,granivore
House Finch,Carpodacus mexicanus,Fringillidae,21,short,granivore
Red Crossbill,Loxia curvirostra,Fringillidae,39,short,granivore
White-winged Crossbill,Loxia leucoptera,Fringillidae,28,short,granivore
American Goldfinch,Carduelis tristis,Fringillidae,13.25,short,granivore
Lesser Goldfinch,Carduelis psaltria,Fringillidae,10,short,granivore
Pine Siskin,Carduelis pinus,Fringillidae,15,short,granivore
Vesper Sparrow,Pooecetes gramineus,Emberizidae,27,short,insct/om
Grasshopper Sparrow,Ammodramus savannarum,Emberizidae,17,neotropical,insct/om
Le Conte's Sparrow,Ammodramus leconteii,Emberizidae,13,short,insct/om
Lark Sparrow,Chondestes grammacus,Emberizidae,29,neotropical,insct/om
White-crowned Sparrow,Zonotrichia leucophrys,Emberizidae,28.12,short,insct/om
White-throated Sparrow,Zonotrichia albicollis,Emberizidae,25.9,short,insct/om
Chipping Sparrow,Spizella passerina,Emberizidae,12,neotropical,insct/om
Clay-colored Sparrow,Spizella pallida,Emberizidae,12,neotropical,insct/om
Brewer's Sparrow,Spizella breweri,Emberizidae,NA,neotropical,insct/om
Field Sparrow,Spizella pusilla,Emberizidae,13,short,insct/om
Black-throated Sparrow,Amphispiza bilineata,Emberizidae,14,short,insct/om
Cassin's Sparrow,Peucaea cassinii,Emberizidae,19,short,insct/om
Song Sparrow,Melospiza melodia,Emberizidae,21.33,short,insct/om
