                            colname       env_est     env_lower    env_upper rank
1                 Intercept 14.7173665931  1.086383e+01 18.570904018    1
7                 Mean.NDVI  0.9930590255 -2.358061e+00  4.344179523    2
8     Trophic.Groupinsct/om  0.9789531290  4.890758e-01  1.468830410    3
9  Trophic.Groupinsectivore  0.7621921335  2.822015e-01  1.242182814    4
12            migclassshort  0.5385053932  3.222462e-01  0.754764603    5
3              area_overlap  0.0321030504  4.823839e-03  0.059382262    6
5               Mean.Precip  0.0051936493 -7.545695e-03  0.017932994    7
6                 Mean.Elev  0.0006985936  2.122980e-07  0.001396975    8
4                 Mean.Temp -0.0020149540 -9.568599e-03  0.005538691    9
10    Trophic.Groupomnivore -0.5130964974 -1.125640e+00  0.099447271   10
11            migclassresid -1.1437027740 -1.444311e+00 -0.843094315   11
2                 FocalArea -2.5305693562 -2.883937e+00 -2.177201976   12
