Perdix perdix
Colinus virginianus
Callipepla californica
Bonasa umbellus
Patagioenas fasciata
Zenaida macroura
Zenaida asiatica
Columbina passerina
Coccyzus americanus
Coccyzus erythropthalmus
Leuconotopicus villosus
Dryobates pubescens
Dryobates scalaris
Sphyrapicus varius
Sphyrapicus nuchalis
Melanerpes erythrocephalus
Melanerpes carolinus
Colaptes auratus
Archilochus alexandri
Selasphorus platycercus
Selasphorus rufus
Tyrannus forficatus
Tyrannus tyrannus
Tyrannus verticalis
Tyrannus vociferans
Myiarchus crinitus
Myiarchus cinerascens
Sayornis phoebe
Sayornis saya
Contopus cooperi
Contopus virens
Contopus sordidulus
Empidonax occidentalis
Empidonax difficilis
Empidonax virescens
Empidonax traillii
Empidonax minimus
Empidonax hammondii
Empidonax oberholseri
Empidonax wrightii
Pica pica
Cyanocitta cristata
Cyanocitta stelleri
Aphelocoma californica
Perisoreus canadensis
Corvus brachyrhynchos
Corvus ossifragus
Nucifraga columbiana
Dolichonyx oryzivorus
Molothrus ater
Xanthocephalus xanthocephalus
Agelaius phoeniceus
Sturnella magna
Sturnella neglecta
Icterus spurius
Icterus galbula
Icterus bullockii
Euphagus cyanocephalus
Quiscalus quiscula
Quiscalus mexicanus
Carpodacus purpureus
Carpodacus cassinii
Carpodacus mexicanus
Loxia curvirostra
Loxia leucoptera
Carduelis tristis
Carduelis psaltria
Carduelis pinus
Pooecetes gramineus
Ammodramus savannarum
Ammodramus leconteii
Chondestes grammacus
Zonotrichia leucophrys
Zonotrichia albicollis
Spizella passerina
Spizella pallida
Euphagus cyanocephalus
Spizella pusilla
Amphispiza bilineata
Peucaea cassinii
Melospiza melodia
Melospiza georgiana
Passerella iliaca
Pipilo erythrophthalmus
Pipilo maculatus
Pipilo chlorurus
Cardinalis cardinalis
Pheucticus ludovicianus
Pheucticus melanocephalus
Passerina caerulea
Passerina cyanea
Passerina amoena
Passerina ciris
Spiza americana
Calamospiza melanocorys
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Petrochelidon pyrrhonota
Hirundo rustica
Tachycineta bicolor
Tachycineta thalassina
Riparia riparia
Stelgidopteryx serripennis
Bombycilla cedrorum
Lanius ludovicianus
Vireo olivaceus
Vireo gilvus
Vireo flavifrons
Vireo solitarius
Vireo plumbeus
Vireo cassinii
Vireo griseus
Vireo bellii
Mniotilta varia
Protonotaria citrea
Limnothlypis swainsonii
Helmitheros vermivorum
Vermivora cyanoptera
Vermivora ruficapilla
Vermivora celata
Parula americana
Dendroica petechia
Dendroica caerulescens
Dendroica magnolia
Dendroica pensylvanica
Dendroica fusca
Dendroica dominica
Dendroica nigrescens
Dendroica virens
Dendroica pinus
Dendroica discolor
Seiurus aurocapilla
Parkesia motacilla
Oporornis formosus
Oporornis philadelphia
Oporornis tolmiei
Geothlypis trichas
Icteria virens
Wilsonia citrina
Wilsonia pusilla
Wilsonia canadensis
Setophaga ruticilla
Passer domesticus
Oreoscoptes montanus
Mimus polyglottos
Dumetella carolinensis
Toxostoma rufum
Salpinctes obsoletus
Thryothorus ludovicianus
Thryomanes bewickii
Troglodytes aedon
Troglodytes pacificus
Troglodytes hiemalis
Cistothorus platensis
Certhia americana
Sitta carolinensis
Sitta canadensis
Sitta pusilla
Baeolophus bicolor
Parus atricapillus
Parus carolinensis
Parus gambeli
Psaltriparus minimus
Regulus satrapa
Polioptila caerulea
Myadestes townsendi
Hylocichla mustelina
Catharus fuscescens
Catharus ustulatus
Catharus guttatus
Turdus migratorius
Sialia sialis
Sialia mexicana
Sialia currucoides
Picoides villosus
Picoides pubescens
Picoides scalaris
Pica hudsonia
Spizella breweri
Aimophila cassinii
Vermivora pinus
Seiurus motacilla
Troglodytes troglodytes
Poecile atricapillus
Poecile carolinensis
Poecile gambeli
