Focal,ENV,COMP,SHARED,otal,COMPSC,n,Comp
Gray Partridge,0.199171495,0.000259831,0.004281396,0.203712723,0.001302862,136,Ruffed Grouse
Northern Bobwhite,0.188158793,8.12E-06,0.004785012,0.19295193,4.32E-05,784,Scaled Quail
California Quail,0.389010408,0.018657802,-0.008242853,0.399425358,0.045767126,138,Mountain Quail
Band-tailed Pigeon,0.257496358,0.165414774,0.113752803,0.536663935,0.391133648,114,Mourning Dove
Mourning Dove,0.241752781,0.09107273,0.006578636,0.339404148,0.273635064,1704,Band-tailed Pigeon
White-winged Dove,0.058461788,0.359551595,0.279603527,0.69761691,0.860143741,152,Mourning Dove
Common Ground-Dove,0.165609429,0.101085367,0.083078428,0.349773225,0.379030145,110,Mourning Dove
Yellow-billed Cuckoo,0.19188323,0.039370142,0.275219479,0.506472851,0.17024678,1052,Black-billed Cuckoo
Black-billed Cuckoo,0.186864642,0.012414284,0.068768523,0.26804745,0.062296022,608,Yellow-billed Cuckoo
Hairy Woodpecker,0.007744157,0.069500249,0.033168836,0.110413242,0.899744758,1318,Red-headed Woodpecker
Downy Woodpecker,0.21008759,0.000890413,0.116198946,0.327176948,0.004220406,1474,Red-naped Sapsucker
Ladder-backed Woodpecker,0.093348702,0.130753756,-0.049592053,0.174510405,0.583455253,118,Downy Woodpecker
Yellow-bellied Sapsucker,0.02703284,0.425012357,0.086472734,0.538517931,0.940198811,380,Hairy Woodpecker
Red-naped Sapsucker,0.142357508,0.016262566,1.82E-05,0.15863827,0.102525269,160,Williamson's Sapsucker
Red-headed Woodpecker,0.084914029,0.068709297,-0.027917672,0.125705654,0.447258233,774,Northern Flicker
Red-bellied Woodpecker,0.031242361,0.26289406,0.350961215,0.645097635,0.893782753,1020,Northern Flicker
Northern Flicker,0.129473799,0.089855351,0.040335836,0.259664985,0.409682666,1192,Red-headed Woodpecker
Black-chinned Hummingbird,0.061908632,0.000685762,0.002735674,0.065330068,0.010955644,176,Broad-tailed Hummingbird
Broad-tailed Hummingbird,0.319169192,0.009180772,0.069502779,0.397852742,0.027960325,148,Black-chinned Hummingbird
Rufous Hummingbird,0.205225548,0.004421047,0.16405736,0.373703955,0.021088092,122,Calliope Hummingbird
Scissor-tailed Flycatcher,0.207363372,0.148144068,0.232819202,0.588326642,0.416711582,188,Eastern Kingbird
Eastern Kingbird,0.085290976,0.070035925,0.043397067,0.198723968,0.450893725,1358,Olive-sided Flycatcher
Western Kingbird,0.167961753,0.053518268,0.11402624,0.335506262,0.241639259,572,Olive-sided Flycatcher
Cassin's Kingbird,0.224590501,0.060239691,0.005360788,0.290190981,0.211493349,102,Ash-throated Flycatcher
Great Crested Flycatcher,0.076845243,0.136586873,0.032077826,0.245509942,0.639954641,1154,Eastern Phoebe
Ash-throated Flycatcher,0.106689477,0.265305578,-0.060589867,0.311405189,0.713196518,224,Say's Phoebe
Eastern Phoebe,0.096176264,0.23221348,0.003731715,0.33212146,0.707127686,1094,Eastern Kingbird
Say's Phoebe,0.10219086,0.040979929,-0.011426625,0.131744164,0.286231076,356,Western Kingbird
Olive-sided Flycatcher,0.1119721,0.022287241,0.009139718,0.143399059,0.16600142,384,Western Kingbird
Eastern Wood-Pewee,0.135331803,0.147817396,0.061435166,0.344584365,0.522047727,1106,Eastern Kingbird
Western Wood-Pewee,0.113472267,0.204747959,-8.74E-05,0.318132829,0.643415919,474,Western Kingbird
Cordilleran Flycatcher,0.098262264,0.069561384,-0.002122736,0.165700913,0.414490955,114,Hammond's Flycatcher
Pacific-slope Flycatcher,0.082837225,0.183132698,0.263468455,0.529438378,0.688546645,128,Western Wood-Pewee
Acadian Flycatcher,0.150063857,0.172230573,-0.031232947,0.291061482,0.534388923,612,Eastern Wood-Pewee
Willow Flycatcher,0.153331353,0.03208346,-0.015274981,0.170139832,0.173036119,794,Alder Flycatcher
Least Flycatcher,0.162040455,0.161726245,0.165390252,0.489156952,0.499514759,602,Willow Flycatcher
Hammond's Flycatcher,0.124727882,0.003122617,0.06326468,0.191115179,0.024423971,202,Cordilleran Flycatcher
Dusky Flycatcher,0.065839444,0.001718984,0.028172392,0.095730819,0.025444399,214,Gray Flycatcher
Gray Flycatcher,0.068666043,0.011095405,-0.007741517,0.072019931,0.139107363,90,Cordilleran Flycatcher
Black-billed Magpie,0.163968963,0.063023845,0.030998353,0.257991161,0.27764688,376,Blue Jay
Blue Jay,0.129742694,0.027578343,0.226937085,0.384258122,0.175299781,1248,Black-billed Magpie
Steller's Jay,0.117549069,0.127292097,0.090587348,0.335428514,0.519896629,238,Clark's Nutcracker
Western Scrub-Jay,0.138051656,0.167642275,0.178668065,0.484361996,0.548399094,72,Steller's Jay
Gray Jay,0.074616126,0.001781271,0.026744853,0.10314225,0.023315854,216,Steller's Jay
American Crow,0.232200474,0.000483008,0.203239016,0.435922498,0.002075814,1570,Black-billed Magpie
Fish Crow,0.085847358,0.194474009,0.136335866,0.416657234,0.693753783,372,Blue Jay
Clark's Nutcracker,0.079340704,0.004874739,-0.000354351,0.083861091,0.057884144,164,Gray Jay
Bobolink,0.084823025,0.186497684,0.17928781,0.45060852,0.687369884,604,Brown-headed Cowbird
Brown-headed Cowbird,0.10024533,0.003876209,0.056578914,0.160700453,0.037227734,1712,Bullock's Oriole
Yellow-headed Blackbird,0.155790417,0.123779986,-0.045177131,0.234393273,0.44275068,298,Red-winged Blackbird
Red-winged Blackbird,0.061553594,0.238678122,0.092285617,0.392517333,0.794979709,1672,Brown-headed Cowbird
Eastern Meadowlark,0.094312126,0.336859637,-0.02151803,0.409653733,0.781265533,1092,Brown-headed Cowbird
Western Meadowlark,0.030275065,0.243606667,0.308516527,0.582398258,0.88945935,708,Brown-headed Cowbird
Orchard Oriole,0.139668663,0.156201589,0.092895251,0.388765504,0.527939487,904,Brown-headed Cowbird
Baltimore Oriole,0.142937236,0.057514664,0.130137704,0.330589604,0.286925011,950,Brown-headed Cowbird
Bullock's Oriole,0.072086397,0.157139787,0.050136981,0.279363165,0.685522849,364,Brown-headed Cowbird
Brewer's Blackbird,0.106470854,0.258907763,0.070073632,0.435452249,0.7086013,524,Brown-headed Cowbird
Common Grackle,0.139609124,0.164872617,0.164375083,0.468856824,0.541486056,1356,Brown-headed Cowbird
Great-tailed Grackle,0.053872635,0.249759093,0.173178574,0.476810302,0.822572446,218,Brown-headed Cowbird
Purple Finch,0.053882573,0.089726641,-0.019488719,0.124120495,0.624797245,456,House Finch
Cassin's Finch,0.052173731,0.241985462,0.028892757,0.32305195,0.822634369,180,House Finch
House Finch,0.074795923,0.025998675,0.033141013,0.133935611,0.257937184,1426,Pine Siskin
Red Crossbill,0.203256796,0.065035541,0.080966368,0.349258705,0.242405511,278,Purple Finch
