Variable,Estimate,Q2.5,Q97.5,Focal,Family
abPrecip,0.595524848,0.461401448,0.730449873,NA,NA
abPrecip,0.076996972,-0.022658284,0.176864144,NA,NA
abNDVI,-0.72757251,-0.912173488,-0.543861522,NA,NA
abNDVI,0.147744437,0.007162147,0.287119345,NA,NA
abNDVI,-0.296836106,-0.388737319,-0.203299489,NA,NA
abNDVI,-0.534336688,-0.637641298,-0.43276975,NA,NA
abNDVI,0.085347379,0.013696086,0.156726339,NA,NA
,2.586484299,2.097303551,3.078181745,California Quail,Odontophoridae
c_s,0.35355056,0.183715364,0.524266686,California Quail,Odontophoridae
abTemp,-0.598297905,-0.807720717,-0.389008475,California Quail,Odontophoridae
abElev,-1.585337792,-1.794350743,-1.381357545,California Quail,Odontophoridae
abPrecip,-0.508493606,-0.686233677,-0.328064389,California Quail,Odontophoridae
abNDVI,-0.705479272,-0.869368193,-0.538710914,California Quail,Odontophoridae
,0.010552423,-0.335749794,0.361295304,Northern Bobwhite,Odontophoridae
c_s,0.78733256,0.592973463,0.98887897,Northern Bobwhite,Odontophoridae
abTemp,-0.593019701,-0.695000441,-0.492746476,Northern Bobwhite,Odontophoridae
abElev,-0.392342069,-0.516936068,-0.270818536,Northern Bobwhite,Odontophoridae
abPrecip,1.006820455,0.895190372,1.120511426,Northern Bobwhite,Odontophoridae
abNDVI,-0.269812875,-0.363681614,-0.171437253,Northern Bobwhite,Odontophoridae
,0.999352754,0.683790173,1.321824292,Black-capped Chickadee,Paridae
c_s,0.905239576,0.73522821,1.075865393,Black-capped Chickadee,Paridae
abTemp,0.04127952,-0.056216445,0.13764172,Black-capped Chickadee,Paridae
abElev,-0.092034758,-0.189377697,0.00507558,Black-capped Chickadee,Paridae
abPrecip,-0.359660629,-0.453524959,-0.264701467,Black-capped Chickadee,Paridae
abNDVI,-0.015608468,-0.082499795,0.052420157,Black-capped Chickadee,Paridae
,2.75727281,2.369842098,3.14853422,Carolina Chickadee,Paridae
c_s,-0.082199512,-0.267567539,0.100457345,Carolina Chickadee,Paridae
abTemp,-0.630396501,-0.77422155,-0.487368827,Carolina Chickadee,Paridae
abElev,1.04091399,0.850727039,1.236232204,Carolina Chickadee,Paridae
abPrecip,-1.286910701,-1.452272967,-1.122664113,Carolina Chickadee,Paridae
abNDVI,0.168725017,0.042404938,0.295337361,Carolina Chickadee,Paridae
,-1.757395488,-2.118111627,-1.396024972,Mountain Chickadee,Paridae
c_s,0.157249081,-0.017938079,0.332489095,Mountain Chickadee,Paridae
abTemp,0.628817328,0.486244913,0.771006711,Mountain Chickadee,Paridae
abElev,0.546027782,0.373629399,0.720087025,Mountain Chickadee,Paridae
abPrecip,0.067075829,-0.108152082,0.245122067,Mountain Chickadee,Paridae
abNDVI,0.020317563,-0.095646011,0.137304965,Mountain Chickadee,Paridae
,3.514342532,3.169263692,3.855951737,Tufted Titmouse,Paridae
c_s,1.784591019,1.629715211,1.941544816,Tufted Titmouse,Paridae
abTemp,-0.530044906,-0.649888603,-0.409502165,Tufted Titmouse,Paridae
abElev,0.838286743,0.688891899,0.994892323,Tufted Titmouse,Paridae
abPrecip,-1.220896824,-1.333421979,-1.108431643,Tufted Titmouse,Paridae
abNDVI,-0.24905653,-0.336494155,-0.160002271,Tufted Titmouse,Paridae
,-0.552878343,-0.828015691,-0.273771158,American Redstart,Parulidae
c_s,0.107710962,-0.024665301,0.24115911,American Redstart,Parulidae
abTemp,-0.537677564,-0.638884773,-0.437161695,American Redstart,Parulidae
abElev,-0.348175157,-0.450961369,-0.242503652,American Redstart,Parulidae
abPrecip,0.449498885,0.347765842,0.551136819,American Redstart,Parulidae
abNDVI,0.127455973,0.053214215,0.203293314,American Redstart,Parulidae
,-1.62549665,-1.904199957,-1.343926855,Black-and-white Warbler,Parulidae
c_s,0.886699934,0.759899288,1.013258988,Black-and-white Warbler,Parulidae
abTemp,-0.102937267,-0.217684212,0.014568205,Black-and-white Warbler,Parulidae
abElev,0.049158473,-0.061882494,0.156366513,Black-and-white Warbler,Parulidae
abPrecip,0.616153351,0.514621707,0.720887593,Black-and-white Warbler,Parulidae
abNDVI,0.053617351,-0.01531762,0.12507804,Black-and-white Warbler,Parulidae
,0.624023742,0.285852022,0.966337253,Blackburnian Warbler,Parulidae
c_s,-1.278339756,-1.442330643,-1.111583345,Blackburnian Warbler,Parulidae
abTemp,0.184797879,0.047090397,0.326212055,Blackburnian Warbler,Parulidae
abElev,-0.177691491,-0.295263292,-0.061922953,Blackburnian Warbler,Parulidae
abPrecip,-0.103165789,-0.233840075,0.02981793,Blackburnian Warbler,Parulidae
abNDVI,0.268248995,0.179312961,0.362578232,Blackburnian Warbler,Parulidae
,-0.624722702,-0.96619197,-0.269510748,Black-throated Blue Warbler,Parulidae
c_s,-0.526688369,-0.698973688,-0.357262554,Black-throated Blue Warbler,Parulidae
abTemp,1.3460572,1.15514021,1.535755229,Black-throated Blue Warbler,Parulidae
abElev,-0.343205621,-0.488228029,-0.2001102,Black-throated Blue Warbler,Parulidae
abPrecip,-0.791915659,-0.953305985,-0.633600734,Black-throated Blue Warbler,Parulidae
abNDVI,0.271193378,0.185962268,0.355437305,Black-throated Blue Warbler,Parulidae
,-0.824828351,-1.17402001,-0.463122948,Black-throated Gray Warbler,Parulidae
c_s,0.083314187,-0.07049414,0.234781723,Black-throated Gray Warbler,Parulidae
abTemp,0.319598379,0.19419234,0.443438148,Black-throated Gray Warbler,Parulidae
abElev,-0.2697322,-0.465426761,-0.075978807,Black-throated Gray Warbler,Parulidae
abPrecip,0.542652034,0.268565407,0.812614181,Black-throated Gray Warbler,Parulidae
abNDVI,-0.417970828,-0.563668182,-0.269720987,Black-throated Gray Warbler,Parulidae
,1.313596336,0.986928547,1.644970723,Black-throated Green Warbler,Parulidae
c_s,-1.227446223,-1.385695072,-1.074277671,Black-throated Green Warbler,Parulidae
abTemp,-1.27914835,-1.419916153,-1.138781688,Black-throated Green Warbler,Parulidae
abElev,0.245330298,0.119182905,0.369450905,Black-throated Green Warbler,Parulidae
abPrecip,-0.001329472,-0.132166218,0.127933758,Black-throated Green Warbler,Parulidae
abNDVI,0.096329481,-0.009904161,0.202766794,Black-throated Green Warbler,Parulidae
,-1.436702011,-1.839747276,-1.023001948,Blue-winged Warbler,Parulidae
c_s,0.035661085,-0.17220415,0.246747134,Blue-winged Warbler,Parulidae
abTemp,0.271096917,0.132079684,0.410299262,Blue-winged Warbler,Parulidae
abElev,-0.039636859,-0.148584527,0.070594254,Blue-winged Warbler,Parulidae
abPrecip,0.306040274,0.183958023,0.426896364,Blue-winged Warbler,Parulidae
abNDVI,-0.107924734,-0.200468428,-0.016466285,Blue-winged Warbler,Parulidae
,-3.4084871,-3.73128516,-3.078375449,Canada Warbler,Parulidae
c_s,0.918837134,0.773872339,1.06635945,Canada Warbler,Parulidae
abTemp,1.211307966,0.96986086,1.454337034,Canada Warbler,Parulidae
abElev,-0.015411025,-0.14951482,0.117769815,Canada Warbler,Parulidae
abPrecip,0.502041058,0.290939805,0.715102861,Canada Warbler,Parulidae
abNDVI,0.105186313,0.003227624,0.204329228,Canada Warbler,Parulidae
,1.964590465,1.632885191,2.308475381,Chestnut-sided Warbler,Parulidae
c_s,-1.059473035,-1.213927434,-0.905691389,Chestnut-sided Warbler,Parulidae
abTemp,-1.008230741,-1.129609209,-0.885244689,Chestnut-sided Warbler,Parulidae
abElev,0.486884038,0.353675935,0.61823249,Chestnut-sided Warbler,Parulidae
abPrecip,0.37076313,0.242202571,0.502548392,Chestnut-sided Warbler,Parulidae
abNDVI,-0.230220189,-0.308334621,-0.1511966,Chestnut-sided Warbler,Parulidae
,0.999865686,0.724785588,1.283543121,Common Yellowthroat,Parulidae
c_s,0.08326812,-0.046197452,0.21249058,Common Yellowthroat,Parulidae
abTemp,-0.107059576,-0.209463023,-0.00522019,Common Yellowthroat,Parulidae
abElev,-0.153500611,-0.245339148,-0.060420452,Common Yellowthroat,Parulidae
abPrecip,-0.174009696,-0.267375998,-0.080197067,Common Yellowthroat,Parulidae
abNDVI,0.038306339,-0.023380921,0.101561116,Common Yellowthroat,Parulidae
,0.768425657,0.441473611,1.09349653,Hooded Warbler,Parulidae
c_s,-1.353788241,-1.521434734,-1.184716388,Hooded Warbler,Parulidae
abTemp,0.756819725,0.633910052,0.877308467,Hooded Warbler,Parulidae
abElev,0.18636566,0.013174626,0.362118754,Hooded Warbler,Parulidae
abPrecip,-0.211652395,-0.329203716,-0.095392181,Hooded Warbler,Parulidae
abNDVI,0.266749633,0.179184373,0.356309974,Hooded Warbler,Parulidae
,-0.898955879,-1.188571421,-0.603540986,Kentucky Warbler,Parulidae
c_s,0.401273213,0.26216392,0.538011055,Kentucky Warbler,Parulidae
abTemp,0.096003887,-0.013023192,0.207080607,Kentucky Warbler,Parulidae
abElev,-0.269942004,-0.382066729,-0.156898398,Kentucky Warbler,Parulidae
abPrecip,-0.240820477,-0.35249045,-0.128295236,Kentucky Warbler,Parulidae
abNDVI,0.11545863,0.041143704,0.192477545,Kentucky Warbler,Parulidae
,-2.114838563,-2.408606793,-1.820102834,Louisiana Waterthrush,Parulidae
c_s,0.457919058,0.324700345,0.592702486,Louisiana Waterthrush,Parulidae
abTemp,0.088820705,-0.021225989,0.19761496,Louisiana Waterthrush,Parulidae
abElev,0.128173491,0.007197605,0.250326583,Louisiana Waterthrush,Parulidae
abPrecip,0.178160675,0.062089245,0.293190345,Louisiana Waterthrush,Parulidae
abNDVI,-0.1926088,-0.289487711,-0.093994461,Louisiana Waterthrush,Parulidae
,0.668776717,0.332931887,1.007602655,MacGillivray's Warbler,Parulidae
c_s,0.140125641,-0.01020609,0.2887705,MacGillivray's Warbler,Parulidae
abTemp,0.240400662,0.079087254,0.400469276,MacGillivray's Warbler,Parulidae
abElev,-0.352775305,-0.506922046,-0.19498261,MacGillivray's Warbler,Parulidae
abPrecip,-0.001789609,-0.139666772,0.138358949,MacGillivray's Warbler,Parulidae
abNDVI,-0.360328863,-0.446515117,-0.274084798,MacGillivray's Warbler,Parulidae
,0.376779954,0.026465712,0.735890259,Magnolia Warbler,Parulidae
c_s,-1.552695778,-1.743177914,-1.361566616,Magnolia Warbler,Parulidae
abTemp,0.291160255,0.163727166,0.416304827,Magnolia Warbler,Parulidae
abElev,0.235047858,0.080136791,0.390020856,Magnolia Warbler,Parulidae
abPrecip,0.089693667,-0.046626623,0.223031113,Magnolia Warbler,Parulidae
abNDVI,0.289479314,0.176294242,0.404039268,Magnolia Warbler,Parulidae
,-1.172801242,-1.487690251,-0.848428177,Mourning Warbler,Parulidae
c_s,-0.246721895,-0.404633452,-0.091607287,Mourning Warbler,Parulidae
abTemp,0.057883075,-0.062785107,0.179006656,Mourning Warbler,Parulidae
abElev,0.325034247,0.202882552,0.447412531,Mourning Warbler,Parulidae
abPrecip,-0.206860767,-0.324316134,-0.087355948,Mourning Warbler,Parulidae
abNDVI,1.20539016,1.080324643,1.332285817,Mourning Warbler,Parulidae
,-0.023749745,-0.339215561,0.297902834,Nashville Warbler,Parulidae
c_s,-0.965032497,-1.112181221,-0.81731652,Nashville Warbler,Parulidae
abTemp,-0.099020557,-0.283816137,0.082885494,Nashville Warbler,Parulidae
abElev,0.428551083,0.278645996,0.580565456,Nashville Warbler,Parulidae
abPrecip,-0.226210353,-0.340161045,-0.110000184,Nashville Warbler,Parulidae
abNDVI,0.143726717,0.051489986,0.234833036,Nashville Warbler,Parulidae
,-0.536393325,-0.82349807,-0.243512139,Northern Parula,Parulidae
c_s,-0.663901336,-0.803136562,-0.529008807,Northern Parula,Parulidae
abTemp,0.743965912,0.633993771,0.85379696,Northern Parula,Parulidae
abElev,0.724616018,0.595959638,0.853169841,Northern Parula,Parulidae
abPrecip,-0.049605605,-0.143676741,0.04710955,Northern Parula,Parulidae
abNDVI,-0.033788075,-0.113118999,0.044620856,Northern Parula,Parulidae
,-0.398043722,-0.735765156,-0.060916263,Orange-crowned Warbler,Parulidae
c_s,-0.218822298,-0.357817222,-0.07722117,Orange-crowned Warbler,Parulidae
abTemp,0.867305211,0.687845942,1.048717929,Orange-crowned Warbler,Parulidae
abElev,-0.561815778,-0.688146223,-0.436549583,Orange-crowned Warbler,Parulidae
abPrecip,0.986501488,0.698088782,1.283455145,Orange-crowned Warbler,Parulidae
abNDVI,-0.359173668,-0.456092632,-0.263426734,Orange-crowned Warbler,Parulidae
,3.203462208,2.871340806,3.540196721,Ovenbird,Parulidae
c_s,-2.179276048,-2.352769477,-2.011306101,Ovenbird,Parulidae
abTemp,-0.040519872,-0.152472568,0.07083846,Ovenbird,Parulidae
abElev,-0.189043455,-0.292800538,-0.08662126,Ovenbird,Parulidae
abPrecip,-0.083905667,-0.183645328,0.016910403,Ovenbird,Parulidae
abNDVI,0.357225848,0.277144395,0.438421081,Ovenbird,Parulidae
,0.989144536,0.684167133,1.302408279,Pine Warbler,Parulidae
c_s,-1.632981693,-1.785959131,-1.475132858,Pine Warbler,Parulidae
abTemp,0.551850195,0.439586649,0.661686095,Pine Warbler,Parulidae
abElev,-0.466199042,-0.583797233,-0.349225927,Pine Warbler,Parulidae
abPrecip,0.263956223,0.161815647,0.36864919,Pine Warbler,Parulidae
abNDVI,0.616067943,0.514553702,0.720178028,Pine Warbler,Parulidae
,-0.321926842,-0.620330529,-0.022912784,Prairie Warbler,Parulidae
c_s,-0.249466679,-0.398822494,-0.09674773,Prairie Warbler,Parulidae
abTemp,0.105588653,0.001551019,0.209969356,Prairie Warbler,Parulidae
abElev,-0.296901358,-0.4089555,-0.185231881,Prairie Warbler,Parulidae
abPrecip,0.260903295,0.144472052,0.378514855,Prairie Warbler,Parulidae
abNDVI,0.485156511,0.403106473,0.567535496,Prairie Warbler,Parulidae
,-1.562118917,-1.851359116,-1.26629202,Prothonotary Warbler,Parulidae
c_s,0.361029824,0.218619139,0.503712978,Prothonotary Warbler,Parulidae
abTemp,0.086144618,-0.044837924,0.215478239,Prothonotary Warbler,Parulidae
abElev,-0.944247338,-1.079652621,-0.804813246,Prothonotary Warbler,Parulidae
abPrecip,0.166033081,0.032823487,0.299090803,Prothonotary Warbler,Parulidae
abNDVI,0.67336357,0.540828251,0.808358829,Prothonotary Warbler,Parulidae
,-3.49309652,-3.843632809,-3.136307626,Swainson's Warbler,Parulidae
c_s,0.622622934,0.436609576,0.814758825,Swainson's Warbler,Parulidae
abTemp,0.133169686,-0.085260986,0.348422745,Swainson's Warbler,Parulidae
abElev,0.23116035,-0.21588461,0.679373682,Swainson's Warbler,Parulidae
abPrecip,0.119505393,-0.038785772,0.276843445,Swainson's Warbler,Parulidae
abNDVI,1.068457711,0.878797503,1.256387778,Swainson's Warbler,Parulidae
,-1.579445279,-1.900582032,-1.25638838,Wilson's Warbler,Parulidae
c_s,-0.44111131,-0.581280835,-0.302970457,Wilson's Warbler,Parulidae
abTemp,0.77258598,0.635045489,0.90584626,Wilson's Warbler,Parulidae
abElev,0.611874384,0.449277488,0.776340825,Wilson's Warbler,Parulidae
abPrecip,0.183222647,-0.031874418,0.401956594,Wilson's Warbler,Parulidae
abNDVI,-0.127327987,-0.233776493,-0.022620373,Wilson's Warbler,Parulidae
,-1.197342153,-1.540154688,-0.85266473,Worm-eating Warbler,Parulidae
c_s,-0.608548152,-0.77754589,-0.438209481,Worm-eating Warbler,Parulidae
abTemp,0.153909501,0.032467499,0.273919032,Worm-eating Warbler,Parulidae
abElev,-0.163012999,-0.306940511,-0.019132283,Worm-eating Warbler,Parulidae
abPrecip,0.566181484,0.417666464,0.71301206,Worm-eating Warbler,Parulidae
abNDVI,0.646931133,0.546908213,0.746359742,Worm-eating Warbler,Parulidae
,1.14172094,0.861433498,1.433360653,Yellow Warbler,Parulidae
c_s,-0.227413796,-0.354827579,-0.100774751,Yellow Warbler,Parulidae
abTemp,-0.258788063,-0.349543049,-0.169339101,Yellow Warbler,Parulidae
abElev,-0.213240601,-0.34173441,-0.087329576,Yellow Warbler,Parulidae
abPrecip,-0.074744598,-0.16908562,0.020159538,Yellow Warbler,Parulidae
abNDVI,-0.167804796,-0.234441225,-0.100012942,Yellow Warbler,Parulidae
,-1.892559038,-2.182564261,-1.599479847,Yellow-throated Warbler,Parulidae
c_s,0.1714309,0.034275561,0.30863299,Yellow-throated Warbler,Parulidae
abTemp,-0.195799458,-0.312507872,-0.082419946,Yellow-throated Warbler,Parulidae
abElev,0.18923226,0.070575067,0.309735685,Yellow-throated Warbler,Parulidae
abPrecip,-0.210009322,-0.319987155,-0.0988912,Yellow-throated Warbler,Parulidae
abNDVI,0.614138893,0.516806635,0.709048003,Yellow-throated Warbler,Parulidae
,2.572848375,1.56475635,3.676814495,House Sparrow,Passeridae
c_s,2.44393418,1.457062077,3.529372534,House Sparrow,Passeridae
abTemp,-0.098457166,-0.194131366,-0.003009166,House Sparrow,Passeridae
abElev,-0.276714708,-0.378862738,-0.174348727,House Sparrow,Passeridae
abPrecip,-0.238018639,-0.330817359,-0.143798711,House Sparrow,Passeridae
abNDVI,0.21579605,0.150722417,0.282478143,House Sparrow,Passeridae
,-2.320411894,-2.75460639,-1.892088935,Gray Partridge,Phasianidae
c_s,0.455038037,0.177194248,0.723447128,Gray Partridge,Phasianidae
abTemp,0.346521966,0.154465329,0.538736316,Gray Partridge,Phasianidae
abElev,-0.916239479,-1.127605346,-0.706794044,Gray Partridge,Phasianidae
abPrecip,0.04090759,-0.124641692,0.198225792,Gray Partridge,Phasianidae
abNDVI,0.094430223,-0.112461171,0.298021576,Gray Partridge,Phasianidae
,-3.241995211,-3.621688822,-2.858335185,Ruffed Grouse,Phasianidae
c_s,0.769521338,0.496990045,1.036186887,Ruffed Grouse,Phasianidae
abTemp,0.317631559,0.208514954,0.426603129,Ruffed Grouse,Phasianidae
abElev,0.235293581,0.076097371,0.394961303,Ruffed Grouse,Phasianidae
abPrecip,0.050708505,-0.081542887,0.182514188,Ruffed Grouse,Phasianidae
abNDVI,0.178463033,0.075954045,0.279144715,Ruffed Grouse,Phasianidae
,-0.398394985,-0.673530675,-0.120660672,Downy Woodpecker,Picidae
c_s,0.513135261,0.387346883,0.639761641,Downy Woodpecker,Picidae
abTemp,0.333548858,0.234264262,0.43019389,Downy Woodpecker,Picidae
abElev,-0.412819826,-0.510014303,-0.313984293,Downy Woodpecker,Picidae
abPrecip,-0.424831408,-0.513326287,-0.33587352,Downy Woodpecker,Picidae
abNDVI,0.189536893,0.122682249,0.256959162,Downy Woodpecker,Picidae
,-2.227034233,-2.500157287,-1.945313036,Hairy Woodpecker,Picidae
c_s,0.29719958,0.17077415,0.423098502,Hairy Woodpecker,Picidae
abTemp,0.179639256,0.081794276,0.274802993,Hairy Woodpecker,Picidae
abElev,-0.121775287,-0.23978829,-0.002958322,Hairy Woodpecker,Picidae
abPrecip,0.217143877,0.117933379,0.31704969,Hairy Woodpecker,Picidae
abNDVI,0.333410473,0.264096401,0.403912295,Hairy Woodpecker,Picidae
,-3.203429809,-3.632698688,-2.774595937,Ladder-backed Woodpecker,Picidae
c_s,-0.85670858,-1.108810492,-0.613957333,Ladder-backed Woodpecker,Picidae
abTemp,-0.510451489,-0.74046194,-0.277008662,Ladder-backed Woodpecker,Picidae
abElev,0.987525769,0.699098366,1.275683033,Ladder-backed Woodpecker,Picidae
abPrecip,0.789223292,0.523534118,1.054897506,Ladder-backed Woodpecker,Picidae
abNDVI,0.138729959,-0.142158469,0.411427593,Ladder-backed Woodpecker,Picidae
,-0.299031852,-0.570646745,-0.022033576,Northern Flicker,Picidae
c_s,0.21053155,0.077223336,0.345467865,Northern Flicker,Picidae
abTemp,-0.213125088,-0.314643502,-0.113669868,Northern Flicker,Picidae
abElev,0.00904263,-0.094106521,0.110307339,Northern Flicker,Picidae
abPrecip,-0.079588396,-0.175140883,0.016667772,Northern Flicker,Picidae
abNDVI,0.278885872,0.208948643,0.350712676,Northern Flicker,Picidae
,2.975888785,2.65606086,3.308691467,Red-bellied Woodpecker,Picidae
c_s,0.136298032,-0.01566238,0.289707696,Red-bellied Woodpecker,Picidae
abTemp,-1.637366697,-1.767278189,-1.509648065,Red-bellied Woodpecker,Picidae
abElev,-0.734958853,-0.840438571,-0.627551093,Red-bellied Woodpecker,Picidae
abPrecip,-0.009900664,-0.117732648,0.101217359,Red-bellied Woodpecker,Picidae
abNDVI,0.286995998,0.187946504,0.386555064,Red-bellied Woodpecker,Picidae
,-1.668212808,-1.947444804,-1.384996393,Red-headed Woodpecker,Picidae
c_s,-0.112860173,-0.247430705,0.024162579,Red-headed Woodpecker,Picidae
abTemp,0.084155011,-0.018061629,0.184917198,Red-headed Woodpecker,Picidae
abElev,-0.397643546,-0.516423453,-0.278880842,Red-headed Woodpecker,Picidae
abPrecip,0.499216815,0.392461658,0.608497184,Red-headed Woodpecker,Picidae
abNDVI,0.146968097,0.067224713,0.228893872,Red-headed Woodpecker,Picidae
,-2.511163591,-2.852600487,-2.159702347,Red-naped Sapsucker,Picidae
c_s,0.311154401,0.149073579,0.472601716,Red-naped Sapsucker,Picidae
abTemp,0.389034611,0.220483921,0.561024966,Red-naped Sapsucker,Picidae
abElev,1.318940367,1.12578261,1.512449451,Red-naped Sapsucker,Picidae
abPrecip,-0.129932066,-0.296301378,0.0326636,Red-naped Sapsucker,Picidae
abNDVI,0.102397004,-0.013357496,0.214471608,Red-naped Sapsucker,Picidae
,-0.415737004,-0.709928917,-0.121314759,Yellow-bellied Sapsucker,Picidae
c_s,-1.895474317,-2.081784606,-1.707631364,Yellow-bellied Sapsucker,Picidae
abTemp,0.183849884,0.050897288,0.315077498,Yellow-bellied Sapsucker,Picidae
abElev,0.133263088,0.01623272,0.251439309,Yellow-bellied Sapsucker,Picidae
abPrecip,0.272029098,0.154023733,0.38992507,Yellow-bellied Sapsucker,Picidae
abNDVI,0.07059037,-0.000906495,0.143821369,Yellow-bellied Sapsucker,Picidae
,-2.562515372,-2.87758947,-2.248224856,Golden-crowned Kinglet,Regulidae
c_s,0.518777096,0.381296967,0.657244479,Golden-crowned Kinglet,Regulidae
abTemp,0.941320568,0.80386074,1.074567278,Golden-crowned Kinglet,Regulidae
abElev,-0.235335243,-0.361312122,-0.110006375,Golden-crowned Kinglet,Regulidae
abPrecip,0.576894227,0.399787799,0.756578003,Golden-crowned Kinglet,Regulidae
abNDVI,0.278424213,0.181384575,0.376793542,Golden-crowned Kinglet,Regulidae
,-1.830338469,-3.015050902,-0.64682304,Brown-headed Nuthatch,Sittidae
c_s,0.484689057,-0.673228428,1.635979202,Brown-headed Nuthatch,Sittidae
abTemp,-0.057226982,-0.181122213,0.065930419,Brown-headed Nuthatch,Sittidae
abElev,0.249824806,0.073238254,0.428724541,Brown-headed Nuthatch,Sittidae
abPrecip,0.28378347,0.150594148,0.421089003,Brown-headed Nuthatch,Sittidae
abNDVI,0.325112394,0.184504002,0.460308381,Brown-headed Nuthatch,Sittidae
,-1.757924597,-2.043500961,-1.471013002,Red-breasted Nuthatch,Sittidae
c_s,0.381068027,0.245758136,0.516376338,Red-breasted Nuthatch,Sittidae
abTemp,0.652216963,0.544084587,0.7592127,Red-breasted Nuthatch,Sittidae
abElev,-0.202153631,-0.310499795,-0.089598508,Red-breasted Nuthatch,Sittidae
abPrecip,0.232039852,0.119804324,0.344830004,Red-breasted Nuthatch,Sittidae
abNDVI,0.142160893,0.068293103,0.218805161,Red-breasted Nuthatch,Sittidae
,-0.339889136,-0.622639752,-0.053734283,White-breasted Nuthatch,Sittidae
c_s,0.876948356,0.735757225,1.019295005,White-breasted Nuthatch,Sittidae
abTemp,-0.182543604,-0.281809488,-0.083692892,White-breasted Nuthatch,Sittidae
abElev,-0.299598361,-0.417291869,-0.184971819,White-breasted Nuthatch,Sittidae
abPrecip,0.03339976,-0.058772461,0.128244544,White-breasted Nuthatch,Sittidae
abNDVI,0.241130749,0.172729421,0.310105955,White-breasted Nuthatch,Sittidae
,-1.39256316,-1.747950744,-1.046665323,Blue-gray Gnatcatcher,Sylviidae
c_s,-0.330755109,-0.576679484,-0.098424275,Blue-gray Gnatcatcher,Sylviidae
abTemp,-0.325154025,-0.418955501,-0.232949391,Blue-gray Gnatcatcher,Sylviidae
abElev,0.908599434,0.775673161,1.042325181,Blue-gray Gnatcatcher,Sylviidae
abPrecip,0.074205625,-0.024770906,0.172674095,Blue-gray Gnatcatcher,Sylviidae
abNDVI,-8.37E-05,-0.071326072,0.072782116,Blue-gray Gnatcatcher,Sylviidae
,-1.097803019,-1.375760284,-0.812278416,Scarlet Tanager,Thraupidae
c_s,0.329687587,0.200821673,0.458442343,Scarlet Tanager,Thraupidae
abTemp,0.605880712,0.499179503,0.712877799,Scarlet Tanager,Thraupidae
abElev,0.362856181,0.25220017,0.471870798,Scarlet Tanager,Thraupidae
abPrecip,-0.435405205,-0.530105836,-0.342381096,Scarlet Tanager,Thraupidae
abNDVI,0.010121042,-0.060978373,0.081388539,Scarlet Tanager,Thraupidae
,0.211632685,-0.176308,0.607159859,Summer Tanager,Thraupidae
c_s,-0.011011104,-0.275871138,0.252844819,Summer Tanager,Thraupidae
abTemp,-0.767022791,-0.879592721,-0.658236443,Summer Tanager,Thraupidae
abElev,0.612598089,0.410335774,0.816534275,Summer Tanager,Thraupidae
abPrecip,-0.428418041,-0.544087072,-0.310174812,Summer Tanager,Thraupidae
abNDVI,0.239035756,0.145273503,0.333027603,Summer Tanager,Thraupidae
,0.290855028,-0.091364216,0.667373553,Western Tanager,Thraupidae
c_s,0.906420721,0.713389282,1.103244784,Western Tanager,Thraupidae
abTemp,0.348398018,0.225627,0.46954912,Western Tanager,Thraupidae
abElev,0.010236983,-0.118939807,0.137760769,Western Tanager,Thraupidae
abPrecip,-0.196522843,-0.346059709,-0.042155472,Western Tanager,Thraupidae
abNDVI,-0.371821779,-0.462705853,-0.281679374,Western Tanager,Thraupidae
,-2.285217987,-2.616979367,-1.94750766,Black-chinned Hummingbird,Trochilidae
c_s,0.639103498,0.488302497,0.789539999,Black-chinned Hummingbird,Trochilidae
abTemp,0.224954045,0.069771481,0.38068105,Black-chinned Hummingbird,Trochilidae
abElev,0.241408709,0.074444051,0.401263971,Black-chinned Hummingbird,Trochilidae
abPrecip,0.143555329,0.005460381,0.278046658,Black-chinned Hummingbird,Trochilidae
abNDVI,-0.019746026,-0.16814094,0.12963181,Black-chinned Hummingbird,Trochilidae
,-0.073173458,-0.431261512,0.299524784,Broad-tailed Hummingbird,Trochilidae
c_s,0.364554708,0.180578695,0.547257581,Broad-tailed Hummingbird,Trochilidae
abTemp,1.499189033,1.245769388,1.758809778,Broad-tailed Hummingbird,Trochilidae
abElev,-0.605374355,-0.792411199,-0.418069624,Broad-tailed Hummingbird,Trochilidae
abPrecip,-0.496953311,-0.661065311,-0.335348657,Broad-tailed Hummingbird,Trochilidae
abNDVI,-0.404197629,-0.554923612,-0.256084677,Broad-tailed Hummingbird,Trochilidae
,-0.032179784,-0.452877855,0.40084557,Rufous Hummingbird,Trochilidae
c_s,0.429399366,0.243737603,0.614784783,Rufous Hummingbird,Trochilidae
abTemp,0.381489514,0.199822682,0.559773084,Rufous Hummingbird,Trochilidae
abElev,-0.649537556,-0.86299986,-0.437771622,Rufous Hummingbird,Trochilidae
abPrecip,-0.899910586,-1.117072935,-0.684570652,Rufous Hummingbird,Trochilidae
abNDVI,0.179734069,0.058188023,0.300053689,Rufous Hummingbird,Trochilidae
,-0.215481296,-0.555310084,0.129806917,Bewick's Wren,Troglodytidae
c_s,0.884122032,0.733984308,1.036543265,Bewick's Wren,Troglodytidae
abTemp,0.501357907,0.381040458,0.620448053,Bewick's Wren,Troglodytidae
abElev,-0.923689112,-1.105422904,-0.742359219,Bewick's Wren,Troglodytidae
abPrecip,0.107348142,-0.021406417,0.23398728,Bewick's Wren,Troglodytidae
