FocalAOU,Focal Common Name,Competition Occupancy Estimate ,Competition Occupancy P-value,Competition Occupancy R2,Environment z-score Occupancy R2,Both Occupancy P-value,Both Occupancy R2,Competition Abundance Estimate ,Competition Abundance P-value,Competition Abundance R2,Environment z-score Abundance R2,Both Abundance P-value,Both Abundance R2,Main Competitor Common Name
4590,Olive-sided Flycatcher,-1.74469127,1.87E-05,0.031426959,0.121111839,0.000130959,0.143399079,-1.101746018,0.000457597,0.021186404,0.07546807,0.000127928,0.098982601,Western Kingbird
4540,Ash-throated Flycatcher,-5.219525251,2.33E-18,0.204715711,0.046099669,3.66E-25,0.31140534,-16.99100356,1.26E-12,0.14024829,0.052606651,1.38E-13,0.197609693,Say's Phoebe
4610,Eastern Wood-Pewee,-3.46004567,4.55E-35,0.088038537,0.19676699,3.55E-42,0.281925555,-7.379452467,8.07E-71,0.173958369,0.128537229,3.46E-81,0.300901948,Eastern Phoebe
4480,Cassin's Kingbird,-2.940788594,0.001395411,0.065600479,0.229953363,0.000551236,0.290192496,-10.12128367,7.30E-05,0.099247522,0.122856658,7.03E-07,0.258472592,Ash-throated Flycatcher
4620,Western Wood-Pewee,-3.886125148,5.98E-24,0.133900345,0.113384927,2.40E-34,0.2827608,-8.095297869,2.64E-14,0.078585044,0.067467795,2.01E-16,0.152781781,Say's Phoebe
4670,Least Flycatcher,2.645027201,3.51E-14,0.061779854,0.327430791,0.023140828,0.331289223,-0.337813885,0.64484485,0.000235909,0.088411316,0.000181229,0.102552717,Alder Flycatcher
4641,Pacific-slope Flycatcher,-6.121529964,3.33E-26,0.446601146,0.346307257,5.76E-15,0.529438762,-27.80269468,2.80E-25,0.434152017,0.268797664,2.87E-17,0.502470774,Western Wood-Pewee
4650,Acadian Flycatcher,-5.893152861,4.10E-32,0.140997633,0.118830929,5.07E-45,0.291061536,-11.49280533,2.55E-65,0.272555591,0.088787377,7.95E-92,0.420808951,Eastern Wood-Pewee
4680,Hammond's Flycatcher,-2.409100411,5.62E-06,0.066295829,0.187993006,5.52E-08,0.26495041,-6.094535828,4.24E-12,0.147655919,0.132710883,1.71E-20,0.351297042,Dusky Flycatcher
4691,Gray Flycatcher,-0.377333661,0.629740739,0.001752506,0.060924748,0.585893992,0.063091252,-1.296883437,0.364290964,0.006192363,0.087897711,0.1827565,0.100410477,Dusky Flycatcher
4660,Willow Flycatcher,-1.258760283,7.17E-06,0.016808479,0.13805638,2.04E-11,0.170139844,-1.831736779,1.95E-07,0.022528101,0.124862084,4.75E-06,0.140194379,Alder Flycatcher
6870,American Redstart,0.745743299,0.017614411,0.004940805,0.222399474,3.60E-11,0.25188577,-1.378157827,0.03105739,0.004079381,0.047395966,2.30E-16,0.102332709,Least Flycatcher
4690,Dusky Flycatcher,-0.963627548,0.082287019,0.009434441,0.094011999,0.002154822,0.12072564,-5.719294201,1.18E-05,0.058502361,0.041574355,3.63E-06,0.104760768,Hammond's Flycatcher
4640,Cordilleran Flycatcher,-2.15216873,0.000603555,0.06743864,0.096139718,0.00028386,0.165701131,-3.750360378,0.001229858,0.060104479,0.064154896,0.001761927,0.118183637,Hammond's Flycatcher
4750,Black-billed Magpie,-3.674608149,1.32E-09,0.06341599,0.194967494,4.41E-17,0.290704575,-12.39518975,1.78E-06,0.039822234,0.127060638,1.33E-13,0.208802627,Steller's Jay
4840,Gray Jay,-1.437702181,0.002285861,0.028526122,0.101361437,0.427379995,0.103142601,-2.846328875,1.95E-05,0.055137013,0.090122237,0.034682612,0.102816192,Steller's Jay
