"FocalAOU","AOU_OUT","FAMILY","PRIMARY_COM_NAME.x","PRIMARY_COM_NAME.y"
3160,3210,"Columbidae","Inca Dove","Mourning Dove (Caribbean)"
3160,3200,"Columbidae","Common Ground-Dove","Mourning Dove"
3160,3200,"Columbidae","Common Ground-Dove","Mourning Dove (Caribbean)"
3160,3201,"Columbidae","Ruddy Ground-Dove","Mourning Dove"
3160,3201,"Columbidae","Ruddy Ground-Dove","Mourning Dove (Caribbean)"
3160,3180,"Columbidae","White-tipped Dove","Mourning Dove"
3160,3180,"Columbidae","White-tipped Dove","Mourning Dove (Caribbean)"
3160,3220,"Columbidae","Key West Quail-Dove","Mourning Dove"
3160,3220,"Columbidae","Key West Quail-Dove","Mourning Dove (Caribbean)"
3160,11120,"Columbidae","Bridled Quail-Dove","Mourning Dove"
3160,11120,"Columbidae","Bridled Quail-Dove","Mourning Dove (Caribbean)"
3160,3221,"Columbidae","Ruddy Quail-Dove","Mourning Dove"
3160,3221,"Columbidae","Ruddy Quail-Dove","Mourning Dove (Caribbean)"
3160,31500,"Columbidae","Nicobar Pigeon","Mourning Dove"
3160,31500,"Columbidae","Nicobar Pigeon","Mourning Dove (Caribbean)"
3160,91490,"Columbidae","Micronesian Pigeon","Mourning Dove"
3160,91490,"Columbidae","Micronesian Pigeon","Mourning Dove (Caribbean)"
3160,91480,"Columbidae","Pacific Pigeon","Mourning Dove"
3160,91480,"Columbidae","Pacific Pigeon","Mourning Dove (Caribbean)"
3160,90950,"Columbidae","Palau Ground-Dove","Mourning Dove"
3160,90950,"Columbidae","Palau Ground-Dove","Mourning Dove (Caribbean)"
3160,90860,"Columbidae","Caroline Ground-Dove","Mourning Dove"
3160,90860,"Columbidae","Caroline Ground-Dove","Mourning Dove (Caribbean)"
3160,90890,"Columbidae","Shy Ground-Dove","Mourning Dove"
3160,90890,"Columbidae","Shy Ground-Dove","Mourning Dove (Caribbean)"
3160,90880,"Columbidae","White-throated Ground-Dove","Mourning Dove"
3160,90880,"Columbidae","White-throated Ground-Dove","Mourning Dove (Caribbean)"
3160,91180,"Columbidae","Palau Fruit-Dove","Mourning Dove"
3160,91180,"Columbidae","Palau Fruit-Dove","Mourning Dove (Caribbean)"
3160,91160,"Columbidae","Many-colored Fruit-Dove","Mourning Dove"
3160,91160,"Columbidae","Many-colored Fruit-Dove","Mourning Dove (Caribbean)"
3160,91170,"Columbidae","Purple-capped Fruit-Dove","Mourning Dove"
3160,91170,"Columbidae","Purple-capped Fruit-Dove","Mourning Dove (Caribbean)"
3160,91200,"Columbidae","Mariana Fruit-Dove","Mourning Dove"
3160,91200,"Columbidae","Mariana Fruit-Dove","Mourning Dove (Caribbean)"
3190,3131,"Columbidae","Rock Pigeon","White-winged Dove"
3190,3141,"Columbidae","Scaly-naped Pigeon","White-winged Dove"
3190,3140,"Columbidae","White-crowned Pigeon","White-winged Dove"
3190,3130,"Columbidae","Red-billed Pigeon","White-winged Dove"
3190,10990,"Columbidae","Plain Pigeon","White-winged Dove"
3190,3120,"Columbidae","Band-tailed Pigeon","White-winged Dove"
3190,3152,"Columbidae","African Collared-Dove","White-winged Dove"
3190,22860,"Columbidae","Eurasian Collared-Dove","White-winged Dove"
3190,3151,"Columbidae","Spotted Dove","White-winged Dove"
3190,31450,"Columbidae","Island Collared-Dove","White-winged Dove"
3190,3153,"Columbidae","Zebra Dove","White-winged Dove"
3190,3190,"Columbidae","White-winged Dove","White-winged Dove"
3190,3170,"Columbidae","Zenaida Dove","White-winged Dove"
3190,3160,"Columbidae","Mourning Dove","White-winged Dove"
3190,3160,"Columbidae","Mourning Dove (Caribbean)","White-winged Dove"
3190,3210,"Columbidae","Inca Dove","White-winged Dove"
3190,3200,"Columbidae","Common Ground-Dove","White-winged Dove"
3190,3201,"Columbidae","Ruddy Ground-Dove","White-winged Dove"
3190,3180,"Columbidae","White-tipped Dove","White-winged Dove"
3190,3220,"Columbidae","Key West Quail-Dove","White-winged Dove"
3190,11120,"Columbidae","Bridled Quail-Dove","White-winged Dove"
3190,3221,"Columbidae","Ruddy Quail-Dove","White-winged Dove"
3190,31500,"Columbidae","Nicobar Pigeon","White-winged Dove"
3190,91490,"Columbidae","Micronesian Pigeon","White-winged Dove"
3190,91480,"Columbidae","Pacific Pigeon","White-winged Dove"
3190,90950,"Columbidae","Palau Ground-Dove","White-winged Dove"
3190,90860,"Columbidae","Caroline Ground-Dove","White-winged Dove"
3190,90890,"Columbidae","Shy Ground-Dove","White-winged Dove"
3190,90880,"Columbidae","White-throated Ground-Dove","White-winged Dove"
3190,91180,"Columbidae","Palau Fruit-Dove","White-winged Dove"
3190,91160,"Columbidae","Many-colored Fruit-Dove","White-winged Dove"
3190,91170,"Columbidae","Purple-capped Fruit-Dove","White-winged Dove"
3190,91200,"Columbidae","Mariana Fruit-Dove","White-winged Dove"
