stateroute,elev,elev.mean,elev.var,Longi,Lati,sum.NDVI,sum.EVI,sum.NDVI.mean,sum.EVI.mean,sum.NDVI.var,sum.EVI.var,mat,mdr,tseas,tmax,tmin,tar,twarmq,tcoldq,ap,pmax,pmin,pseas,pwetq,pdryq,mat.mean,mdr.mean,tseas.mean,tmax.mean,tmin.mean,tar.mean,twarmq.mean,tcoldq.mean,ap.mean,pmax.mean,pmin.mean,pseas.mean,pwetq.mean,pdryq.mean,mat.var,mdr.var,tseas.var,tmax.var,tmin.var,tar.var,twarmq.var,tcoldq.var,ap.var,pmax.var,pmin.var,pseas.var,pwetq.var,pdryq.var,regR
2001,186,209.3187246,1353.305289,-87.6,34.86,0.79606,0.5644475,0.759229845,0.530987396,0.007789307,0.007058645,15.3,13.3,7742,32.3,-2,34.3,25,5,1397,159,80,19,411,262,15.15474614,13.4104723,7733.877709,32.13509331,-2.328974618,34.46406793,24.77791374,4.84138835,1417.204203,159.8581986,82.59456523,18.40048965,417.7500139,267.6509905,0.126065325,0.026259827,655.074207,0.095716608,0.179331213,0.025010211,0.12566906,0.139058885,275.0147635,2.347912812,5.113747879,0.235654229,32.7967302,24.55964828,84
2006,192,232.0752038,1886.100491,-86.68,34.5,0.724265,0.4764425,0.740983119,0.505136772,0.008705735,0.006510398,15.5,13.1,7661,32.1,-1.8,33.9,25,5.2,1418,163,82,18,419,276,15.29087734,13.05358827,7669.213644,31.89155589,-2.021542595,33.91309849,24.83708542,5.032650327,1430.340712,164.2358136,82.75984799,18.10656158,421.4588959,276.990159,0.025502241,0.011170009,4597.436668,0.033642412,0.029893636,0.034019814,0.03631396,0.028870232,239.4778681,0.592149508,4.392575419,0.216198421,31.50540684,19.20351303,86
2017,199,167.641096,1163.599862,-87,33.52,0.8569425,0.5791325,0.780176782,0.496168142,0.005773732,0.003444662,16.3,12.9,7403,32.4,-0.7,33.1,25.6,6.5,1442,162,80,18,426,277,16.36654261,13.19915015,7379.251296,32.50960297,-0.776899277,33.25545554,25.57608371,6.518069076,1448.29805,164.1545797,80.52312661,18.47073319,434.233693,276.1653207,0.043390691,0.074937803,6103.477603,0.013729544,0.124805185,0.119156533,0.018264945,0.094177205,432.1599922,8.272319625,11.45883131,0.409373223,97.22430849,4.034086841,78
2019,106,90.82807178,618.1709519,-88.17,33.47,0.84725,0.5784825,0.792542373,0.522631822,0.003156585,0.001826608,16.5,13.3,7501,32.8,-0.6,33.4,25.9,6.5,1450,161,82,21,444,264,16.53249792,13.44810079,7489.201855,32.92082531,-0.817307394,33.58741652,25.8664135,6.573362054,1443.181695,161.6588081,82.19457689,20.826031,440.7608319,263.6729505,0.097012822,0.142456625,2305.578895,0.007879656,0.32176628,0.264402465,0.080423587,0.159493306,1159.155331,27.4744546,5.683274944,0.36811182,59.90394563,67.89265923,75
2021,46,56.57092464,264.3027203,-87.83,32.27,0.799635,0.486665,0.799135028,0.512005675,0.002385633,0.001200808,17.7,13.5,6995,33.3,1,32.3,26.4,8.4,1411,167,77,21,439,264,17.67165695,13.55256415,6968.990632,33.27451414,0.911450354,32.36306379,26.28626565,8.368962359,1427.654055,167.1499292,77.66423435,20.96934097,441.3476715,266.7207191,0.017015545,0.056327715,6268.323129,0.011287093,0.049883557,0.05194442,0.003575597,0.058507352,850.031331,8.569091691,11.22079191,0.222247279,34.89812598,26.25441109,71
2027,137,127.5284817,1005.897874,-85.55,32.31,0.8371575,0.581845,0.785968774,0.502440402,0.002299913,0.001208532,17.6,13,6851,32.5,1.2,31.3,26,8.4,1347,159,66,21,414,252,17.61267504,12.99227366,6844.377765,32.53269717,1.240108891,31.29258827,26.03512162,8.436158565,1346.641469,158.2288357,65.8638973,21.27398663,413.4332428,251.5465835,0.061634098,0.008225567,5817.985619,0.032086336,0.157223701,0.072961176,0.033259119,0.115195246,1641.929664,48.96472343,13.6981646,0.244936868,258.5213337,114.093657,73
2029,80,115.6503283,528.129125,-85.06,32.14,0.70528,0.3903825,0.772060278,0.488957814,0.004556389,0.003240895,18.1,13.4,6728,33,1.7,31.3,26.4,9.1,1245,138,55,21,377,222,17.99068039,13.2478183,6731.659553,32.81093981,1.671863576,31.13907623,26.26151057,8.988688046,1263.059729,141.1737199,56.69398965,21.59778565,382.6097089,225.0950182,0.038162538,0.031523217,10738.95675,0.02580778,0.05586282,0.031263202,0.014356182,0.080068233,1696.63114,59.33063931,12.35844689,0.290456403,267.6634309,120.6614,71
2034,104,92.72798784,281.430213,-86.61,31.44,0.7316025,0.45192,0.784895071,0.497325498,0.001762586,0.000886308,17.9,14.2,6595,33,1.2,31.8,26,9.1,1520,171,72,19,452,290,18.01002882,13.95072314,6567.718099,32.94949999,1.511601264,31.43789872,26.051578,9.232359555,1513.361305,169.5652858,72.77193974,19.42933817,449.187048,289.4712724,0.011831145,0.039722549,9296.626857,0.03923263,0.072782693,0.19691476,0.007674929,0.051938983,1492.604226,5.413714467,16.10058638,0.380599308,45.23913149,80.71960417,72
2043,144,144.3458132,968.7886113,-87.1,33.11,0.8005375,0.474715,0.794544531,0.500137963,0.003300757,0.001771262,16.8,13,7174,32.5,0,32.5,25.7,7.2,1473,163,80,18,448,276,16.85065624,13.03147608,7200.001546,32.60962264,0.065376194,32.57574239,25.8360753,7.270124543,1450.01183,162.2263846,78.69562999,18.65578822,441.9330658,274.1874382,0.06503407,0.054853135,10535.52376,0.019432293,0.237518479,0.20747728,0.044046013,0.151282673,267.164853,16.11064776,10.10991111,0.650514038,26.69982323,7.177374344,75
2045,198,207.3244491,1973.536191,-87.76,34.13,0.7127375,0.489825,0.806835031,0.541707833,0.001552487,0.001156274,15.2,14.2,7602,32.1,-2.7,34.8,24.6,5,1503,167,87,19,445,285,15.28187823,13.96279963,7602.994993,32.09672562,-2.518717121,34.61544274,24.70355113,5.077265798,1497.625814,166.7593223,87.2850482,18.8607449,443.8876271,283.9419091,0.044565722,0.129345675,1576.872899,0.072047209,0.037938515,0.056738575,0.032071128,0.071004422,148.1228495,3.737743907,0.535091303,0.280140191,10.96658721,17.52704527,80
