AOU,CommonName,Route Expected,MeanN,logN,Mass(g),logMass,migclass,10yr Prop,Foraging,Trophic Group
5810,Song Sparrow,648,18.96061129,1.277852335,21.33,1.328990855,short,0.917,ground glean,insct/om
5290,American Goldfinch,636,10.92408662,1.038385135,13.25,1.122215878,short,0.91,foliage glean,granivore
5870,Eastern Towhee,487,9.797177466,0.991100975,42,1.62324929,short,0.908,ground glean,insct/om
7570,Gray-cheeked Thrush,21,9.034484563,0.95590338,33,1.51851394,neotrop,0.905,ground glean,insectivore
4440,Eastern Kingbird,687,5.120066566,0.709275607,44,1.643452676,neotrop,0.904,hawks,insectivore
4230,Chimney Swift,578,8.994389871,0.953971709,24,1.380211242,neotrop,0.901,aerial foraging,insectivore
5630,Field Sparrow,478,7.023927203,0.846580002,13,1.113943352,short,0.889,ground glean,insct/om
5190,House Finch,637,11.05211928,1.043445563,21,1.322219295,short,0.887,ground glean,granivore
7210,House Wren,612,8.715260322,0.940280364,10.5,1.021189299,neotrop,0.886,ground glean,insectivore
4900,Fish Crow,163,6.80633097,0.832913064,274.75,2.438937701,short,0.883,ground glean,omnivore
3960,Ladder-backed Woodpecker,42,2.534492618,0.403891031,30,1.477121255,resid,0.881,bark glean,insectivore
7070,Curve-billed Thrasher,33,4.152417027,0.618300963,79,1.897627091,short,0.879,ground glean,insectivore
4860,Common Raven,327,7.251431028,0.860423721,1207.5,3.081887139,resid,0.878,ground glean,omnivore
4050,Pileated Woodpecker,532,2.22259514,0.34686036,287.5,2.458637849,resid,0.874,bark glean,insectivore
7040,Gray Catbird,636,6.703587331,0.826307272,37,1.568201724,neotrop,0.874,ground glean,insct/om
5280,Common Redpoll,23,18.7724413,1.273520755,13,1.113943352,short,0.87,foliage glean,granivore
2890,Northern Bobwhite,406,14.88358498,1.172707551,178,2.250420002,resid,0.869,ground glean,herbivore
5980,Indigo Bunting,594,17.5877525,1.245210345,15,1.176091259,neotrop,0.869,ground glean,insct/om
5070,Baltimore Oriole,494,4.519633725,0.655103241,34.25,1.534660576,neotrop,0.868,foliage glean,insectivore
6190,Cedar Waxwing,536,8.845444013,0.946719638,32.5,1.511883361,short,0.868,foliage glean,insct/om
6240,Red-eyed Vireo,673,16.03897171,1.205176521,15.5,1.190331698,neotrop,0.866,hover/glean,insectivore
7120,Crissal Thrasher,22,1.720026455,0.235535127,63,1.799340549,resid,0.864,ground glean,insectivore
6590,Chestnut-sided Warbler,204,7.812758872,0.892804421,9.75,0.989004616,neotrop,0.863,foliage glean,insct/om
6882,House Sparrow,811,31.22503644,1.494502954,27.75,1.443262987,resid,0.859,ground glean,insct/om
5600,Chipping Sparrow,774,13.29193487,1.123588205,12,1.079181246,neotrop,0.851,ground glean,insct/om
