"FocalAOU","Focal","CompAOU","Comp","Estimate","P","R2","envr2","bothp","bothr2"
2881,"Gray Partridge",3000,"Ruffed Grouse",-0.63262194337932,0.238778883120614,0.0103414701197542,0.0388700905704459,0.577979860139455,0.0411644804186738
2890,"Northern Bobwhite",2930,"Scaled Quail",-2.75500015172947,0.446413318534517,0.000741557585381063,0.0698986543607748,0.0712495899518823,0.0737831811192419
2940,"California Quail",2920,"Mountain Quail",-7.52182189626588,0.0494392821143838,0.0280874110588546,0.091067017380358,0.0918870175543556,0.110493239919233
3120,"Band-tailed Pigeon",3160,"Mourning Dove",-12.9480160458823,2.74008481871334e-05,0.145935043110243,0.234111885421897,0.00243453822027375,0.296857637347199
3160,"Mourning Dove",3120,"Band-tailed Pigeon",-43.2496646931569,1.68210431081079e-15,0.0365789088927212,0.0876353720609462,1.97831262772529e-18,0.127948216627806
3190,"White-winged Dove",3160,"Mourning Dove",-154.495703464312,8.60540449898433e-19,0.407876549316814,0.0979335804156385,1.84184808778722e-16,0.433762473276156
3200,"Common Ground-Dove",3160,"Mourning Dove",-27.802574818744,8.16013374669134e-08,0.234767640659388,0.120440604030862,7.49006077261005e-07,0.305717594024917
3870,"Yellow-billed Cuckoo",3880,"Black-billed Cuckoo",-6.92361388171718,5.10990144685861e-50,0.189987067610953,0.259523360550808,1.59803398765713e-10,0.287934975784724
3880,"Black-billed Cuckoo",3870,"Yellow-billed Cuckoo",-1.25653704288923,2.54686548311871e-16,0.104935680389978,0.0318627413108762,8.32650404106398e-17,0.137261279302431
3930,"Hairy Woodpecker",4060,"Red-headed Woodpecker",-0.832109288844851,2.40002655033097e-26,0.0821655751786181,0.0254926695968506,5.3947559856469e-21,0.0890009609123668
3940,"Downy Woodpecker",4021,"Red-naped Sapsucker",-2.23488441815317,3.78756891210282e-20,0.055824787534591,0.192351575075089,0.392672771058636,0.192753592738991
3960,"Ladder-backed Woodpecker",3940,"Downy Woodpecker",-1.33898892679839,0.0810674207567152,0.0260049264156369,0.100192050684745,0.0103841632959302,0.151661764638426
4020,"Yellow-bellied Sapsucker",3930,"Hairy Woodpecker",-17.7982907424098,5.31361752931475e-67,0.547110905951018,0.105032391026887,6.46507102299562e-61,0.566906548970144
4021,"Red-naped Sapsucker",4040,"Williamson's Sapsucker",-0.82215359667755,0.0316469252372681,0.0288916443022746,0.178492288544182,0.0251826238348743,0.204878457893453
4060,"Red-headed Woodpecker",4120,"Northern Flicker",-1.7870402274825,4.72572318322217e-11,0.0545631279212755,0.0184668550669049,9.00114630213264e-16,0.0977446786047773
4090,"Red-bellied Woodpecker",4120,"Northern Flicker",-21.2586027864418,1.00881842871642e-145,0.477641929899436,0.14847475547174,1.36676958161396e-114,0.48904809072232
4120,"Northern Flicker",4060,"Red-headed Woodpecker",-2.02131803884419,5.905543550605e-31,0.106422380900849,0.0702100572645857,4.73086160312198e-24,0.147091888136242
4290,"Black-chinned Hummingbird",4320,"Broad-tailed Hummingbird",-0.234719997466551,0.34440234199862,0.00513931518998658,0.0343505742507048,0.651359588021896,0.0355131502668294
4320,"Broad-tailed Hummingbird",4290,"Black-chinned Hummingbird",-12.4375907325396,7.61379251129705e-05,0.101985377837837,0.244218973656852,0.00472731151896389,0.285665908099342
4330,"Rufous Hummingbird",4360,"Calliope Hummingbird",-3.25493661263599,4.39681420975079e-06,0.16173346967687,0.262104938052447,0.235546012259259,0.271039533063584
