"stateroute","mat.point","mat.mean","mat.var","elev.point","elev.mean","elev.var","map.point","map.mean","map.var","evi.point","evi.mean","evi.var"
"4153",12.8333333333333,12.6987179487179,11.9200427350427,705,707,2609.84,43.25,43.1410256410256,3.53653846153846,6132.65,7377.94945010465,682386.210188441
"4154",18.1666666666667,15.54,10.2992592592593,603,626.36,6287.99,37.1666666666667,37.7833333333333,1.5775462962963,6114.975,6557.64408260391,867729.453908706
"4155",17.5833333333333,14.3839285714286,12.8535695914168,769,805.535714285714,4197.96164021164,41.3333333333333,41.9345238095238,3.81294091710759,5282.575,6824.72649533338,832537.234470307
"4157",-3.08333333333333,-3.5922619047619,13.3283638300999,560,545.428571428571,10031.2169312169,39.1666666666667,38.8095238095238,1.49375367430923,7725.025,7166.02248031746,404526.796143524
"4163",4.91666666666667,3.0216049382716,4.59967553023109,495,559.259259259259,7274.04558404558,33.5833333333333,34.5092592592593,0.56321225071225,6190.425,7239.35326016382,698048.978106258
"4164",11,10.7654320987654,28.51123773346,695,659.222222222222,6140.17948717949,36.3333333333333,36.0092592592593,0.759259259259259,5766.975,6683.72402252675,997893.430096467
"4165",4.33333333333333,5.3179012345679,35.6843146565369,649,687.851851851852,6957.20797720798,36.4166666666667,36.9197530864198,0.299936688825577,6746.95,6864.0444309752,909453.856382958
"4196",-16.5,-11.0144927536232,88.735891523935,2141,2025.73913043478,41257.7470355731,53.3333333333333,53.1992753623188,6.3735726833553,6890.17948717949,5187.56949600993,3895558.64904185
"42001",203.166666666667,203.504901960784,0.791207107843137,1,2.17647058823529,0.779411764705882,131.083333333333,130.450980392157,1.85248161764706,6347.89743589744,5033.55091533991,5523572.8063772
"42002",205.083333333333,205.222222222222,1.82308201058201,1,1.46666666666667,0.40952380952381,126.666666666667,126.405555555556,12.4542328042328,-1175,2734.3364510201,7985175.33248646
"42003",199.166666666667,199.55701754386,3.71917641325536,9,5.89473684210526,2.21052631578947,133.5,133.285087719298,7.02879304743342,8182.95,7309.02506238465,1913322.58109526
"42004",203.583333333333,203.475490196078,1.09267769607844,3,2.23529411764706,0.941176470588235,131.083333333333,131.426470588235,2.234272875817,5588.15,5660.58374036267,4420837.27548605
"42005",198.583333333333,198.807291666667,4.21177662037038,6,5.9375,2.19583333333333,131,131.5625,9.23842592592593,7399.875,7313.41963323145,1955209.4601456
"42006",199.916666666667,199.416666666667,1.16346153846153,2,2.14285714285714,0.901098901098901,123.583333333333,123.446428571429,3.06475122100122,6981.6,5528.02337022289,5473302.08968122
"42007",200.666666666667,199.661111111111,1.05006613756614,3,2.93333333333333,1.63809523809524,121.166666666667,121.388888888889,1.98082010582011,6995.75,5361.38985347203,5560559.20573569
"42008",195.5,194.921568627451,10.3997140522876,9,12.2941176470588,113.095588235294,127,128.985294117647,4.89516952614379,8082.05,6453.90828181583,5320658.41640881
"42009",189.166666666667,190.147058823529,7.34247344771242,52,45.1764705882353,763.154411764706,138.5,136.274509803922,4.28712214052287,7117.25,7724.30162070329,342573.107971368
"4201",20.3333333333333,31.7575757575758,62.9959716209716,1316,1085.31818181818,11756.8939393939,32.75,29.5,3.3558201058201,5348.35,4780.93514263074,910248.841993741
"42010",187.75,188.101851851852,3.19326434277415,78,72.3888888888889,728.839869281046,135.25,135.101851851852,2.59931009440814,7262.175,7671.825357655,227019.478330562
"42011",196.083333333333,196.367647058824,1.03390522875817,6,7.11764705882353,10.1102941176471,125.583333333333,126.544117647059,2.52440767973857,6602.175,6839.5714344796,2834689.79055507
"42012",189.916666666667,190.127450980392,5.19107434640523,28,34.7058823529412,833.470588235294,128.083333333333,128.31862745098,3.13648897058824,6308.90909090909,7661.78757678723,1110704.93140667
"42013",192.833333333333,192.151041666667,1.95668402777778,18,24.125,87.5833333333333,127.25,127.994791666667,3.26061921296295,6005.2,7184.02277005586,823320.204474354
"42014",191.416666666667,191.234375,2.92057291666665,30,29.6875,163.1625,128.916666666667,128.1875,2.7912037037037,8162.45,7316.23531125514,789949.164935243
"42015",197.666666666667,198.567708333333,4.6363136574074,5,4.875,11.05,120.5,120.536458333333,0.700896990740741,5204.575,5939.25506241064,3977620.8954818
"42016",189.666666666667,188.509259259259,4.64696804647786,51,55.4444444444444,392.02614379085,122.916666666667,121.5,12.297385620915,7659.9,7716.85689014156,333709.124757679
"42017",188.333333333333,188.308823529412,1.94944852941175,18,29.1176470588235,470.985294117647,126,126.843137254902,3.64920343137256,7293,7526.68256670966,1238719.61334797
"42018",185.5,183.78431372549,3.26480800653595,22,28.9411764705882,150.808823529412,118.833333333333,118.78431372549,3.69189133986928,6648.3,7143.9783180984,1098273.89623353
"42019",188.083333333333,186.074074074074,6.22703340595498,34,60.3888888888889,392.486928104575,116.083333333333,117.00462962963,7.17358841684822,7157.475,7773.24145982712,510616.365551116
"4202",53.8333333333333,54.1785714285714,6.20853174603175,912,946.333333333333,3920.83333333333,28.6666666666667,28.5119047619048,0.72797619047619,3889.525,4425.9964311565,262570.718798997
"42020",185.166666666667,186.004901960784,3.41013071895425,32,36.0588235294118,209.808823529412,119.833333333333,121.671568627451,2.75214460784313,8212.1,7621.15820326308,740255.905112066
"42021",186,184.787037037037,9.75835148874366,53,64.2777777777778,466.212418300654,114.5,115.703703703704,8.52714233841685,8539.3,7754.95400766283,497794.263607296
"42022",185.666666666667,187.442708333333,5.22288773148148,89,72.5,443.733333333333,118.916666666667,121.390625,12.9821469907408,7094.75,7715.88551998003,387401.71835201
"42023",177,176.162280701754,8.85067413905133,31,33.6842105263158,46.4502923976608,115.166666666667,114.938596491228,3.30389051332034,6608,7022.15734773309,725456.971790501
"42024",180.416666666667,180.811111111111,2.81395502645502,30,26.2666666666667,8.4952380952381,115.916666666667,115.605555555556,2.76335978835978,7504,6942.09395375083,670917.59514316
"42025",180.416666666667,180.294117647059,3.58517156862745,55,51.5882352941176,338.132352941176,115.666666666667,116.269607843137,16.2843137254902,8618.275,7793.29233547963,539893.213616883
"42026",177.25,177.093137254902,2.76725898692811,82,71,275.625,114.75,113.75,7.01302083333333,8177.55,7980.69543332218,279031.008687227
"42027",179.333333333333,179.921568627451,0.950061274509797,90,85.1764705882353,118.279411764706,104.083333333333,103.730392156863,2.01521650326797,8076.025,7793.04429580236,912834.198807542
