"comps.5","Family"
2940,"Odontophoridae"
2940,"Odontophoridae"
2940,"Odontophoridae"
2940,"Odontophoridae"
2940,"Odontophoridae"
2980,"Phasianidae"
2980,"Phasianidae"
2980,"Phasianidae"
3000,"Phasianidae"
3000,"Phasianidae"
3000,"Phasianidae"
3000,"Phasianidae"
3000,"Phasianidae"
3000,"Phasianidae"
3200,"Columbidae"
3200,"Columbidae"
3200,"Columbidae"
3200,"Columbidae"
3870,"Cuculidae"
3870,"Cuculidae"
4040,"Picidae"
4040,"Picidae"
4070,"Picidae"
4070,"Picidae"
4070,"Picidae"
4070,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4120,"Picidae"
4290,"Trochilidae"
4320,"Trochilidae"
4330,"Trochilidae"
4340,"Trochilidae"
4360,"Trochilidae"
4470,"Tyrannidae"
4470,"Tyrannidae"
4540,"Tyrannidae"
4570,"Tyrannidae"
4570,"Tyrannidae"
4570,"Tyrannidae"
4570,"Tyrannidae"
4580,"Tyrannidae"
4580,"Tyrannidae"
4610,"Tyrannidae"
4610,"Tyrannidae"
4630,"Tyrannidae"
4661,"Tyrannidae"
4670,"Tyrannidae"
4680,"Tyrannidae"
4690,"Tyrannidae"
4710,"Tyrannidae"
4750,"Corvidae"
4780,"Corvidae"
4780,"Corvidae"
4780,"Corvidae"
4780,"Corvidae"
4780,"Corvidae"
4780,"Corvidae"
4780,"Corvidae"
4840,"Corvidae"
4840,"Corvidae"
4840,"Corvidae"
4840,"Corvidae"
4840,"Corvidae"
4840,"Corvidae"
4840,"Corvidae"
4910,"Corvidae"
4910,"Corvidae"
4910,"Corvidae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
4980,"Icteridae"
5080,"Icteridae"
5190,"Fringillidae"
5190,"Fringillidae"
5190,"Fringillidae"
5190,"Fringillidae"
5190,"Fringillidae"
5210,"Fringillidae"
5210,"Fringillidae"
5210,"Fringillidae"
5220,"Fringillidae"
5300,"Fringillidae"
5300,"Fringillidae"
5300,"Fringillidae"
5330,"Fringillidae"
5330,"Fringillidae"
5330,"Fringillidae"
5400,"Emberizidae"
5400,"Emberizidae"
5400,"Emberizidae"
5400,"Emberizidae"
5400,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5420,"Emberizidae"
5450,"Emberizidae"
5460,"Emberizidae"
5460,"Emberizidae"
5460,"Emberizidae"
5520,"Emberizidae"
5520,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5540,"Emberizidae"
5580,"Emberizidae"
5580,"Emberizidae"
