"FocalAOU","ENV","COMP","SHARED","NONE","n","CommonName","migclass","Trophic.Group","Long","Lat","COMPSC"
2881,0.199173278906953,0.000259808137577228,0.00428141900939953,0.79628549394607,204,"Gray Partridge","resid","granivore",-104.8816687,46.7723045,0.00130273337001105
2890,0.188158819232976,8.12508653882937e-06,0.00478501128409078,0.807048044396395,1176,"Northern Bobwhite","resid","herbivore",-91.88500462,34.36484306,4.31802013271399e-05
2940,0.38901822256768,0.018658353055832,-0.00824340347806005,0.600566827854549,207,"California Quail","resid","granivore",-118.4479085,40.42621993,0.0457675377283952
3000,0.053791770071469,0.000474341348964687,1.59828692722695e-05,0.945717905710294,537,"Ruffed Grouse","resid","omnivore",-100.5815963,53.50905199,0.00874102338547286
3120,0.200629407985611,0.139955073605531,0.170621097682583,0.488794420726275,171,"Band-tailed Pigeon","neotrop","granivore",-108.0677114,32.00472473,0.410926161261633
3160,0.242818943377187,0.00907874631889713,0.00551247887734575,0.74258983142657,2556,"Mourning Dove","short","granivore",-98.99357994,39.47157689,0.0360414036740499
3190,0.0514988763868931,0.338074653279659,0.286568343230489,0.323858127102959,228,"White-winged Dove","short","granivore",-100.8175771,25.6853132,0.867807044202997
3200,0.171252837166061,0.102065696235036,0.0774376678856112,0.649243798713292,165,"Common Ground-Dove","resid","granivore",-79.89578889,20.38810958,0.373431303633018
3870,0.191883255321697,0.039370124110195,0.275219496983165,0.493527123584943,1578,"Yellow-billed Cuckoo","neotrop","insectivore",-83.72309228,29.32155511,0.170246697397087
3880,0.186864694920776,0.0124142737649624,0.0687685337409591,0.731952497573303,912,"Black-billed Cuckoo","neotrop","insectivore",-90.81282689,43.59423778,0.0622959554981422
3930,0.0273053444484246,0.000698175424868552,0.0136076487429431,0.958388831383764,1977,"Hairy Woodpecker","resid","insectivore",-89.17505496,40.32879206,0.0249317024441059
3940,0.321037512228582,0.00429371637083903,0.00524903409187246,0.669419737308707,2211,"Downy Woodpecker","resid","insectivore",-100.6521465,48.08186167,0.0131979840648063
3960,0.0579486740712271,0.052941599846737,-0.0141917556302527,0.903301481712289,177,"Ladder-backed Woodpecker","resid","insectivore",-86.84738485,14.79858974,0.477423294002347
4020,0.0212762312357005,0.479070309145283,0.0922294021047112,0.407424057514305,570,"Yellow-bellied Sapsucker","short","insectivore",-94.24031776,53.30443713,0.957477009395328
4021,0.142357679566686,0.0162625813345808,1.81811071104272e-05,0.841361557991623,240,"Red-naped Sapsucker","short","insectivore",-112.3709322,42.62499777,0.102525246410378
4060,0.0691159198935413,0.0124164298900425,-0.0121195584410334,0.93058720865745,1161,"Red-headed Woodpecker","short","omnivore",-88.79037348,37.15612842,0.152288385199251
4090,0.0425689145163265,0.292502495553089,0.339634706837481,0.325293883093104,1530,"Red-bellied Woodpecker","resid","insectivore",-88.09959938,36.89208003,0.872955694705473
4120,0.165382003606895,0.0663369538472283,0.00442764069123407,0.763853401854643,1788,"Northern Flicker","resid","insectivore",-87.16350079,38.64625539,0.286281945059942
4290,0.061908773479315,0.000685748634441846,0.00273568756833934,0.934669790317904,264,"Black-chinned Hummingbird","neotrop","nectarivore",-110.0064848,36.56883494,0.0109554096953659
4320,0.31917058619296,0.00918057350514223,0.0695029768184264,0.602145863483471,222,"Broad-tailed Hummingbird","neotrop","nectarivore",-106.760481,32.34901816,0.0279596195535998
4330,0.205228874416007,0.00442055343096176,0.164057852994084,0.626292719158947,183,"Rufous Hummingbird","neotrop","nectarivore",-121.9560068,50.67938179,0.0210854543051198
4430,0.0611439473971576,0.101429377916715,0.379041562785512,0.458385111900615,282,"Scissor-tailed Flycatcher","neotrop","insectivore",-98.11447202,33.37344638,0.623899263430148
4440,0.0582551544120448,0.26391947974686,0.0704328918860933,0.607392473955002,2037,"Eastern Kingbird","neotrop","insectivore",-96.49350173,45.45243708,0.819181436911908
4470,0.0527047510500156,0.201272176020013,0.229283398378308,0.516739674551664,858,"Western Kingbird","neotrop","insectivore",-108.3592126,40.65179927,0.79248212954603
