Focal,Estimate,P,R2,envr2,bothp,bothr2,Comp
Gray Partridge,-0.503594468,0.435677892,0.004541227,0.203452891,0.837144436,0.203712723,Ruffed Grouse
Northern Bobwhite,-1.806288238,0.052654717,0.004793136,0.192943805,0.929501275,0.19295193,Scaled Quail
California Quail,-1.244040681,0.233627342,0.01041495,0.380767556,0.044879796,0.399425358,Mountain Quail
Band-tailed Pigeon,-5.08030328,1.52E-09,0.279167577,0.371249161,1.01E-08,0.536663935,Mourning Dove
Mourning Dove,-4.432802045,6.50E-40,0.097651367,0.248331418,1.33E-49,0.339404148,Band-tailed Pigeon
White-winged Dove,-14.29682047,5.10E-35,0.639155122,0.338065315,1.29E-26,0.69761691,Mourning Dove
Common Ground-Dove,-15.92109876,2.90E-06,0.184163795,0.248687857,0.000110001,0.349773225,Mourning Dove
Yellow-billed Cuckoo,-6.20095242,3.28E-88,0.314589621,0.467102709,3.31E-19,0.506472851,Black-billed Cuckoo
Black-billed Cuckoo,-1.130632228,8.06E-13,0.081182808,0.255633165,0.001469708,0.26804745,Yellow-billed Cuckoo
Hairy Woodpecker,-1.808068412,7.53E-33,0.102669085,0.040912993,3.00E-23,0.110413242,Red-headed Woodpecker
Downy Woodpecker,-4.875290315,9.47E-42,0.117089358,0.326286536,0.163581367,0.327176948,Red-naped Sapsucker
Ladder-backed Woodpecker,-3.172393512,0.001767178,0.081161703,0.043756649,5.14E-05,0.174510405,Downy Woodpecker
Yellow-bellied Sapsucker,-10.99109961,9.02E-61,0.51148509,0.113505574,5.69E-55,0.538517931,Hairy Woodpecker
Red-naped Sapsucker,-1.106185096,0.10785674,0.016280762,0.142375705,0.086480234,0.15863827,Williamson's Sapsucker
Red-headed Woodpecker,-1.99461363,1.44E-08,0.040791626,0.056996357,2.54E-14,0.125705654,Northern Flicker
Red-bellied Woodpecker,-9.095407215,1.44E-212,0.613855275,0.382203576,3.39E-124,0.645097635,Northern Flicker
Northern Flicker,-3.16165765,5.77E-38,0.130191187,0.169809635,2.20E-31,0.259664985,Red-headed Woodpecker
Black-chinned Hummingbird,-0.304411618,0.440630457,0.003421436,0.064644306,0.724399638,0.065330068,Broad-tailed Hummingbird
Broad-tailed Hummingbird,-3.791316728,0.000554057,0.07868355,0.388671971,0.143394118,0.397852742,Black-chinned Hummingbird
Rufous Hummingbird,-4.027793652,2.66E-06,0.168478406,0.369282908,0.367392715,0.373703955,Calliope Hummingbird
Scissor-tailed Flycatcher,-5.609820411,4.00E-21,0.38096327,0.440182574,8.05E-14,0.588326642,Eastern Kingbird
Eastern Kingbird,-6.154183672,2.26E-37,0.113432992,0.128688043,1.90E-26,0.198723968,Olive-sided Flycatcher
Western Kingbird,-5.563724866,1.63E-24,0.167544508,0.281987993,3.63E-11,0.335506262,Olive-sided Flycatcher
Cassin's Kingbird,-2.940788594,0.009367051,0.065600479,0.229951289,0.005283934,0.290190981,Ash-throated Flycatcher
Great Crested Flycatcher,-4.068040025,3.52E-48,0.168664699,0.108923069,1.99E-43,0.245509942,Eastern Phoebe
Ash-throated Flycatcher,-5.219525251,1.06E-12,0.204715711,0.04609961,3.78E-17,0.311405189,Say's Phoebe
Eastern Phoebe,-5.479009541,7.60E-66,0.235945195,0.099907979,1.51E-72,0.33212146,Eastern Kingbird
Say's Phoebe,-1.328290982,0.001128052,0.029553304,0.090764235,5.95E-05,0.131744164,Western Kingbird
Olive-sided Flycatcher,-1.74469127,0.000482561,0.031426959,0.121111818,0.001846376,0.143399059,Western Kingbird
Eastern Wood-Pewee,-5.558092897,2.73E-58,0.209252562,0.196766969,1.47E-50,0.344584365,Eastern Kingbird
Western Wood-Pewee,-3.615782974,2.73E-25,0.204660562,0.11338487,1.58E-28,0.318132829,Western Kingbird
Cordilleran Flycatcher,-2.152168862,0.005267453,0.067438649,0.096139529,0.00334453,0.165700913,Hammond's Flycatcher
Pacific-slope Flycatcher,-6.12152997,6.81E-18,0.446601153,0.34630568,2.61E-10,0.529438378,Western Wood-Pewee
Acadian Flycatcher,-5.893152715,6.29E-22,0.140997626,0.118830909,1.75E-30,0.291061482,Eastern Wood-Pewee
Willow Flycatcher,-1.258760268,0.000249354,0.016808479,0.138056372,4.62E-08,0.170139832,Alder Flycatcher
Least Flycatcher,-5.630877067,1.37E-53,0.327116498,0.327430707,1.68E-37,0.489156952,Willow Flycatcher
Hammond's Flycatcher,-2.815542839,0.000213929,0.066387297,0.187992562,0.385446753,0.191115179,Cordilleran Flycatcher
Dusky Flycatcher,-1.946980334,0.011293781,0.029891375,0.094011835,0.530164117,0.095730819,Gray Flycatcher
Gray Flycatcher,-0.525967697,0.587691629,0.003353888,0.060924526,0.319139176,0.072019931,Cordilleran Flycatcher
Black-billed Magpie,-3.863712242,1.26E-09,0.094022198,0.194967316,4.06E-08,0.257991161,Blue Jay
Blue Jay,-5.525962265,1.51E-81,0.254515428,0.356679779,1.64E-13,0.384258122,Black-billed Magpie
Steller's Jay,-4.529761081,2.79E-14,0.217879445,0.208136417,1.90E-10,0.335428514,Clark's Nutcracker
Western Scrub-Jay,-4.766598468,5.44E-08,0.34631034,0.316719721,1.75E-05,0.484361996,Steller's Jay
Gray Jay,-1.437702232,0.012928013,0.028526124,0.10136098,0.51909973,0.10314225,Steller's Jay
American Crow,-4.777384398,1.21E-79,0.203722024,0.43543949,0.247348304,0.435922498,Black-billed Magpie
Fish Crow,-8.726338976,3.82E-34,0.330809876,0.222183225,1.12E-24,0.416657234,Blue Jay
Clark's Nutcracker,-0.561858922,0.392332046,0.004520388,0.078986353,0.360590715,0.083861091,Gray Jay
Bobolink,-6.928767663,1.59E-61,0.365785495,0.264110835,7.20E-40,0.45060852,Brown-headed Cowbird
Brown-headed Cowbird,-3.489590416,5.44E-25,0.060455123,0.156824244,0.005058164,0.160700453,Bullock's Oriole
Yellow-headed Blackbird,-4.389414949,8.72E-07,0.078602856,0.110613287,3.85E-11,0.234393273,Red-winged Blackbird
Red-winged Blackbird,-5.303027984,6.03E-148,0.330963739,0.153839211,4.79E-122,0.392517333,Brown-headed Cowbird
Eastern Meadowlark,-6.355585615,9.25E-92,0.315341607,0.072794096,1.37E-108,0.409653733,Brown-headed Cowbird
Western Meadowlark,-7.23561678,2.92E-125,0.552123194,0.338791591,4.40E-72,0.582398258,Brown-headed Cowbird
Orchard Oriole,-8.371440403,4.10E-58,0.249096841,0.232563914,2.47E-46,0.388765504,Brown-headed Cowbird
Baltimore Oriole,-6.289228432,9.83E-45,0.187652368,0.27307494,1.16E-18,0.330589604,Brown-headed Cowbird
Bullock's Oriole,-5.552812622,5.02E-20,0.207276768,0.122223378,4.55E-17,0.279363165,Brown-headed Cowbird
Brewer's Blackbird,-6.546155981,3.63E-47,0.328981395,0.176544486,2.16E-44,0.435452249,Brown-headed Cowbird
Common Grackle,-5.349421679,1.44E-119,0.3292477,0.303984207,2.50E-81,0.468856824,Brown-headed Cowbird
Great-tailed Grackle,-5.741425962,1.35E-27,0.422937667,0.227051209,1.03E-19,0.476810302,Brown-headed Cowbird
Purple Finch,-1.94741862,9.09E-09,0.070237922,0.034393854,3.57E-11,0.124120495,House Finch
Cassin's Finch,-4.091129361,6.96E-14,0.270878219,0.081066488,3.29E-13,0.32305195,House Finch
House Finch,-2.643658229,1.21E-20,0.059139688,0.107936936,9.20E-11,0.133935611,Pine Siskin
Red Crossbill,-2.892582009,4.28E-11,0.146001909,0.284223164,3.67E-07,0.349258705,Purple Finch
White-winged Crossbill,-2.027345612,3.56E-08,0.282443148,0.443982358,0.153132489,0.456799976,Purple Finch
American Goldfinch,-4.578424272,1.12E-54,0.165597549,0.441628185,8.55E-08,0.453490015,Pine Siskin
Lesser Goldfinch,-1.800336514,0.010121361,0.031669421,0.234530441,0.01357509,0.257328654,House Finch
Pine Siskin,-1.061887757,0.057639877,0.008129896,0.140292683,0.152527074,0.144305328,Lesser Goldfinch
Vesper Sparrow,-3.825064149,1.40E-39,0.207427168,0.257402218,4.32E-27,0.365102446,Song Sparrow
Grasshopper Sparrow,-3.118289195,1.56E-37,0.173652851,0.115073446,3.00E-61,0.356576243,Chipping Sparrow
Le Conte's Sparrow,-3.312252747,0.013474716,0.057283905,0.275223285,0.154266564,0.289856827,Savannah Sparrow
Lark Sparrow,-4.275485365,8.97E-47,0.291109047,0.243903923,6.90E-23,0.357564485,Chipping Sparrow
White-crowned Sparrow,-1.432738188,0.058244419,0.016505702,0.33487894,0.004026536,0.360389582,Lincoln's Sparrow
White-throated Sparrow,-7.773893578,1.45E-41,0.499490757,0.254823116,1.36E-32,0.567747328,Chipping Sparrow
Chipping Sparrow,-6.190115361,1.40E-159,0.392115373,0.268586593,1.50E-117,0.492764427,Lark Sparrow
Clay-colored Sparrow,-5.755349917,2.84E-34,0.424717037,0.465342409,1.33E-12,0.557591498,Chipping Sparrow
Brewer's Sparrow,-5.07277987,6.33E-14,0.229779591,0.061491055,5.99E-15,0.296303393,Lark Sparrow
Field Sparrow,-4.253288743,1.54E-33,0.142779602,0.204118201,5.04E-18,0.264954299,Swamp Sparrow
Black-throated Sparrow,-5.184258751,0.002082838,0.066587126,0.386786355,1.00E-05,0.470160844,Black-chinned Sparrow
Cassin's Sparrow,-4.304431,1.34E-08,0.214712606,0.279143831,0.007886631,0.31738498,Lark Sparrow
Song Sparrow,-5.64335224,1.13E-89,0.273921864,0.256317836,2.34E-49,0.374909807,Lark Sparrow
Fox Sparrow,-2.030027429,0.003483128,0.05086391,0.15678089,0.041646728,0.178434679,Lincoln's Sparrow
