sort v2019,Clements v2019 change,text for website v2019,category,page 6.0,English name,scientific name,range,order,family,extinct,extinct year,sort v2018,page 6.0
879,,,species,74,Vulturine Guineafowl,Acryllium vulturinum,Arid acacia scrub of s Ethiopia and Somalia to ne Tanzania,Galliformes,Numididae (Guineafowl),,,867,74
880,,,species,74,Plumed Guineafowl,Guttera plumifera,,Galliformes,Numididae (Guineafowl),,,868,74
881,,,subspecies,74,,Guttera plumifera plumifera,"S Cameroon to Congo basin, n Gabon and n Angola",Galliformes,Numididae (Guineafowl),,,869,74
882,,,subspecies,74,,Guttera plumifera schubotzi,northern Democratic Republic of the Congo to Rift Valley and forests west of Lake Tanganyika,Galliformes,Numididae (Guineafowl),,,870,74
883,,,species,74,Crested Guineafowl,Guttera pucherani,,Galliformes,Numididae (Guineafowl),,,871,74
884,,,group (monotypic),74,Crested Guineafowl (Kenya),Guttera pucherani pucherani,"Somalia to Tanzania, Zanzibar and Tumbatu I.",Galliformes,Numididae (Guineafowl),,,872,74
885,,,group (polytypic),,Crested Guineafowl (Western),Guttera pucherani verreauxi/sclateri,,Galliformes,Numididae (Guineafowl),,,873,
886,,,subspecies,74,,Guttera pucherani sclateri,NW Cameroon,Galliformes,Numididae (Guineafowl),,,874,74
887,,,subspecies,74,,Guttera pucherani verreauxi,"Guinea-Bissau to w Kenya, Angola and Zambia",Galliformes,Numididae (Guineafowl),,,875,74
888,,,group (polytypic),,Crested Guineafowl (Southern),Guttera pucherani edouardi/barbata,,Galliformes,Numididae (Guineafowl),,,876,
889,,,subspecies,74,,Guttera pucherani barbata,SE Tanzania to e Mozambique and Malawi,Galliformes,Numididae (Guineafowl),,,877,74
890,,,subspecies,74,,Guttera pucherani edouardi,E Zambia to Mozambique and ne South Africa,Galliformes,Numididae (Guineafowl),,,878,74
891,,,species,70,Stone Partridge,Ptilopachus petrosus,,Galliformes,Odontophoridae (New World Quail),,,879,70
892,,,group (monotypic),70,Stone Partridge (Stone),Ptilopachus petrosus petrosus,"Senegambia east to central Sudan, northeastern Democratic Republic of the Congo, northern Uganda, northern Kenya, and south central Ethiopia",Galliformes,Odontophoridae (New World Quail),,,880,70
893,,,group (monotypic),70,Stone Partridge (Ethiopian),Ptilopachus petrosus major,northern Eritrea and northwestern Ethiopia,Galliformes,Odontophoridae (New World Quail),,,881,70
894,,,species,66,Nahan's Francolin,Ptilopachus nahani,northeastern Democratic Republic of the Congo and western Uganda,Galliformes,Odontophoridae (New World Quail),,,882,66
895,,,species,63,Tawny-faced Quail,Rhynchortyx cinctus,,Galliformes,Odontophoridae (New World Quail),,,883,63
896,,,subspecies,63,,Rhynchortyx cinctus pudibundus,Caribbean lowlands of ne Honduras and e Nicaragua,Galliformes,Odontophoridae (New World Quail),,,884,63
897,,,subspecies,63,,Rhynchortyx cinctus cinctus,"Caribbean coast of Costa Rica and Panama, also on the Pacific slope of eastern Panama",Galliformes,Odontophoridae (New World Quail),,,885,63
898,,,subspecies,63,,Rhynchortyx cinctus australis,Pacific coast of Colombia and nw Ecuador,Galliformes,Odontophoridae (New World Quail),,,886,63
899,,,species,60,Mountain Quail,Oreortyx pictus,"montane areas in western North America, from Washington south through the Cascades, coast ranges, and Sierra Nevada to northern Mexico (Baja California)",Galliformes,Odontophoridae (New World Quail),,,887,60
900,,,species,60,Bearded Wood-Partridge,Dendrortyx barbatus,Humid montane forests of ne Mexico,Galliformes,Odontophoridae (New World Quail),,,888,60
901,,,species,60,Long-tailed Wood-Partridge,Dendrortyx macroura,,Galliformes,Odontophoridae (New World Quail),,,889,60
902,,,subspecies,60,,Dendrortyx macroura macroura,S Mexico (valley of México and Veracruz),Galliformes,Odontophoridae (New World Quail),,,890,60
903,,,subspecies,60,,Dendrortyx macroura diversus,SW Mexico (montane oak-pine forests of nw Jalisco),Galliformes,Odontophoridae (New World Quail),,,891,60
904,,,subspecies,60,,Dendrortyx macroura griseipectus,"W slope of mts. of Distrito Federal, México and Morelos",Galliformes,Odontophoridae (New World Quail),,,892,60
905,,,subspecies,60,,Dendrortyx macroura striatus,SW Mexico (s Jalisco to Michoacán and Guerrero),Galliformes,Odontophoridae (New World Quail),,,893,60
906,,,subspecies,60,,Dendrortyx macroura inesperatus,S Mexico (Chilpancingo area of Guerrero),Galliformes,Odontophoridae (New World Quail),,,894,60
907,,,subspecies,60,,Dendrortyx macroura oaxacae,S Mexico (montane oak-pine forests w Oaxaca),Galliformes,Odontophoridae (New World Quail),,,895,60
908,,,species,60,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,,Galliformes,Odontophoridae (New World Quail),,,896,60
909,,,subspecies,60,,Dendrortyx leucophrys leucophrys,Mountains of s Mexico (Chiapas) to Nicaragua,Galliformes,Odontophoridae (New World Quail),,,897,60
910,,,subspecies,60,,Dendrortyx leucophrys hypospodius,Mountains of n Costa Rica,Galliformes,Odontophoridae (New World Quail),,,898,60
911,,,species,61,Banded Quail,Philortyx fasciatus,"Arid w Mexico (sw Jalisco to se Guerrero, Morelos and Puebla)",Galliformes,Odontophoridae (New World Quail),,,899,61
912,,,species,61,Northern Bobwhite,Colinus virginianus,,Galliformes,Odontophoridae (New World Quail),,,900,61
913,,,group (polytypic),,Northern Bobwhite (Eastern),Colinus virginianus [virginianus Group],,Galliformes,Odontophoridae (New World Quail),,,901,
914,,,subspecies,61,,Colinus virginianus marilandicus,NE US (se Maine to Pennsylvania and central Virginia),Galliformes,Odontophoridae (New World Quail),,,902,61
915,,,subspecies,61,,Colinus virginianus virginianus,Atlantic coast (Virginia to n Florida and se Alabama),Galliformes,Odontophoridae (New World Quail),,,903,61
916,,,subspecies,61,,Colinus virginianus floridanus,Peninsular Florida,Galliformes,Odontophoridae (New World Quail),,,904,61
917,,,subspecies,61,,Colinus virginianus cubanensis,Cuba and Isle of Pines,Galliformes,Odontophoridae (New World Quail),,,905,61
918,,,subspecies,61,,Colinus virginianus mexicanus,E US west of Atlantic seaboard to Great Plains,Galliformes,Odontophoridae (New World Quail),,,906,61
919,,,subspecies,61,,Colinus virginianus taylori,"S Dakota to n Texas, w Missouri and nw Arkansas",Galliformes,Odontophoridae (New World Quail),,,907,61
920,,,subspecies,61,,Colinus virginianus texanus,"SW Texas to n Mexico (Coahuila, Nuevo León, Tamaulipas)",Galliformes,Odontophoridae (New World Quail),,,908,61
921,,,subspecies,61,,Colinus virginianus aridus,E Mexico (c and w-central Tamaulipas to se San Luis Potosí),Galliformes,Odontophoridae (New World Quail),,,909,61
922,,,subspecies,61,,Colinus virginianus maculatus,E Mexico (c Tamaulipas to n Veracruz and se San Luis Potosí),Galliformes,Odontophoridae (New World Quail),,,910,61
923,,,group (polytypic),,Northern Bobwhite (graysoni/nigripectus),Colinus virginianus graysoni/nigripectus,,Galliformes,Odontophoridae (New World Quail),,,911,
924,,,subspecies,61,,Colinus virginianus graysoni,"W-c Mexico (s Nayarit to Morelos, s Hidalgo, San Luis Potosí)",Galliformes,Odontophoridae (New World Quail),,,912,61
925,,,subspecies,61,,Colinus virginianus nigripectus,"E Mexico (Puebla, Morelos and México)",Galliformes,Odontophoridae (New World Quail),,,913,61
926,,,group (polytypic),,Northern Bobwhite (pectoralis Group),Colinus virginianus [pectoralis Group],,Galliformes,Odontophoridae (New World Quail),,,914,
927,,,subspecies,61,,Colinus virginianus pectoralis,SE Mexico (e slopes of mountains of central Veracruz),Galliformes,Odontophoridae (New World Quail),,,915,61
928,,,subspecies,61,,Colinus virginianus godmani,Lowlands of se Mexico (Veracruz),Galliformes,Odontophoridae (New World Quail),,,916,61
929,,,subspecies,61,,Colinus virginianus minor,SE Mexico (ne Chiapas and adjacent Tabasco),Galliformes,Odontophoridae (New World Quail),,,917,61
930,,,subspecies,61,,Colinus virginianus thayeri,S Mexico (ne Oaxaca),Galliformes,Odontophoridae (New World Quail),,,918,61
931,,,group (polytypic),,Northern Bobwhite (Masked),Colinus virginianus [coyoleos Group],,Galliformes,Odontophoridae (New World Quail),,,919,
932,,,subspecies,61,,Colinus virginianus ridgwayi,NW Mexico (n-central Sonora); extirpated in Arizona,Galliformes,Odontophoridae (New World Quail),,,920,61
933,,,subspecies,61,,Colinus virginianus atriceps,S Mexico (interior of w Oaxaca),Galliformes,Odontophoridae (New World Quail),,,921,61
934,,,subspecies,61,,Colinus virginianus harrisoni,S Mexico (sw Oaxaca),Galliformes,Odontophoridae (New World Quail),,,922,61
935,,,subspecies,61,,Colinus virginianus coyoleos,Pacific coast of s Mexico (Oaxaca and Chiapas),Galliformes,Odontophoridae (New World Quail),,,923,61
936,,,subspecies,61,,Colinus virginianus salvini,S Mexico (coastal southern Chiapas),Galliformes,Odontophoridae (New World Quail),,,924,61
937,,,subspecies,61,,Colinus virginianus insignis,S Mexico (s Chiapas) and adjacent Guatemala,Galliformes,Odontophoridae (New World Quail),,,925,61
938,,,species,61,Black-throated Bobwhite,Colinus nigrogularis,,Galliformes,Odontophoridae (New World Quail),,,926,61
939,,,subspecies,61,,Colinus nigrogularis persiccus,SE Mexico (Progresso area of Yucatán Peninsula),Galliformes,Odontophoridae (New World Quail),,,927,61
940,,,subspecies,61,,Colinus nigrogularis caboti,"SE Mexico (n Campeche, Yucatán and n Quintana Roo)",Galliformes,Odontophoridae (New World Quail),,,928,61
941,,,subspecies,61,,Colinus nigrogularis nigrogularis,Belize and adjacent n Guatemala,Galliformes,Odontophoridae (New World Quail),,,929,61
942,,,subspecies,61,,Colinus nigrogularis segoviensis,E Honduras and ne Nicaragua,Galliformes,Odontophoridae (New World Quail),,,930,61
943,,,species,61,Crested Bobwhite,Colinus cristatus,,Galliformes,Odontophoridae (New World Quail),,,931,61
944,,,group (polytypic),,Crested Bobwhite (Spot-bellied),Colinus cristatus [leucopogon Group],,Galliformes,Odontophoridae (New World Quail),,,932,
945,,,subspecies,61,,Colinus cristatus incanus,S Guatemala,Galliformes,Odontophoridae (New World Quail),,,933,61
946,,,subspecies,61,,Colinus cristatus hypoleucus,W El Salvador and adjacent Guatemala,Galliformes,Odontophoridae (New World Quail),,,934,61
947,,,subspecies,62,,Colinus cristatus leucopogon,SE El Salvador and w Honduras,Galliformes,Odontophoridae (New World Quail),,,935,62
948,,,subspecies,62,,Colinus cristatus leylandi,NW Honduras,Galliformes,Odontophoridae (New World Quail),,,936,62
949,,,subspecies,62,,Colinus cristatus sclateri,Central Honduras to nw Nicaragua,Galliformes,Odontophoridae (New World Quail),,,937,62
950,,,subspecies,62,,Colinus cristatus dickeyi,NW and central Costa Rica,Galliformes,Odontophoridae (New World Quail),,,938,62
951,,,group (polytypic),,Crested Bobwhite (Crested),Colinus cristatus [cristatus Group],,Galliformes,Odontophoridae (New World Quail),,,939,
952,,,subspecies,62,,Colinus cristatus mariae,Savanna of sw Costa Rica and e Panama (Chiriquí),Galliformes,Odontophoridae (New World Quail),,,940,62
953,,,subspecies,62,,Colinus cristatus panamensis,Lowlands of Pacific slope of Panama,Galliformes,Odontophoridae (New World Quail),,,941,62
954,,,subspecies,62,,Colinus cristatus decoratus,Caribbean coast of Colombia,Galliformes,Odontophoridae (New World Quail),,,942,62
955,,,subspecies,62,,Colinus cristatus cristatus,NE Colombia and nw Venezuela,Galliformes,Odontophoridae (New World Quail),,,943,62
956,,,subspecies,62,,Colinus cristatus continentis,"Coastal nw Venezuela, Aruba and Curaçao",Galliformes,Odontophoridae (New World Quail),,,944,62
957,,,subspecies,62,,Colinus cristatus littoralis,N base of Santa Marta Mountains (ne Colombia),Galliformes,Odontophoridae (New World Quail),,,945,62
958,,,subspecies,62,,Colinus cristatus badius,Cauca Valley to Pacific slope of Western Andes of Colombia,Galliformes,Odontophoridae (New World Quail),,,946,62
959,,,subspecies,62,,Colinus cristatus leucotis,N Colombia (Magdalena and Sinú valleys),Galliformes,Odontophoridae (New World Quail),,,947,62
960,,,subspecies,62,,Colinus cristatus bogotensis,E Andes of Colombia (Boyacá and Cundinamarca),Galliformes,Odontophoridae (New World Quail),,,948,62
961,,,subspecies,62,,Colinus cristatus parvicristatus,E slope of e Andes of Colombia and adjacent Venezuela,Galliformes,Odontophoridae (New World Quail),,,949,62
962,,,subspecies,62,,Colinus cristatus horvathi,Andes of nw Venezuela (Mérida),Galliformes,Odontophoridae (New World Quail),,,950,62
963,,,subspecies,62,,Colinus cristatus barnesi,W-central Venezuela (Portuguesa and Barinas),Galliformes,Odontophoridae (New World Quail),,,951,62
964,,,subspecies,62,,Colinus cristatus mocquerysi,"NE Venezuela (Sucre, n Monagas and n Anzoátegui)",Galliformes,Odontophoridae (New World Quail),,,952,62
965,,,subspecies,62,,Colinus cristatus sonnini,Coastal n Venezuela to the Guianas and extreme n Brazil,Galliformes,Odontophoridae (New World Quail),,,953,62
966,,,species,60,Scaled Quail,Callipepla squamata,,Galliformes,Odontophoridae (New World Quail),,,954,60
967,,,subspecies,60,,Callipepla squamata hargravei,"SE Colorado to Oklahoma, sw Kansas and nw Texas",Galliformes,Odontophoridae (New World Quail),,,955,60
968,,,subspecies,60,,Callipepla squamata pallida,"S Arizona to w Texas, n Sonora and Chihuahua",Galliformes,Odontophoridae (New World Quail),,,956,60
969,,,subspecies,60,,Callipepla squamata squamata,N Mexico (n Sonora and Tamaulipas s to valley of México),Galliformes,Odontophoridae (New World Quail),,,957,60
970,,,subspecies,60,,Callipepla squamata castanogastris,"S Texas to n Mexico (Tamaulipas, Nuevo León, e Coahuila)",Galliformes,Odontophoridae (New World Quail),,,958,60
972,,,species,61,Elegant Quail,Callipepla douglasii,,Galliformes,Odontophoridae (New World Quail),,,960,61
973,,,subspecies,61,,Callipepla douglasii bensoni,Arid nw Mexico (Sonora),Galliformes,Odontophoridae (New World Quail),,,961,61
974,,,subspecies,61,,Callipepla douglasii languens,Arid nw Mexico (w Chihuahua),Galliformes,Odontophoridae (New World Quail),,,962,61
975,,,subspecies,61,,Callipepla douglasii douglasii,W Mexico (extreme s Sonora to Sinaloa and nw Durango),Galliformes,Odontophoridae (New World Quail),,,963,61
976,,,subspecies,61,,Callipepla douglasii impedita,Arid w Mexico (Nayarit),Galliformes,Odontophoridae (New World Quail),,,964,61
977,,,subspecies,61,,Callipepla douglasii teres,Arid w Mexico (nw Jalisco),Galliformes,Odontophoridae (New World Quail),,,965,61
978,,,species,61,California Quail,Callipepla californica,,Galliformes,Odontophoridae (New World Quail),,,966,61
979,,,subspecies,61,,Callipepla californica californica,N Oregon and w Nevada to s California and Coronados Islands,Galliformes,Odontophoridae (New World Quail),,,967,61
980,,,subspecies,61,,Callipepla californica orecta,SE Oregon (Warner Valley) and extreme n California,Galliformes,Odontophoridae (New World Quail),,,968,61
981,,,subspecies,61,,Callipepla californica brunnescens,Extreme n coastal California to s Santa Cruz County,Galliformes,Odontophoridae (New World Quail),,,969,61
982,,,subspecies,61,,Callipepla californica catalinensis,Santa Catalina I. (off s California),Galliformes,Odontophoridae (New World Quail),,,970,61
983,,,subspecies,61,,Callipepla californica canfieldae,Owens Valley of e-central California,Galliformes,Odontophoridae (New World Quail),,,971,61
984,,,subspecies,61,,Callipepla californica plumbea,San Diego County south through nw Baja California,Galliformes,Odontophoridae (New World Quail),,,972,61
985,,,subspecies,61,,Callipepla californica decolorata,Baja California between latitude 25°N and 30°N,Galliformes,Odontophoridae (New World Quail),,,973,61
986,,,subspecies,61,,Callipepla californica achrustera,S Baja California,Galliformes,Odontophoridae (New World Quail),,,974,61
988,,,species,61,Gambel's Quail,Callipepla gambelii,,Galliformes,Odontophoridae (New World Quail),,,976,61
989,,,subspecies,61,,Callipepla gambelii gambelii,"Utah and Nevada to Colorado, Mohave deserts and ne Baja",Galliformes,Odontophoridae (New World Quail),,,977,61
990,,,subspecies,61,,Callipepla gambelii sana,Arid scrub of w Colorado,Galliformes,Odontophoridae (New World Quail),,,978,61
991,,,subspecies,61,,Callipepla gambelii ignoscens,S New Mexico and extreme w Texas,Galliformes,Odontophoridae (New World Quail),,,979,61
992,,,subspecies,61,,Callipepla gambelii pembertoni,Isla Tiburón (Gulf of California),Galliformes,Odontophoridae (New World Quail),,,980,61
993,,,subspecies,61,,Callipepla gambelii fulvipectus,SE Arizona and sw New Mexico to nw Mexico (s Sonora),Galliformes,Odontophoridae (New World Quail),,,981,61
994,,,subspecies,61,,Callipepla gambelii stephensi,W Mexico (s Sonora adjacent to Sinaloa border),Galliformes,Odontophoridae (New World Quail),,,982,61
995,,,subspecies,61,,Callipepla gambelii friedmanni,W Mexico (coastal Sonora from Río Fuerte to Río Culiacán),Galliformes,Odontophoridae (New World Quail),,,983,61
999,,,species,63,Montezuma Quail,Cyrtonyx montezumae,,Galliformes,Odontophoridae (New World Quail),,,987,63
1000,,,group (polytypic),,Montezuma Quail (Montezuma),Cyrtonyx montezumae [montezumae Group],,Galliformes,Odontophoridae (New World Quail),,,988,
1001,,,subspecies,63,,Cyrtonyx montezumae mearnsi,W Texas to central Arizona and n Mexico (n Coahuila),Galliformes,Odontophoridae (New World Quail),,,989,63
1002,,,subspecies,63,,Cyrtonyx montezumae montezumae,"E Mexico (Tamaulipas to Hidalgo, Puebla and Oaxaca)",Galliformes,Odontophoridae (New World Quail),,,990,63
1003,,,subspecies,63,,Cyrtonyx montezumae merriami,SE Mexico (Mt. Orizaba area of Veracruz),Galliformes,Odontophoridae (New World Quail),,,991,63
1004,,,group (polytypic),,Montezuma Quail (Salle's),Cyrtonyx montezumae sallei/rowleyi,,Galliformes,Odontophoridae (New World Quail),,,992,
1005,,,subspecies,63,,Cyrtonyx montezumae sallei,S Mexico (s Michoacán to Guerrero and w Oaxaca),Galliformes,Odontophoridae (New World Quail),,,993,63
1006,,,subspecies,63,,Cyrtonyx montezumae rowleyi,S Mexico (Sierra de Miahuatlán of Guerrero and Oaxaca),Galliformes,Odontophoridae (New World Quail),,,994,63
1007,,,species,63,Ocellated Quail,Cyrtonyx ocellatus,Oak-pine forests of s Mexico to n Nicaragua,Galliformes,Odontophoridae (New World Quail),,,995,63
1008,,,species,63,Singing Quail,Dactylortyx thoracicus,,Galliformes,Odontophoridae (New World Quail),,,996,63
1009,,,subspecies,63,,Dactylortyx thoracicus pettingilli,E Mexico (sw Tamaulipas and se San Luis Potosí),Galliformes,Odontophoridae (New World Quail),,,997,63
1010,,,subspecies,63,,Dactylortyx thoracicus thoracicus,E Mexico (ne Puebla and central Veracruz),Galliformes,Odontophoridae (New World Quail),,,998,63
1011,,,subspecies,63,,Dactylortyx thoracicus devius,W Mexico (Jalisco),Galliformes,Odontophoridae (New World Quail),,,999,63
1012,,,subspecies,63,,Dactylortyx thoracicus melodus,W Mexico (central Guerrero),Galliformes,Odontophoridae (New World Quail),,,1000,63
1013,,,subspecies,63,,Dactylortyx thoracicus ginetensis,S Mexico (Chiapas/Oaxaca border region),Galliformes,Odontophoridae (New World Quail),,,1001,63
1014,,,subspecies,63,,Dactylortyx thoracicus edwardsi,S Mexico (mountains of Chiapas adjacent to Oaxaca border),Galliformes,Odontophoridae (New World Quail),,,1002,63
1015,,,subspecies,63,,Dactylortyx thoracicus chiapensis,S Mexico (central Chiapas),Galliformes,Odontophoridae (New World Quail),,,1003,63
1016,,,subspecies,63,,Dactylortyx thoracicus moorei,S Mexico (mountains of central Chiapas),Galliformes,Odontophoridae (New World Quail),,,1004,63
1017,,,subspecies,63,,Dactylortyx thoracicus dolichonyx,S Mexico (Sierra Madre del Sur of Chiapas),Galliformes,Odontophoridae (New World Quail),,,1005,63
1018,,,subspecies,63,,Dactylortyx thoracicus sharpei,"Campeche, Yucatán and Quintana Roo to Petén of Guatemala",Galliformes,Odontophoridae (New World Quail),,,1006,63
1019,,,subspecies,63,,Dactylortyx thoracicus paynteri,S Mexico (s-central Quintana Roo),Galliformes,Odontophoridae (New World Quail),,,1007,63
1020,,,subspecies,63,,Dactylortyx thoracicus calophonus,Pacific Cordillera of Guatemala,Galliformes,Odontophoridae (New World Quail),,,1008,63
1021,,,subspecies,63,,Dactylortyx thoracicus salvadoranus,El Salvador (Volcán de San Miguel),Galliformes,Odontophoridae (New World Quail),,,1009,63
1022,,,subspecies,63,,Dactylortyx thoracicus taylori,El Salvador (Mt. Cacaguatique region),Galliformes,Odontophoridae (New World Quail),,,1010,63
1023,,,subspecies,63,,Dactylortyx thoracicus fuscus,Honduras (Tegucigalpa region),Galliformes,Odontophoridae (New World Quail),,,1011,63
1024,,,subspecies,63,,Dactylortyx thoracicus rufescens,Honduras (San Juancito Mountains),Galliformes,Odontophoridae (New World Quail),,,1012,63
1025,,,subspecies,63,,Dactylortyx thoracicus conoveri,Honduras (Department of Olancho),Galliformes,Odontophoridae (New World Quail),,,1013,63
1026,,,species,62,Marbled Wood-Quail,Odontophorus gujanensis,,Galliformes,Odontophoridae (New World Quail),,,1014,62
1027,,,subspecies,62,,Odontophorus gujanensis castigatus,SW Costa Rica and (?) w Panama,Galliformes,Odontophoridae (New World Quail),,,1015,62
1028,,,subspecies,62,,Odontophorus gujanensis marmoratus,E Panama to n Colombia and nw Venezuela,Galliformes,Odontophoridae (New World Quail),,,1016,62
1029,,,subspecies,62,,Odontophorus gujanensis gujanensis,"SE Venezuela to the Guianas, Brazil and extreme ne Paraguay",Galliformes,Odontophoridae (New World Quail),,,1017,62
1030,,,subspecies,62,,Odontophorus gujanensis medius,S Venezuela to nw Brazil,Galliformes,Odontophoridae (New World Quail),,,1018,62
1031,,,subspecies,62,,Odontophorus gujanensis buckleyi,Base of Eastern Andes of Colombia to e Ecuador and n Peru,Galliformes,Odontophoridae (New World Quail),,,1019,62
1032,,,subspecies,62,,Odontophorus gujanensis rufogularis,NE Peru (upper Río Javarí),Galliformes,Odontophoridae (New World Quail),,,1020,62
1033,,,subspecies,62,,Odontophorus gujanensis pachyrhynchus,E-central Peru (Junín and Ayacucho),Galliformes,Odontophoridae (New World Quail),,,1021,62
1034,,,subspecies,62,,Odontophorus gujanensis simonsi,Tropical e Bolivia,Galliformes,Odontophoridae (New World Quail),,,1022,62
1035,,,species,62,Spot-winged Wood-Quail,Odontophorus capueira,,Galliformes,Odontophoridae (New World Quail),,,1023,62
1036,,,subspecies,62,,Odontophorus capueira plumbeicollis,Tropical ne Brazil (Ceará and Alagoas),Galliformes,Odontophoridae (New World Quail),,,1024,62
1037,,,subspecies,62,,Odontophorus capueira capueira,Tropical e Brazil to e Paraguay and ne Argentina,Galliformes,Odontophoridae (New World Quail),,,1025,62
1038,,,species,62,Black-eared Wood-Quail,Odontophorus melanotis,,Galliformes,Odontophoridae (New World Quail),,,1026,62
1039,,,subspecies,62,,Odontophorus melanotis verecundus,Humid Caribbean lowlands of Honduras,Galliformes,Odontophoridae (New World Quail),,,1027,62
1040,,,subspecies,62,,Odontophorus melanotis melanotis,"SE Honduras to Nicaragua, Costa Rica and Panama",Galliformes,Odontophoridae (New World Quail),,,1028,62
1041,,,species,62,Black-fronted Wood-Quail,Odontophorus atrifrons,,Galliformes,Odontophoridae (New World Quail),,,1029,62
1042,,,subspecies,62,,Odontophorus atrifrons atrifrons,Santa Marta Mountains (ne Colombia),Galliformes,Odontophoridae (New World Quail),,,1030,62
1043,,,subspecies,62,,Odontophorus atrifrons variegatus,E Andes of ne Colombia,Galliformes,Odontophoridae (New World Quail),,,1031,62
1044,,,subspecies,62,,Odontophorus atrifrons navai,Sierra de Perijá (Colombia/Venezuela border),Galliformes,Odontophoridae (New World Quail),,,1032,62
1045,,,species,62,Rufous-fronted Wood-Quail,Odontophorus erythrops,,Galliformes,Odontophoridae (New World Quail),,,1033,62
1046,,,subspecies,62,,Odontophorus erythrops parambae,Tropical Colombia and w Ecuador,Galliformes,Odontophoridae (New World Quail),,,1034,62
1047,,,subspecies,62,,Odontophorus erythrops erythrops,Tropical sw Ecuador,Galliformes,Odontophoridae (New World Quail),,,1035,62
1048,,,species,62,Chestnut Wood-Quail,Odontophorus hyperythrus,Western and Central Andes of Colombia,Galliformes,Odontophoridae (New World Quail),,,1036,62
1049,,,species,62,Dark-backed Wood-Quail,Odontophorus melanonotus,Montane forests of nw Ecuador and adjacent sw Colombia,Galliformes,Odontophoridae (New World Quail),,,1037,62
1050,,,species,62,Rufous-breasted Wood-Quail,Odontophorus speciosus,,Galliformes,Odontophoridae (New World Quail),,,1038,62
1051,,,subspecies,62,,Odontophorus speciosus soderstromii,Tropical forests of e Ecuador,Galliformes,Odontophoridae (New World Quail),,,1039,62
1052,,,subspecies,62,,Odontophorus speciosus speciosus,Tropical e-central Peru,Galliformes,Odontophoridae (New World Quail),,,1040,62
1053,,,subspecies,62,,Odontophorus speciosus loricatus,Tropical se Peru and e Bolivia,Galliformes,Odontophoridae (New World Quail),,,1041,62
1054,,,species,62,Tacarcuna Wood-Quail,Odontophorus dialeucos,Extreme e Panama and adjacent nw Colombia (Chocó),Galliformes,Odontophoridae (New World Quail),,,1042,62
1055,,,species,62,Gorgeted Wood-Quail,Odontophorus strophium,Temp. E Andes of Colombia (Santander and Cundinamarca),Galliformes,Odontophoridae (New World Quail),,,1043,62
1056,,,species,62,Venezuelan Wood-Quail,Odontophorus columbianus,W Venezuela (sw Táchira) and coastal cordillera e to Miranda,Galliformes,Odontophoridae (New World Quail),,,1044,62
1057,,,species,63,Black-breasted Wood-Quail,Odontophorus leucolaemus,Tropical and subtropical forests of Costa Rica and w Panama,Galliformes,Odontophoridae (New World Quail),,,1045,63
1058,,,species,63,Stripe-faced Wood-Quail,Odontophorus balliviani,Andes of se Peru and n Bolivia,Galliformes,Odontophoridae (New World Quail),,,1046,63
1059,,,species,63,Starred Wood-Quail,Odontophorus stellatus,Tropical forests of w Amazon basin,Galliformes,Odontophoridae (New World Quail),,,1047,63
1060,,,species,63,Spotted Wood-Quail,Odontophorus guttatus,Forests of se Mexico to extreme w Panama,Galliformes,Odontophoridae (New World Quail),,,1048,63
1063,,,species,68,Udzungwa Partridge,Xenoperdix udzungwensis,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1051,68
1064,,,group (monotypic),68,Udzungwa Partridge (Udzungwa),Xenoperdix udzungwensis udzungwensis,S Tanzania (Udzungwa Mountains),Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1052,68
1065,,,group (monotypic),68,Udzungwa Partridge (Rubeho),Xenoperdix udzungwensis obscurata,S Tanzania (Maf-wemiro forest in Rubeho highlands),Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1053,68
1066,,,species,70,Ferruginous Partridge,Caloperdix oculeus,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1054,70
1067,,,subspecies,70,,Caloperdix oculeus oculeus,SE Myanmar and sw Thailand to Malay Peninsula,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1055,70
1068,,,subspecies,70,,Caloperdix oculeus ocellatus,Sumatra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1056,70
1069,,,subspecies,70,,Caloperdix oculeus borneensis,Borneo,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1057,70
1070,,,species,70,Crested Partridge,Rollulus rouloul,"southern Myanmar (southern Tenasserim), Thai-Malay Peninsula, Sumatra, Bangka and Belitung islands, and Borneo",Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1058,70
1071,,,species,67,Black Partridge,Melanoperdix niger,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1059,67
1072,,,subspecies,67,,Melanoperdix niger niger,Lowland forests of Malay Peninsula and Sumatra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1060,67
1073,,,subspecies,67,,Melanoperdix niger borneensis,Lowland forests of Borneo,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1061,67
1074,,,species,68,Hill Partridge,Arborophila torqueola,,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",,,1062,68
