"stateroute","mat.point","mat.mean","mat.var"
"2001",152,151.754901960784,10.8901654411765
"2002",154.5,153.730392156863,2.26174428104575
"2003",155.083333333333,152.18137254902,9.0904820261438
"2004",154.416666666667,156.156862745098,11.5667381535948
"2005",154.25,153.578703703704,4.42440541031228
"2006",155,152.810185185185,2.39689996368918
"2007",141.833333333333,146.053921568627,21.594566993464
"2008",156.583333333333,154.519607843137,7.45271650326797
"2009",150.833333333333,150.537037037037,19.5255083514887
"2010",155.583333333333,160.573529411765,13.3419117647059
"2011",156.333333333333,156.175925925926,10.8553013798112
"2012",156.333333333333,156.188596491228,10.2552794022092
"2013",160.583333333333,157.980392156863,9.53344566993463
"2014",163.916666666667,163.708333333333,7.44219771241829
"2015",161.833333333333,161.736111111111,6.81719771241829
"2016",154.833333333333,156.656862745098,10.0146548202614
"2017",163.416666666667,163.662037037037,4.07554920116193
"2018",168.25,167.615740740741,5.71008079157589
"2019",166,165.19298245614,10.0262751786874
"2020",176.833333333333,176.142156862745,2.74024714052288
"2021",177.25,176.635416666667,1.44710648148148
"2022",177.166666666667,176.901960784314,7.4498570261438
"2023",173.583333333333,173.049019607843,2.77522467320261
"2024",179.416666666667,179.245098039216,1.00648488562091
"2025",175.583333333333,173.814814814815,19.9685911401598
"2026",173,173.421568627451,27.7208946078431
"2027",176.25,175.774509803922,8.04753880718956
"2028",167.5,167.81862745098,9.48718341503268
"2029",180.583333333333,179.754901960784,3.72870710784314
"2030",187.166666666667,186.9375,3.7800925925926
"2031",190.75,191.101851851852,2.06826434277414
"2032",181.666666666667,182.015625,6.5150173611111
"2033",179.416666666667,180.495614035088,3.3460445094217
"2034",179,179.884259259259,0.912695170660857
"2035",186.083333333333,185.406862745098,11.5988562091503
"2036",179.666666666667,179.269607843137,0.406709558823531
"2037",188.416666666667,188.102941176471,9.8216401143791
"2038",181.083333333333,181.06862745098,4.05315563725489
"2039",181,179.984375,3.69649884259259
"2040",198.166666666667,195.888888888889,4.06734006734005
"2041",198.416666666667,197.076388888889,3.86800294612792
"2042",196.25,196.384615384615,3.95664173789172
"2043",169.166666666667,167.944444444444,6.04411764705883
"2044",163.083333333333,162.523148148148,8.31601761074799
"2045",152.083333333333,152.805555555556,4.59150326797386
"2046",154.25,152.893518518519,3.63709604212055
"2047",170.833333333333,168.861111111111,7.08169934640523
"2048",173.083333333333,173.21568627451,2.12157883986928
"2049",173.666666666667,172.671568627451,2.64276960784314
"2050",180.666666666667,179.490196078431,4.21170343137255
"2051",171.25,171.342105263158,18.5006903833658
"2052",182.583333333333,182.642156862745,6.99458741830067
"2053",178.333333333333,180.455882352941,3.31520629084967
"2054",184.416666666667,184.852941176471,10.6567095588235
"2055",181.5,182.796296296296,7.12844952795932
"2056",164.083333333333,161.708333333333,10.9618055555555
"2057",153.5,153.204166666667,3.53543494152047
"2058",139.583333333333,145.328703703704,21.1784903776325
"2059",167.25,167,7.5078125
"2060",167.5,166.719298245614,12.0256254061079
"2061",158.583333333333,160.671568627451,9.98044321895425
"2062",151.333333333333,153.392156862745,2.42601102941176
"2063",176,176.106481481481,2.69346859114015
"2064",167.583333333333,167.75,20.8237847222223
