"Focal","focalAOU","Competitor","compAOU","FocalArea","CompArea","area_overlap"
"Bonasa umbellus","3000","Perdix perdix","2881","8125106.16244733","12802476.9529709","1551004.00063372"
"Bonasa umbellus","3000","Falcipennis canadensis","2980","8125106.16244733","6182333.7316387","4294097.59347054"
"Oreortyx pictus","2920","Callipepla californica","2940","346048.996701771","1542584.17453311","290708.479818363"
"Perdix perdix","2881","Falcipennis canadensis","2980","12802476.9529709","6182333.7316387","297608.780886336"
"Perdix perdix","2881","Bonasa umbellus","3000","12802476.9529709","8125106.16244733","1551004.00063372"
"Columbina inca","3210","Columbina passerina","3200","2764119.88080669","7563890.38462736","1706671.66194054"
"Coccyzus erythropthalmus","3880","Coccyzus americanus","3870","5189825.63711032","5273151.51804721","2977148.79993854"
"Sphyrapicus ruber","4030","Dryobates nuttallii","3970","1000123.50197507","183838.803086181","59015.1389220412"
"Sphyrapicus ruber","4030","Melanerpes formicivorus","4070","1000123.50197507","1503556.97443414","123861.897003107"
"Sphyrapicus nuchalis","4021","Sphyrapicus thyroideus","4040","2080628.74754262","649129.220196877","582585.007762987"
"Melanerpes erythrocephalus","4060","Melanerpes carolinus","4090","5465758.50217251","3074161.21629419","3009866.19417987"
"Melanerpes erythrocephalus","4060","Colaptes auratus","4120","5465758.50217251","10805319.4189032","5003038.53621712"
"Selasphorus platycercus","4320","Archilochus alexandri","4290","696941.808012465","2399358.5723709","359675.417679704"
"Archilochus alexandri","4290","Selasphorus platycercus","4320","2399358.5723709","696941.808012465","359675.417679704"
"Selasphorus calliope","4360","Selasphorus rufus","4330","1219564.22549549","1526769.17181692","717304.555375202"
"Calypte anna","4310","Selasphorus sasin","4340","499565.219437768","31440.1948616413","31440.1190301883"
"Selasphorus rufus","4330","Selasphorus calliope","4360","1526769.17181692","1219564.22549549","717304.555375201"
"Sayornis saya","4570","Tyrannus verticalis","4470","7567465.471608","5134049.75263958","4173572.78014596"
"Sayornis saya","4570","Myiarchus cinerascens","4540","7567465.471608","3499142.41100039","2605019.9717526"
"Contopus cooperi","4590","Tyrannus verticalis","4470","9719737.06825727","5134049.75263958","2863231.62954759"
"Myiarchus cinerascens","4540","Tyrannus vociferans","4480","3499142.41100039","1436464.42306364","1072396.98269767"
"Myiarchus cinerascens","4540","Sayornis saya","4570","3499142.41100039","7567465.471608","2605019.9717526"
"Tyrannus vociferans","4480","Myiarchus cinerascens","4540","1436464.42306364","3499142.41100039","1072396.98269767"
"Pyrocephalus rubinus","4710","Sayornis nigricans","4580","7419349.01617323","2974625.04781579","1973573.07991999"
"Empidonax virescens","4650","Contopus virens","4610","3006589.71273658","4084896.927276","2804468.3645477"
"Empidonax virescens","4650","Empidonax flaviventris","4630","3006589.71273658","5395964.28381982","58875.9444124311"
"Empidonax virescens","4650","Empidonax traillii","4660","3006589.71273658","7306864.44299","1944283.41192058"
"Empidonax virescens","4650","Empidonax alnorum","4661","3006589.71273658","7184573.6360649","482740.97556783"
"Empidonax virescens","4650","Empidonax minimus","4670","3006589.71273658","5781012.31439592","321959.051154502"
"Empidonax alnorum","4661","Contopus sordidulus","4620","7184573.6360649","6949521.85057158","1975556.38069579"
"Empidonax alnorum","4661","Empidonax flaviventris","4630","7184573.6360649","5395964.28381982","5283194.06604264"
"Empidonax alnorum","4661","Empidonax virescens","4650","7184573.6360649","3006589.71273658","482740.97556783"
"Empidonax alnorum","4661","Empidonax traillii","4660","7184573.6360649","7306864.44299","1298200.17191834"
"Empidonax alnorum","4661","Empidonax minimus","4670","7184573.6360649","5781012.31439592","4328299.98490456"
"Empidonax hammondii","4680","Empidonax occidentalis","4640","2767705.80079322","2351031.85131628","1153808.07232971"
"Empidonax hammondii","4680","Empidonax oberholseri","4690","2767705.80079322","2740104.09879876","1835101.94946498"
"Empidonax wrightii","4691","Empidonax occidentalis","4640","1149345.24522812","2351031.85131628","737290.286127617"
"Empidonax wrightii","4691","Empidonax oberholseri","4690","1149345.24522812","2740104.09879876","1010310.10826267"
"Empidonax traillii","4660","Empidonax alnorum","4661","7306864.44299","7184573.6360649","1298200.17191834"
"Setophaga ruticilla","6870","Empidonax minimus","4670","7468329.47625173","5781012.31439592","4804925.34972615"
"Setophaga ruticilla","6870","Dendroica caerulescens","6540","7468329.47625173","1147825.66562742","1144074.12078975"
"Setophaga ruticilla","6870","Dendroica magnolia","6570","7468329.47625173","3723833.14858863","2901275.60697864"
"Setophaga ruticilla","6870","Wilsonia canadensis","6860","7468329.47625173","2778071.50937011","2255311.30533658"
"Empidonax occidentalis","4640","Empidonax hammondii","4680","2351031.85131628","2767705.80079322","1153808.07232972"
"Empidonax occidentalis","4640","Empidonax wrightii","4691","2351031.85131628","1149345.24522812","737290.286127616"
"Empidonax oberholseri","4690","Empidonax hammondii","4680","2740104.09879876","2767705.80079322","1835101.94946498"
"Empidonax oberholseri","4690","Empidonax wrightii","4691","2740104.09879876","1149345.24522812","1010310.10826267"
"Sayornis nigricans","4580","Pyrocephalus rubinus","4710","2974625.04781579","7419349.01617323","1973573.07991999"
"Gymnorhinus cyanocephalus","4920","Pica pica","4750","1284018.96817758","39269504.0827769","984190.752933335"
"Aphelocoma californica","4812","Cyanocitta stelleri","4780","2324656.99491564","3528926.13251845","1423015.39006734"
"Aphelocoma californica","4812","Perisoreus canadensis","4840","2324656.99491564","7552266.38251062","197090.44564038"
"Aphelocoma californica","4812","Nucifraga columbiana","4910","2324656.99491564","2288046.02130047","1198187.93539477"
"Perisoreus canadensis","4840","Cyanocitta stelleri","4780","7552266.38251062","3528926.13251845","1099630.65704883"
"Perisoreus canadensis","4840","Nucifraga columbiana","4910","7552266.38251062","2288046.02130047","834739.951228957"
"Cyanocitta stelleri","4780","Aphelocoma californica","4812","3528926.13251845","2324656.99491564","1423015.39006734"
"Cyanocitta stelleri","4780","Perisoreus canadensis","4840","3528926.13251845","7552266.38251062","1099630.65704884"
"Cyanocitta stelleri","4780","Nucifraga columbiana","4910","3528926.13251845","2288046.02130047","1913951.3950002"
"Nucifraga columbiana","4910","Perisoreus canadensis","4840","2288046.02130047","7552266.38251062","834739.951228959"
