,mean,mcse,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat
bIntercept FocalAOU:2881,-2.579313556,0.008739583,0.082690968,-2.745304713,-2.634729839,-2.577777668,-2.522598066,-2.421972009,90,1.027612888
bIntercept FocalAOU:2890,-0.411807504,0.008688783,0.070898045,-0.559827983,-0.458846381,-0.41079054,-0.361536629,-0.277381425,67,1.037761068
bIntercept FocalAOU:2940,-0.332845467,0.008783554,0.079579556,-0.494084355,-0.386360812,-0.331355796,-0.277423525,-0.183067495,82,1.029926701
bIntercept FocalAOU:3000,-2.82400799,0.008690619,0.07473556,-2.977455544,-2.87302806,-2.822217458,-2.772335567,-2.680975804,74,1.033584133
bIntercept FocalAOU:3120,-0.869099685,0.008749193,0.081037726,-1.031929003,-0.923286804,-0.868145371,-0.812836506,-0.71422728,86,1.028753278
bIntercept FocalAOU:3160,1.925624376,0.008736762,0.073135898,1.776336607,1.876682004,1.926381351,1.977210731,2.064335553,70,1.035912563
bIntercept FocalAOU:3190,0.218902096,0.008725203,0.078203821,0.060520012,0.166515605,0.220110788,0.273617871,0.368049561,80,1.03060983
bIntercept FocalAOU:3200,-0.705569738,0.008662666,0.082309467,-0.872258982,-0.760472436,-0.705342549,-0.64842605,-0.548070077,90,1.029451745
bIntercept FocalAOU:3870,-0.135180118,0.008684472,0.07032827,-0.282253291,-0.181418135,-0.133959691,-0.085617481,-0.001777098,66,1.037652513
bIntercept FocalAOU:3880,-1.802619828,0.008674928,0.071601043,-1.951346656,-1.84972379,-1.801459465,-1.752452499,-1.667086084,68,1.035733892
bIntercept FocalAOU:3930,-1.19580108,0.00868861,0.069779472,-1.342144432,-1.241910074,-1.195019981,-1.146035137,-1.063435398,64,1.038614084
bIntercept FocalAOU:3940,-0.245071665,0.008671795,0.069793429,-0.391277937,-0.291534926,-0.243589352,-0.19579804,-0.111500358,65,1.038126389
bIntercept FocalAOU:3960,-0.745178747,0.008630201,0.080649438,-0.908418226,-0.798744581,-0.743690688,-0.689553809,-0.59140402,87,1.029659526
bIntercept FocalAOU:4020,0.269130355,0.008704175,0.073475163,0.118656795,0.220086129,0.270621641,0.320479296,0.407658453,71,1.034436199
bIntercept FocalAOU:4021,-0.837927495,0.008697364,0.077359373,-0.995115472,-0.890041622,-0.837060497,-0.78361539,-0.692222078,79,1.031587126
bIntercept FocalAOU:4060,-0.820528633,0.008666977,0.070467336,-0.96829237,-0.866872078,-0.819672331,-0.771081633,-0.688264193,66,1.038154451
bIntercept FocalAOU:4090,0.935957389,0.008674752,0.071453238,0.786822116,0.888404325,0.937520467,0.986054854,1.071289206,68,1.036264313
bIntercept FocalAOU:4120,0.161887949,0.008706478,0.070252422,0.013535673,0.115264868,0.163039914,0.212101904,0.294159174,65,1.038304201
bIntercept FocalAOU:4290,-1.488194436,0.008686423,0.077074024,-1.643705014,-1.539748959,-1.487549667,-1.434954228,-1.341760023,79,1.030884191
bIntercept FocalAOU:4320,-0.505636451,0.008687041,0.078892229,-0.664307989,-0.558452239,-0.504484021,-0.451063072,-0.355426654,82,1.029604341
bIntercept FocalAOU:4330,-0.659827915,0.00861888,0.079697963,-0.820593341,-0.713702769,-0.657854029,-0.604571208,-0.508570138,86,1.028157843
bIntercept FocalAOU:4430,0.814267965,0.008769939,0.078332971,0.6551023,0.762559553,0.815968893,0.867771023,0.96421377,80,1.030711709
bIntercept FocalAOU:4440,0.389395276,0.008697847,0.070103366,0.241573365,0.343212405,0.390177927,0.438641698,0.522797506,65,1.038765407
bIntercept FocalAOU:4470,-0.067420323,0.008707887,0.071446334,-0.215930709,-0.114698731,-0.066520816,-0.017249238,0.067722453,67,1.036826453
bIntercept FocalAOU:4480,0.322231173,0.008597734,0.083163788,0.154048061,0.267217994,0.322951558,0.379549289,0.481238576,94,1.025228704
bIntercept FocalAOU:4520,1.030325261,0.008703921,0.071037401,0.882980405,0.983403045,1.031570696,1.080523724,1.165043158,67,1.036941381
bIntercept FocalAOU:4540,0.670132721,0.00863871,0.078817458,0.510283334,0.617231706,0.671394855,0.723882321,0.821256072,83,1.029821584
bIntercept FocalAOU:4560,1.020151754,0.008680482,0.070882042,0.872413796,0.973550233,1.021426699,1.070226289,1.153566492,67,1.036800059
bIntercept FocalAOU:4570,-0.189820715,0.008723804,0.073084792,-0.340781967,-0.238450278,-0.188600584,-0.138661595,-0.051686511,70,1.036126579
bIntercept FocalAOU:4590,-1.411308428,0.008713829,0.072513386,-1.561111507,-1.458985468,-1.409679762,-1.360112207,-1.27432121,69,1.036183331
bIntercept FocalAOU:4610,1.142968206,0.008708742,0.071005931,0.995544951,1.096000577,1.144162914,1.193036561,1.278277558,66,1.037876098
bIntercept FocalAOU:4620,-0.270174326,0.008674042,0.071942972,-0.418878141,-0.318287664,-0.268753597,-0.2195568,-0.134673962,69,1.035881905
bIntercept FocalAOU:4640,-0.683994824,0.008638602,0.080680745,-0.844631747,-0.73877887,-0.682582635,-0.628112121,-0.529884075,87,1.027297122
bIntercept FocalAOU:4641,0.659233877,0.008719883,0.081452951,0.495146412,0.604958515,0.660318381,0.715985258,0.813309639,87,1.02798768
bIntercept FocalAOU:4650,0.236724443,0.008677234,0.071137952,0.087796519,0.189738538,0.237620895,0.287312239,0.370616686,67,1.036804467
bIntercept FocalAOU:4660,-0.97425158,0.008684114,0.070512361,-1.122112209,-1.020319815,-0.973121353,-0.92447039,-0.841310437,66,1.037338384
bIntercept FocalAOU:4670,-0.124159262,0.008693149,0.071206365,-0.271513605,-0.171331471,-0.122862986,-0.073519587,0.010946527,67,1.036565981
bIntercept FocalAOU:4680,0.234418469,0.008771987,0.076828774,0.077413988,0.182706191,0.236231889,0.288341968,0.379817583,77,1.033341168
bIntercept FocalAOU:4690,-0.233232747,0.00872922,0.075918452,-0.388856504,-0.283111243,-0.231841101,-0.180422092,-0.089136863,76,1.032356253
bIntercept FocalAOU:4691,-0.676156803,0.008736861,0.084211746,-0.842564422,-0.732791533,-0.675177382,-0.618521818,-0.513010728,93,1.026463865
bIntercept FocalAOU:4750,-0.077596014,0.008723285,0.073115019,-0.228557826,-0.125878947,-0.076050253,-0.026693494,0.060266807,70,1.035331562
bIntercept FocalAOU:4770,1.660994747,0.008673137,0.073660063,1.510991673,1.612317024,1.662730992,1.712033806,1.800734724,72,1.034657483
bIntercept FocalAOU:4780,0.413265743,0.008705466,0.076371344,0.257244008,0.362048143,0.415114817,0.466414261,0.557804589,77,1.032200446
bIntercept FocalAOU:4812,1.439524139,0.008638488,0.096542612,1.2451822,1.374742715,1.440286322,1.504809409,1.628432012,125,1.020187229
bIntercept FocalAOU:4840,-1.262766049,0.008703125,0.075129022,-1.416803481,-1.313035221,-1.261827378,-1.210691476,-1.121775413,75,1.033177424
bIntercept FocalAOU:4880,1.261834155,0.008662292,0.071418566,1.1125005,1.21501289,1.262766727,1.311337608,1.395601121,68,1.036258382
bIntercept FocalAOU:4900,0.417279556,0.008675905,0.072731114,0.2683413,0.368568227,0.418880899,0.468543571,0.555123167,70,1.035199338
bIntercept FocalAOU:4910,-1.31317675,0.00868905,0.076892779,-1.469857623,-1.363782799,-1.311863179,-1.260117642,-1.16667281,78,1.030508203
