Focal Common Name,Focal Scientific Name,Focal AOU,Competitor Common Name,Competitor Scientific Name,Competitor AOU,Main Competitor (1)
Ruffed Grouse,Bonasa umbellus,3000,Gray Partridge,Perdix perdix,2881,0
Ruffed Grouse,Bonasa umbellus,3000,Spruce Grouse,Falcipennis canadensis,2980,1
Scaled Quail,Callipepla squamata,2930,Northern Bobwhite,Colinus virginianus,2890,1
Scaled Quail,Callipepla squamata,2930,Gambel's Quail,Callipepla gambelii,2950,0
Scaled Quail,Callipepla squamata,2930,Montezuma Quail,Cyrtonyx montezumae,2960,0
California Quail,Callipepla californica,2940,Mountain Quail,Oreortyx pictus,2920,1
Northern Bobwhite,Colinus virginianus,2890,Scaled Quail,Callipepla squamata,2930,1
Gambel's Quail,Callipepla gambelii,2950,Scaled Quail,Callipepla squamata,2930,1
Gambel's Quail,Callipepla gambelii,2950,Montezuma Quail,Cyrtonyx montezumae,2960,0
Mountain Quail,Oreortyx pictus,2920,California Quail,Callipepla californica,2940,1
Gray Partridge,Perdix perdix,2881,Spruce Grouse,Falcipennis canadensis,2980,0
Gray Partridge,Perdix perdix,2881,Ruffed Grouse,Bonasa umbellus,3000,1
White-winged Dove,Zenaida asiatica,3190,Mourning Dove,Zenaida macroura,3160,1
Mourning Dove,Zenaida macroura,3160,White-winged Dove,Zenaida asiatica,3190,1
Inca Dove,Columbina inca,3210,Common Ground-Dove,Columbina passerina,3200,1
Common Ground-Dove,Columbina passerina,3200,Inca Dove,Columbina inca,3210,1
Black-billed Cuckoo,Coccyzus erythropthalmus,3880,Yellow-billed Cuckoo,Coccyzus americanus,3870,1
Yellow-billed Cuckoo,Coccyzus americanus,3870,Black-billed Cuckoo,Coccyzus erythropthalmus,3880,1
Gila Woodpecker,Melanerpes uropygialis,4110,Hairy Woodpecker,Leuconotopicus villosus,3930,0
Gila Woodpecker,Melanerpes uropygialis,4110,Red-naped Sapsucker,Sphyrapicus nuchalis,4021,0
Gila Woodpecker,Melanerpes uropygialis,4110,Acorn Woodpecker,Melanerpes formicivorus,4070,0
Gila Woodpecker,Melanerpes uropygialis,4110,Gilded Flicker,Colaptes chrysoides,4140,1
Northern Flicker,Colaptes auratus,4120,Hairy Woodpecker,Leuconotopicus villosus,3930,1
Northern Flicker,Colaptes auratus,4120,Black-backed Woodpecker,Picoides arcticus,4000,0
Northern Flicker,Colaptes auratus,4120,Red-headed Woodpecker,Melanerpes erythrocephalus,4060,0
Northern Flicker,Colaptes auratus,4120,Lewis's Woodpecker,Melanerpes lewis,4080,0
Northern Flicker,Colaptes auratus,4120,Red-bellied Woodpecker,Melanerpes carolinus,4090,0
Northern Flicker,Colaptes auratus,4120,Golden-fronted Woodpecker,Melanerpes aurifrons,4100,0
Yellow-bellied Sapsucker,Sphyrapicus varius,4020,Hairy Woodpecker,Leuconotopicus villosus,3930,1
Yellow-bellied Sapsucker,Sphyrapicus varius,4020,Downy Woodpecker,Dryobates pubescens,3940,0
Yellow-bellied Sapsucker,Sphyrapicus varius,4020,Black-backed Woodpecker,Picoides arcticus,4000,0
