"Focal.Common.Name","Scientific.Name","Family","Body.Mass","Migratory.Class","Trophic.Group","Focal.Range.Size","Proportion.Range.Overlap","Mean.Temperature","Mean.Precipitation","Mean.Elevation","Mean.NDVI","FocalAOU","n"
"Gray Partridge","Perdix perdix","Phasianidae",398,"resid","granivore",12802476.95,0.144,49.804,35.35,876.52,0.692,2881,68
"Northern Bobwhite","Colinus virginianus","Odontophoridae",178,"resid","herbivore",4364436.529,0.135,143.16,84.429,265.777,0.735,2890,410
"California Quail","Callipepla californica","Odontophoridae",176,"resid","granivore",1542584.175,0.188,105.579,55.007,755.933,0.597,2940,71
"Ruffed Grouse","Bonasa umbellus","Phasianidae",621,"resid","omnivore",8125106.162,0.719,41.61,65.489,571.932,0.862,3000,194
"Band-tailed Pigeon","Patagioenas fasciata","Columbidae",365.25,"neotrop","granivore",NA,NA,112.746,106.697,437.118,0.73,3120,59
"Mourning Dove","Zenaida macroura","Columbidae",123,"short","granivore",11154669.76,0.204,118.34,73.498,462.086,0.717,3160,902
"White-winged Dove","Zenaida asiatica","Columbidae",153,"short","granivore",3014315.259,0.754,201.712,24.692,549.295,0.313,3190,81
"Common Ground-Dove","Columbina passerina","Columbidae",30,"resid","granivore",7563890.385,0.226,206.765,92.384,121.563,0.67,3200,59
"Yellow-billed Cuckoo","Coccyzus americanus","Cuculidae",64,"neotrop","insectivore",5273151.518,0.565,145.881,94.011,223.968,0.771,3870,559
"Black-billed Cuckoo","Coccyzus erythropthalmus","Cuculidae",51,"neotrop","insectivore",5189825.637,0.574,57.456,69.086,332.103,0.852,3880,318
"Hairy Woodpecker","Leuconotopicus villosus","Picidae",66.25,"resid","insectivore",14067703.7,3.053,79.59,79.399,611.508,0.795,3930,693
"Downy Woodpecker","Dryobates pubescens","Picidae",27,"resid","insectivore",13113178.41,0.707,118.392,91.071,249.964,0.805,3940,777
"Ladder-backed Woodpecker","Dryobates scalaris","Picidae",30,"resid","insectivore",2959801.47,0.143,168.756,39.872,959.401,0.398,3960,62
"Yellow-bellied Sapsucker","Sphyrapicus varius","Picidae",50,"short","insectivore",4535158.145,3.743,55.236,77.558,383.55,0.894,4020,195
"Red-naped Sapsucker","Sphyrapicus nuchalis","Picidae",46,"short","insectivore",2080628.748,0.28,38.332,45.708,1901.993,0.738,4021,84
"Red-headed Woodpecker","Melanerpes erythrocephalus","Picidae",72,"short","omnivore",5465758.502,1.466,132.678,87.083,245.946,0.776,4060,407
"Red-bellied Woodpecker","Melanerpes carolinus","Picidae",67,"resid","insectivore",3074161.216,3.368,143.522,96.568,180.607,0.784,4090,542
"Northern Flicker","Colaptes auratus","Picidae",132.17,"resid","insectivore",10805319.42,2.059,89.009,80.888,314.086,0.83,4120,630
"Black-chinned Hummingbird","Archilochus alexandri","Trochilidae",3.5,"neotrop","nectarivore",2399358.572,0.15,131.354,39.607,1302.262,0.453,4290,91
"Broad-tailed Hummingbird","Selasphorus platycercus","Trochilidae",4,"neotrop","nectarivore",696941.808,0.516,41.567,41.198,2570.388,0.614,4320,77
"Rufous Hummingbird","Selasphorus rufus","Trochilidae",4,"neotrop","nectarivore",1526769.172,0.47,68.936,137.826,610.357,0.826,4330,65
"Scissor-tailed Flycatcher","Tyrannus forficatus","Tyrannidae",43,"neotrop","insectivore",1452401.824,2.851,167.664,70.395,371.314,0.611,4430,96
"Eastern Kingbird","Tyrannus tyrannus","Tyrannidae",44,"neotrop","insectivore",9143977.98,1.605,100.884,74.946,377.834,0.785,4440,709
"Western Kingbird","Tyrannus verticalis","Tyrannidae",40,"neotrop","insectivore",5134049.753,3.379,113.771,36.408,992.867,0.518,4470,298
"Cassin's Kingbird","Tyrannus vociferans","Tyrannidae",46,"neotrop","insectivore",1436464.423,0.747,112.5,32.69,1863.181,0.367,4480,53
"Great Crested Flycatcher","Myiarchus crinitus","Tyrannidae",34,"neotrop","insectivore",5152020.805,2.706,134.353,93.119,176.205,0.779,4520,611
"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",27,"neotrop","insectivore",3499142.411,1.051,138.949,36.652,1217.509,0.399,4540,115
"Eastern Phoebe","Sayornis phoebe","Tyrannidae",20,"short","insectivore",6548604.608,4.496,102.921,88.513,308.893,0.838,4560,574
"Say's Phoebe","Sayornis saya","Tyrannidae",21,"short","insectivore",7567465.472,0.896,91.056,30.276,1607.307,0.424,4570,190
"Olive-sided Flycatcher","Contopus cooperi","Tyrannidae",32,"neotrop","insectivore",9719737.068,0.295,54.671,75.536,1181.51,0.764,4590,200
"Eastern Wood-Pewee","Contopus virens","Tyrannidae",14,"neotrop","insectivore",4084896.927,3.311,113.834,89.891,239.818,0.824,4610,583
"Western Wood-Pewee","Contopus sordidulus","Tyrannidae",13,"neotrop","insectivore",6949521.851,4.44,64.296,55.471,1577.692,0.674,4620,248
"Cordilleran Flycatcher","Empidonax occidentalis","Tyrannidae",10,"neotrop","insectivore",2351031.851,0.804,67.21,40.121,2227.248,0.566,4640,61
