Focal Species,Focal AOU,Focal Family,Focal Alpha Code,Competitor Species,Competitor AOU,Migratory Class,Trophic Group,Centroid Longitude,Centroid Latitude,Location of Centroid 
Red Crossbill,5210,Fringillidae,RECR,White-winged Crossbill,5220,short,granivore,89.36838668,84.78258485,East
White-winged Crossbill,5220,Fringillidae,WWCR,Red Crossbill,5210,short,granivore,-124.6751899,82.53408394,West
White-winged Crossbill,5220,Fringillidae,WWCR,Purple Finch,5170,short,granivore,-124.6751899,82.53408394,West
Lesser Goldfinch,5300,Fringillidae,LEGO,Pine Siskin,5330,short,granivore,-104.3702605,30.00699514,West
Pine Siskin,5330,Fringillidae,PISI,Lesser Goldfinch,5300,short,granivore,-104.5229061,50.01937512,West
Vesper Sparrow,5400,Emberizidae,VESP,Sprague's Pipit,7000,short,insct/om,-101.1572308,46.3791752,West
Vesper Sparrow,5400,Emberizidae,VESP,Song Sparrow,5810,short,insct/om,-101.1572308,46.3791752,West
Grasshopper Sparrow,5460,Emberizidae,GRSP,Chipping Sparrow,5600,neotrop,insct/om,-93.85897873,40.34840644,East
Grasshopper Sparrow,5460,Emberizidae,GRSP,Baird's Sparrow,5450,neotrop,insct/om,-93.85897873,40.34840644,East
Le Conte's Sparrow,5480,Emberizidae,LCSP,Chipping Sparrow,5600,short,insct/om,-99.84386701,53.04581279,West
Le Conte's Sparrow,5480,Emberizidae,LCSP,Savannah Sparrow,5420,short,insct/om,-99.84386701,53.04581279,West
Nelson's Sharp-tailed Sparrow,5491,Emberizidae,NSTS,Le Conte's Sparrow,5480,short,insct/om,-101.5660071,53.32662405,West
Nelson's Sharp-tailed Sparrow,5491,Emberizidae,NSTS,Chipping Sparrow,5600,short,insct/om,-101.5660071,53.32662405,West
Lark Sparrow,5520,Emberizidae,LASP,Baird's Sparrow,5450,neotrop,insct/om,-103.2978014,38.64279393,West
White-crowned Sparrow,5540,Emberizidae,WCSP,Fox Sparrow,5850,short,insct/om,-110.6030757,59.28257331,West
White-crowned Sparrow,5540,Emberizidae,WCSP,Golden-crowned Sparrow,5570,short,insct/om,-110.6030757,59.28257331,West
White-crowned Sparrow,5540,Emberizidae,WCSP,Lincoln's Sparrow,5830,short,insct/om,-110.6030757,59.28257331,West
Black-throated Sparrow,5730,Emberizidae,BTSP,Black-chinned Sparrow,5650,short,insct/om,-108.2890728,32.22388172,West
Black-throated Sparrow,5730,Emberizidae,BTSP,Rufous-crowned Sparrow,5800,short,insct/om,-108.2890728,32.22388172,West
Lincoln's Sparrow,5830,Emberizidae,LISP,Swamp Sparrow,5840,neotrop,insct/om,-101.3313132,55.58255636,West
Lincoln's Sparrow,5830,Emberizidae,LISP,Fox Sparrow,5850,neotrop,insct/om,-101.3313132,55.58255636,West
Lincoln's Sparrow,5830,Emberizidae,LISP,White-crowned Sparrow,5540,neotrop,insct/om,-101.3313132,55.58255636,West
Swamp Sparrow,5840,Emberizidae,SWSP,White-throated Sparrow,5580,short,insct/om,-90.03219353,51.74272212,East
Swamp Sparrow,5840,Emberizidae,SWSP,Lincoln's Sparrow,5830,short,insct/om,-90.03219353,51.74272212,East
Fox Sparrow,5850,Emberizidae,FOSP,White-crowned Sparrow,5540,short,insct/om,-115.034891,58.21912607,West
Fox Sparrow,5850,Emberizidae,FOSP,Lincoln's Sparrow,5830,short,insct/om,-115.034891,58.21912607,West
Spotted Towhee,5880,Emberizidae,SPTO,Green-tailed Towhee,5900,short,insct/om,-111.1396751,41.09705826,West
Green-tailed Towhee,5900,Emberizidae,GTTO,Spotted Towhee,5880,neotrop,insct/om,-112.3251452,39.77208196,West
California Towhee,5911,Emberizidae,CALT,Spotted Towhee,5880,resid,insct/om,-117.4146257,33.73209104,West
Pyrrhuloxia,5940,Cardinalidae,PYRR,Blue Grosbeak,5970,resid,insct/om,-104.178238,28.24026664,West
Pyrrhuloxia,5940,Cardinalidae,PYRR,Northern Cardinal,5930,resid,insct/om,-104.178238,28.24026664,West
Lark Bunting,6050,Emberizidae,LARB,Chestnut-collared Longspur,5380,neotrop,insct/om,-103.345485,43.2058067,West
Lark Bunting,6050,Emberizidae,LARB,Lark Sparrow,5520,neotrop,insct/om,-103.345485,43.2058067,West
Violet-green Swallow,6150,Hirundinidae,VGSW,Northern Rough-winged Swallow,6170,neotrop,insectivore,-115.1823277,44.13130671,West
Violet-green Swallow,6150,Hirundinidae,VGSW,Barn Swallow,6130,neotrop,insectivore,-115.1823277,44.13130671,West
Bank Swallow,6160,Hirundinidae,BANS,Tree Swallow,6140,neotrop,insectivore,46.76312728,85.61634968,East
Bank Swallow,6160,Hirundinidae,BANS,Cliff Swallow,6120,neotrop,insectivore,46.76312728,85.61634968,East
Philadelphia Vireo,6260,Vireonidae,PHVI,Red-eyed Vireo,6240,neotrop,insectivore,-97.28733117,52.86955187,East
Philadelphia Vireo,6260,Vireonidae,PHVI,Blue-headed Vireo,6290,neotrop,insectivore,-97.28733117,52.86955187,East
Plumbeous Vireo,6291,Vireonidae,PLVI,Warbling Vireo,6270,neotrop,insectivore,-108.0346247,33.84114348,West
Cassin's Vireo,6292,Vireonidae,CAVI,Warbling Vireo,6270,neotrop,insectivore,-119.602894,44.92859121,West
Cassin's Vireo,6292,Vireonidae,CAVI,Hutton's Vireo,6320,neotrop,insectivore,-119.602894,44.92859121,West
Hutton's Vireo,6320,Vireonidae,HUVI,Warbling Vireo,6270,resid,insectivore,-107.7791568,30.05051695,West
Hutton's Vireo,6320,Vireonidae,HUVI,Cassin's Vireo,6292,resid,insectivore,-107.7791568,30.05051695,West
Bell's Vireo,6330,Vireonidae,BEVI,Warbling Vireo,6270,neotrop,insectivore,-100.2422472,34.69547509,West
Bell's Vireo,6330,Vireonidae,BEVI,Yellow-throated Vireo,6280,neotrop,insectivore,-100.2422472,34.69547509,West
Black-and-white Warbler,6360,Parulidae,BAWW,Prothonotary Warbler,6370,neotrop,insectivore,-89.46892155,47.64865369,East
Black-and-white Warbler,6360,Parulidae,BAWW,Yellow-throated Warbler,6630,neotrop,insectivore,-89.46892155,47.64865369,East
Black-and-white Warbler,6360,Parulidae,BAWW,Pine Warbler,6710,neotrop,insectivore,-89.46892155,47.64865369,East
Prothonotary Warbler,6370,Parulidae,PROW,Yellow-throated Warbler,6630,neotrop,insectivore,-88.30712761,36.29479574,East
Prothonotary Warbler,6370,Parulidae,PROW,Black-and-white Warbler,6360,neotrop,insectivore,-88.30712761,36.29479574,East
Prothonotary Warbler,6370,Parulidae,PROW,Pine Warbler,6710,neotrop,insectivore,-88.30712761,36.29479574,East
Swainson's Warbler,6380,Parulidae,SWWA,Louisiana Waterthrush,6760,neotrop,insectivore,-87.80566995,33.47389867,East
Swainson's Warbler,6380,Parulidae,SWWA,Ovenbird,6740,neotrop,insectivore,-87.80566995,33.47389867,East
Swainson's Warbler,6380,Parulidae,SWWA,Northern Waterthrush,6750,neotrop,insectivore,-87.80566995,33.47389867,East
Swainson's Warbler,6380,Parulidae,SWWA,Kentucky Warbler,6770,neotrop,insectivore,-87.80566995,33.47389867,East
Worm-eating Warbler,6390,Parulidae,WEWA,Blue-winged Warbler,6410,neotrop,insectivore,-85.96833868,36.43257556,East
Worm-eating Warbler,6390,Parulidae,WEWA,Yellow Warbler,6520,neotrop,insectivore,-85.96833868,36.43257556,East
Worm-eating Warbler,6390,Parulidae,WEWA,Common Yellowthroat,6810,neotrop,insectivore,-85.96833868,36.43257556,East
Worm-eating Warbler,6390,Parulidae,WEWA,Prairie Warbler,6730,neotrop,insectivore,-85.96833868,36.43257556,East
Worm-eating Warbler,6390,Parulidae,WEWA,Northern Parula,6480,neotrop,insectivore,-85.96833868,36.43257556,East
Worm-eating Warbler,6390,Parulidae,WEWA,Pine Warbler,6710,neotrop,insectivore,-85.96833868,36.43257556,East
Worm-eating Warbler,6390,Parulidae,WEWA,Hooded Warbler,6840,neotrop,insectivore,-85.96833868,36.43257556,East
Blue-winged Warbler,6410,Parulidae,BWWA,Prairie Warbler,6730,neotrop,insectivore,-85.92958246,39.98863735,East
Blue-winged Warbler,6410,Parulidae,BWWA,Northern Parula,6480,neotrop,insectivore,-85.92958246,39.98863735,East
Blue-winged Warbler,6410,Parulidae,BWWA,Common Yellowthroat,6810,neotrop,insectivore,-85.92958246,39.98863735,East
Blue-winged Warbler,6410,Parulidae,BWWA,Pine Warbler,6710,neotrop,insectivore,-85.92958246,39.98863735,East
Blue-winged Warbler,6410,Parulidae,BWWA,Hooded Warbler,6840,neotrop,insectivore,-85.92958246,39.98863735,East
Blue-winged Warbler,6410,Parulidae,BWWA,Worm-eating Warbler,6390,neotrop,insectivore,-85.92958246,39.98863735,East
Blue-winged Warbler,6410,Parulidae,BWWA,Yellow Warbler,6520,neotrop,insectivore,-85.92958246,39.98863735,East
Virginia's Warbler,6440,Parulidae,VIWA,Orange-crowned Warbler,6460,neotrop,insectivore,-109.9065924,37.77883944,West
Nashville Warbler,6450,Parulidae,NAWA,Yellow-rumped Warbler,6550,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Wilson's Warbler,6850,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Chestnut-sided Warbler,6590,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Townsend's Warbler,6680,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Mourning Warbler,6790,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Cape May Warbler,6500,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Black-throated Green Warbler,6670,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Yellow Warbler,6520,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Common Yellowthroat,6810,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Tennessee Warbler,6470,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Blackburnian Warbler,6620,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Bay-breasted Warbler,6600,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Blackpoll Warbler,6610,neotrop,insectivore,-88.33899869,48.77723864,East
Nashville Warbler,6450,Parulidae,NAWA,Orange-crowned Warbler,6460,neotrop,insectivore,-88.33899869,48.77723864,East
Orange-crowned Warbler,6460,Parulidae,OCWA,Virginia's Warbler,6440,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Wilson's Warbler,6850,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Yellow-rumped Warbler,6550,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Black-throated Green Warbler,6670,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Chestnut-sided Warbler,6590,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Tennessee Warbler,6470,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Townsend's Warbler,6680,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Blackburnian Warbler,6620,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Common Yellowthroat,6810,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Blackpoll Warbler,6610,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Yellow Warbler,6520,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Cape May Warbler,6500,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Mourning Warbler,6790,neotrop,insectivore,-112.6319624,55.35349403,West
Orange-crowned Warbler,6460,Parulidae,OCWA,Bay-breasted Warbler,6600,neotrop,insectivore,-112.6319624,55.35349403,West
Tennessee Warbler,6470,Parulidae,TEWA,Common Yellowthroat,6810,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Nashville Warbler,6450,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Mourning Warbler,6790,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Black-throated Green Warbler,6670,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Yellow Warbler,6520,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Blackpoll Warbler,6610,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Chestnut-sided Warbler,6590,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Cape May Warbler,6500,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Orange-crowned Warbler,6460,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Yellow-rumped Warbler,6550,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Townsend's Warbler,6680,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Blackburnian Warbler,6620,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Wilson's Warbler,6850,neotrop,insectivore,-97.09335423,55.39316525,East
Tennessee Warbler,6470,Parulidae,TEWA,Bay-breasted Warbler,6600,neotrop,insectivore,-97.09335423,55.39316525,East
Cape May Warbler,6500,Parulidae,CMWA,Yellow Warbler,6520,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Tennessee Warbler,6470,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Chestnut-sided Warbler,6590,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Nashville Warbler,6450,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Wilson's Warbler,6850,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Bay-breasted Warbler,6600,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Blackpoll Warbler,6610,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Orange-crowned Warbler,6460,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Mourning Warbler,6790,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Black-throated Green Warbler,6670,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Yellow-rumped Warbler,6550,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Common Yellowthroat,6810,neotrop,insectivore,-94.68727116,53.55339649,East
Cape May Warbler,6500,Parulidae,CMWA,Blackburnian Warbler,6620,neotrop,insectivore,-94.68727116,53.55339649,East
Black-throated Blue Warbler,6540,Parulidae,BTBW,Magnolia Warbler,6570,neotrop,insectivore,-76.888266,44.86587545,East
Black-throated Blue Warbler,6540,Parulidae,BTBW,Canada Warbler,6860,neotrop,insectivore,-76.888266,44.86587545,East
Black-throated Blue Warbler,6540,Parulidae,BTBW,American Redstart,6870,neotrop,insectivore,-76.888266,44.86587545,East
Magnolia Warbler,6570,Parulidae,MAWA,Canada Warbler,6860,neotrop,insectivore,-91.68323918,52.63457329,East
Magnolia Warbler,6570,Parulidae,MAWA,American Redstart,6870,neotrop,insectivore,-91.68323918,52.63457329,East
Magnolia Warbler,6570,Parulidae,MAWA,Black-throated Blue Warbler,6540,neotrop,insectivore,-91.68323918,52.63457329,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Blackburnian Warbler,6620,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Tennessee Warbler,6470,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Mourning Warbler,6790,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Common Yellowthroat,6810,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Yellow Warbler,6520,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Wilson's Warbler,6850,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Nashville Warbler,6450,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Yellow-rumped Warbler,6550,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Cape May Warbler,6500,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Orange-crowned Warbler,6460,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Black-throated Green Warbler,6670,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Chestnut-sided Warbler,6590,neotrop,insectivore,-88.94662997,52.93130946,East
Bay-breasted Warbler,6600,Parulidae,BBWA,Blackpoll Warbler,6610,neotrop,insectivore,-88.94662997,52.93130946,East
Blackpoll Warbler,6610,Parulidae,BLPW,Nashville Warbler,6450,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Wilson's Warbler,6850,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Cape May Warbler,6500,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Townsend's Warbler,6680,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Yellow-rumped Warbler,6550,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Common Yellowthroat,6810,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Bay-breasted Warbler,6600,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Tennessee Warbler,6470,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Black-throated Green Warbler,6670,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Yellow Warbler,6520,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Mourning Warbler,6790,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Chestnut-sided Warbler,6590,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Blackburnian Warbler,6620,neotrop,insectivore,-103.6192983,60.75798826,West
Blackpoll Warbler,6610,Parulidae,BLPW,Orange-crowned Warbler,6460,neotrop,insectivore,-103.6192983,60.75798826,West
Blackburnian Warbler,6620,Parulidae,BLBW,Blackpoll Warbler,6610,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Chestnut-sided Warbler,6590,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Mourning Warbler,6790,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Cape May Warbler,6500,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Yellow-rumped Warbler,6550,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Wilson's Warbler,6850,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Orange-crowned Warbler,6460,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Tennessee Warbler,6470,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Yellow Warbler,6520,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Nashville Warbler,6450,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Black-throated Green Warbler,6670,neotrop,insct/om,-81.48371117,47.13744967,East
Blackburnian Warbler,6620,Parulidae,BLBW,Bay-breasted Warbler,6600,neotrop,insct/om,-81.48371117,47.13744967,East
