"AOU","Variables","Estimate","Q2.5","Q97.5","Focal","Family"
2881,"",-3.240106977,-4.004129363,-2.542493506,"Gray Partridge","Phasianidae"
2890,"",-0.774179178,-1.441463699,-0.173438463,"Northern Bobwhite","Odontophoridae"
2940,"",1.439345845,0.723393884,2.099420279,"California Quail","Odontophoridae"
3000,"",-4.046714498,-4.694860138,-3.474017037,"Ruffed Grouse","Phasianidae"
3120,"",-2.153607244,-2.807153525,-1.585083824,"Band-tailed Pigeon","Columbidae"
3160,"",2.190703944,1.541293292,2.74758775,"Mourning Dove","Columbidae"
3190,"",3.342163243,2.485752996,4.154764927,"White-winged Dove","Columbidae"
3200,"",1.425179302,0.522760111,2.338774691,"Common Ground-Dove","Columbidae"
3870,"",-1.429134216,-2.064198456,-0.893716208,"Yellow-billed Cuckoo","Cuculidae"
3880,"",-3.53558818,-4.163132164,-3.011266058,"Black-billed Cuckoo","Cuculidae"
3930,"",-3.423000036,-4.053840789,-2.898556681,"Hairy Woodpecker","Picidae"
3940,"",-1.081263384,-1.708214089,-0.563705976,"Downy Woodpecker","Picidae"
3960,"",-2.189265364,-2.833754797,-1.635745506,"Ladder-backed Woodpecker","Picidae"
4020,"",0.048312919,-0.594791649,0.589135396,"Yellow-bellied Sapsucker","Picidae"
4021,"",-3.615401388,-4.273370194,-3.03994192,"Red-naped Sapsucker","Picidae"
4060,"",-2.756025943,-3.38800154,-2.226697497,"Red-headed Woodpecker","Picidae"
4090,"",0.51706998,-0.128769927,1.060994303,"Red-bellied Woodpecker","Picidae"
4120,"",-0.721235056,-1.350256259,-0.205231189,"Northern Flicker","Picidae"
4290,"",-3.151717544,-3.794544516,-2.588048354,"Black-chinned Hummingbird","Trochilidae"
4320,"",-1.177021274,-1.845063301,-0.589899731,"Broad-tailed Hummingbird","Trochilidae"
4330,"",-1.067444992,-1.781905047,-0.413915085,"Rufous Hummingbird","Trochilidae"
4430,"",3.408472816,2.56504299,4.179436427,"Scissor-tailed Flycatcher","Tyrannidae"
4440,"",1.417712672,0.781627408,1.946235862,"Eastern Kingbird","Tyrannidae"
4470,"",0.143342747,-0.497808286,0.683368001,"Western Kingbird","Tyrannidae"
4480,"",-1.491356588,-2.136782634,-0.921766426,"Cassin's Kingbird","Tyrannidae"
4520,"",1.14556382,0.514276297,1.675855831,"Great Crested Flycatcher","Tyrannidae"
4540,"",-1.404490028,-2.036018945,-0.854472718,"Ash-throated Flycatcher","Tyrannidae"
4560,"",2.404232139,1.766872719,2.941378964,"Eastern Phoebe","Tyrannidae"
4570,"",-2.427008803,-3.059123188,-1.901832273,"Say's Phoebe","Tyrannidae"
4590,"",-2.946253632,-3.582820309,-2.416019355,"Olive-sided Flycatcher","Tyrannidae"
4610,"",2.682568542,2.046447492,3.225143407,"Eastern Wood-Pewee","Tyrannidae"
4620,"",0.668573035,0.01448819,1.223188941,"Western Wood-Pewee","Tyrannidae"
4640,"",-3.392291316,-4.049031264,-2.835965811,"Cordilleran Flycatcher","Tyrannidae"
4641,"",-0.17250233,-0.856081506,0.452911751,"Pacific-slope Flycatcher","Tyrannidae"
4650,"",-1.362204663,-1.992421487,-0.840849784,"Acadian Flycatcher","Tyrannidae"
4660,"",-2.8482617,-3.479282219,-2.331042972,"Willow Flycatcher","Tyrannidae"
4670,"",3.803350367,3.129177642,4.394715336,"Least Flycatcher","Tyrannidae"
4680,"",-1.388394356,-2.029695622,-0.844983111,"Hammond's Flycatcher","Tyrannidae"
4690,"",-2.019728281,-2.659906249,-1.476973329,"Dusky Flycatcher","Tyrannidae"
4691,"",-2.635167895,-3.295036942,-2.058252647,"Gray Flycatcher","Tyrannidae"
4750,"",-0.622161279,-1.260010263,-0.084431183,"Black-billed Magpie","Corvidae"
4770,"",2.855951157,2.232572747,3.398233358,"Blue Jay","Corvidae"
4780,"",-0.1412558,-0.807882952,0.432122236,"Steller's Jay","Corvidae"
4812,"",0.533737796,-0.312903527,1.376579091,"Western Scrub-Jay","Corvidae"
4840,"",-2.424257453,-3.093237992,-1.83976756,"Gray Jay","Corvidae"
4880,"",0.093478676,-0.541030859,0.626987452,"American Crow","Corvidae"
4900,"",1.653908147,0.96085045,2.27503451,"Fish Crow","Corvidae"
4910,"",-2.723470497,-3.369005614,-2.157486251,"Clark's Nutcracker","Corvidae"
4940,"",5.452552906,4.70865784,6.148697459,"Bobolink","Icteridae"
4950,"",0.501623966,-0.13179233,1.024709487,"Brown-headed Cowbird","Icteridae"
4970,"",-1.40964909,-2.046811517,-0.87045668,"Yellow-headed Blackbird","Icteridae"
4980,"",1.560006172,0.92432384,2.087551791,"Red-winged Blackbird","Icteridae"
5010,"",5.532199507,4.844966271,6.151266031,"Eastern Meadowlark","Icteridae"
5011,"",1.433346152,0.792085084,1.983574149,"Western Meadowlark","Icteridae"
5060,"",2.717183255,2.021511603,3.318893929,"Orchard Oriole","Icteridae"
5070,"",1.868875639,1.17498705,2.516383118,"Baltimore Oriole","Icteridae"
5080,"",-1.47227587,-2.119065336,-0.914124584,"Bullock's Oriole","Icteridae"
5100,"",0.921714282,0.281797445,1.466689844,"Brewer's Blackbird","Icteridae"
5110,"",1.472941165,0.839827228,2.001293175,"Common Grackle","Icteridae"
5120,"",-2.180988836,-2.832955613,-1.633856088,NA,NA
5170,"",-0.147182212,-0.790638414,0.414438713,"Purple Finch","Fringillidae"
5180,"",-3.127809596,-3.765218116,-2.574284976,"Cassin's Finch","Fringillidae"
