"","mean","mcse","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"(Intercept)",2.41625893205648,0.0175385450964297,0.147479654525082,2.10789334916042,2.32851865243397,2.41693502220678,2.50650505475183,2.69289733612922,71,1.04128927046624
"c_s",-0.614548221456489,0.00646146160879328,0.0653229313843068,-0.748380565109489,-0.655904387486401,-0.61266806402907,-0.56931933967618,-0.492993025193935,102,1.05148532139548
"abTemp",-0.547007111355999,0.00381370562181583,0.0427734351654434,-0.62598627518896,-0.577077188083464,-0.546991194379544,-0.522114370628497,-0.46128736379768,126,1.03162573374078
"abElev",-0.175630868392763,0.00420745493550737,0.0439605925943366,-0.267904000098393,-0.206570596277758,-0.176452439447781,-0.144558167622655,-0.0944203824467504,109,1.02054933653885
"abPrecip",-0.157281716295835,0.00302922584027955,0.0402270541200004,-0.240617585632862,-0.184894045205022,-0.155241251609122,-0.129455992927989,-0.082293356734488,176,1.02075066790538
"abNDVI",-0.30881573333233,0.00316991523710017,0.0348605104250074,-0.374270210246627,-0.334618669700503,-0.311697596429099,-0.281677654266173,-0.239582793027984,121,1.00584029568465
"b[(Intercept) FocalAOU:2881]",-2.35824522308313,0.0171562424963288,0.222731083052692,-2.78892634799757,-2.50156219691007,-2.36094645491255,-2.2018076237452,-1.93520296607191,169,1.01598696037351
"b[c_s FocalAOU:2881]",0.460002151114716,0.00637538946966575,0.135625040180774,0.195056699821446,0.375954478014088,0.46429103089276,0.547459709118088,0.725929992592139,453,1.00797198570121
"b[abTemp FocalAOU:2881]",0.34184422199672,0.00382399848039923,0.0977279184374699,0.152751683594055,0.273818004353923,0.342253309558629,0.410731664520047,0.530403002970538,653,1.00112044727612
"b[abElev FocalAOU:2881]",-0.919156903715956,0.00393832472492046,0.104581778735069,-1.1194356843516,-0.988144033627057,-0.920430578928943,-0.845097399827105,-0.724073305113209,705,0.999841552514994
"b[abPrecip FocalAOU:2881]",0.0397808052671025,0.0036012026461791,0.0829821286268471,-0.124945805795467,-0.0156350416959236,0.0415550191018211,0.0965605613158202,0.199561291255597,531,1.00487454475424
"b[abNDVI FocalAOU:2881]",0.0899948009683501,0.00367668744487231,0.104109457214418,-0.119624222175091,0.0185394154236294,0.0890502894910393,0.160554207137083,0.296317809674329,802,0.997643873152524
"b[(Intercept) FocalAOU:2890]",-0.0662463458335503,0.0177122722087083,0.184635402835252,-0.40826540777981,-0.191245835019984,-0.0707990746068361,0.0584364791129938,0.308026631046808,109,1.02735661550254
"b[c_s FocalAOU:2890]",0.785872080362596,0.00587615582622642,0.103944164081559,0.583542353879075,0.716184172047448,0.787410135107045,0.86083041041001,0.976239176407624,313,1.01069822403457
"b[abTemp FocalAOU:2890]",-0.585922896693614,0.00381266755909035,0.0517095442289286,-0.693382868630778,-0.619002499245046,-0.585775608847261,-0.552557271283793,-0.485475296383984,184,1.02014615178025
"b[abElev FocalAOU:2890]",-0.39547812009289,0.00401169956919183,0.0645395380782075,-0.522277586478549,-0.436620940775933,-0.393128588596781,-0.350919816392206,-0.276626315414677,259,1.00761135710881
"b[abPrecip FocalAOU:2890]",1.00049404278308,0.00316884625907466,0.0552715757486671,0.890743253587308,0.963114999046772,1.00311896420612,1.0370132303389,1.10101530872085,304,1.01050054943138
"b[abNDVI FocalAOU:2890]",-0.26605220025407,0.002938834424171,0.0511851335078967,-0.363107041501208,-0.301455133941433,-0.265159301461794,-0.231486863626847,-0.170420741964528,303,0.998002818658406
"b[(Intercept) FocalAOU:2940]",2.51797337999712,0.0189303346539732,0.254124511227252,2.02708902006104,2.33735462730139,2.52365846625306,2.68465888297399,3.01556201753937,180,1.02040686736297
"b[c_s FocalAOU:2940]",0.35779799369949,0.00638963456269925,0.0899654311014399,0.189756947891253,0.294242293554593,0.356455146095012,0.4191747168682,0.530547119241858,198,1.02663992802531
"b[abTemp FocalAOU:2940]",-0.583699727926534,0.00463619894533266,0.11025839292784,-0.807466498959134,-0.653869235701532,-0.579993483622347,-0.511936325174857,-0.368377556870899,566,1.00559840662933
"b[abElev FocalAOU:2940]",-1.57889603933769,0.0043271969878387,0.103020436443459,-1.79451409978817,-1.64860617322533,-1.57242641403295,-1.50751115061594,-1.38967009346978,567,1.00457701923536
"b[abPrecip FocalAOU:2940]",-0.5086510853741,0.00360278519870103,0.091310808782343,-0.683185080459973,-0.570924400319548,-0.511673550841202,-0.444631251659289,-0.326814892995636,642,1.00110959408381
"b[abNDVI FocalAOU:2940]",-0.701822998113401,0.00272315761861469,0.0861138050246256,-0.867088365912434,-0.761916242049466,-0.702712912073715,-0.64364172144316,-0.534209233069727,1000,1.00424738893242
"b[(Intercept) FocalAOU:3000]",-3.29816213897301,0.0178853866587024,0.196582469217246,-3.66671600851383,-3.43664353162671,-3.2914484217516,-3.16678142359358,-2.91304098384784,121,1.01973332962318
