Focal AOU,Environment Occupancy ,Competition Occupancy,Shared Occupancy,None Occupancy,Total Variance Occupancy,Environment Abundance,Competition Abundance,Shared Abundance,None Abundance,Total Variance Abundance,Rc,n
5300,0.158007024,0.053317659,0.076524414,0.712150902,0.287849098,0.128197702,0.044823853,0.052796876,0.765687763,0.225818431,0.252302089,312
5330,0.136720999,0.007384844,0.003571819,0.852322338,0.147677662,0.100445267,0.004198262,0.001640656,0.890529233,0.106284185,0.051245973,666
5400,0.155513879,0.113051304,0.101888396,0.629546421,0.370453579,0.067206035,0.241538643,0.249567941,0.570174719,0.55831262,0.420945495,1122
5460,0.179097745,0.242369899,-0.064024264,0.64255662,0.35744338,0.085196916,0.279026987,-0.006305905,0.67873909,0.357917998,0.575061697,1293
5480,0.124745797,0.121614851,0.150481367,0.603157986,0.396842014,0.041432907,0.25843563,0.281738677,0.555213565,0.581607214,0.493645606,159
5520,0.068464393,0.145041753,0.175439675,0.611054179,0.388945821,0.069373818,0.110486863,0.108752647,0.676831782,0.288613328,0.679332919,903
5540,0.339416291,0.016254506,-0.00453706,0.648866262,0.351133738,0.150621633,0.066975792,0.00733559,0.825788272,0.224933014,0.045700986,327
5580,0.053600527,0.152568736,0.201222981,0.592607756,0.407392244,0.006755362,0.510904235,0.550338439,0.290337463,1.067998035,0.740016885,399
5600,0.140210829,0.09519952,0.128375776,0.636213876,0.363786124,0.085113201,0.279572629,0.321654624,0.498032655,0.686340454,0.404398193,2187
5610,0.090932602,0.128499049,0.374410526,0.406157824,0.593842176,0.008135747,0.433614173,0.626447022,0.236918182,1.068196942,0.585599428,408
5620,0.064459025,0.105795918,-0.002967889,0.832712946,0.167287054,0.07722768,0.264198943,0.109751765,0.707224638,0.451178387,0.621397042,327
5630,0.111598061,0.124455868,0.092520164,0.671425907,0.328574093,0.012052595,0.45518887,0.422149116,0.441342421,0.889390581,0.527234893,1422
5730,0.373136147,0.071771394,0.01365127,0.541441189,0.458558811,0.186762127,0.022701877,-0.020918219,0.762384698,0.188545785,0.161317548,210
5780,0.101580211,0.289276588,0.177564977,0.431578224,0.568421776,0.020057817,0.471050632,0.450578163,0.240087432,0.941686612,0.740108881,204
5810,0.060370049,0.183005613,0.195947799,0.560676539,0.439323461,0.012029959,0.349346344,0.398616824,0.406347604,0.759993127,0.751947057,1893
5840,0.074677834,0.020727132,0.015705255,0.88888978,0.11111022,0.044793574,0.002887835,-0.017623292,0.952102586,0.030058118,0.217254221,624
5850,0.126238161,0.031217203,0.030544024,0.812000612,0.187999388,0.083762255,0.075847512,0.079460207,0.805560334,0.239069975,0.198260654,249
5870,0.230159478,0.082920539,0.080317302,0.606602681,0.393397319,0.04680913,0.239327372,0.250582626,0.619687705,0.536719128,0.26485414,1428
5880,0.072756327,0.083578066,-0.006812539,0.850478146,0.149521854,0.067041119,0.122401334,0.010382166,0.838998649,0.199824619,0.53461087,513
5900,0.036641145,0.234504533,0.011006988,0.717847334,0.282152666,0.024331847,0.15947726,-0.053740567,0.794904187,0.13006854,0.864865466,264
5930,0.258981716,0.154214756,0.037902793,0.548900735,0.451099265,0.183718344,0.255940762,0.110397062,0.551669839,0.550056168,0.373223796,1677
5950,0.236152206,0.088055071,-0.034532426,0.71032515,0.28967485,0.125641425,0.146867393,0.012398083,0.773905421,0.284906902,0.271601155,1053
5960,0.095056764,0.138336892,0.020075803,0.746530541,0.253469459,0.103816135,0.140813339,0.019952111,0.737894862,0.264581585,0.592719162,555
5970,0.302917388,0.020509759,-0.020343161,0.696916014,0.303083986,0.258153057,0.088396086,-0.008667315,0.730004499,0.337881827,0.063413846,1128
5980,0.285774685,0.098909228,0.156848175,0.458467913,0.541532087,0.236640251,0.179113506,0.209521213,0.454929308,0.62527497,0.257118181,1698
5990,0.135494991,0.004054551,-0.003891189,0.864341646,0.135658354,0.075060631,0.061766301,0.037132283,0.883752534,0.173959215,0.029054566,420
6010,0.085539443,0.142556678,0.222384574,0.549519305,0.450480695,0.022553236,0.432050299,0.646639415,0.18825067,1.101242951,0.624985105,240
6040,0.343352729,0.170924181,-0.038902249,0.524625339,0.475374661,0.192195611,0.306780614,0.097948865,0.538931343,0.59692509,0.332358264,882
6050,0.126295195,0.305168247,0.321828855,0.246707703,0.753292297,0.049547542,0.290125736,0.174426119,0.470858091,0.514099398,0.707286452,210
6070,0.137321525,0.004394823,0.022971887,0.835311764,0.164688236,0.081415195,0.000312622,0.010121566,0.904068416,0.091849383,0.031011405,528
6080,0.120697216,0.025184806,0.011821737,0.84229624,0.15770376,0.116763249,0.011556289,0.007605678,0.850446266,0.135925217,0.172638176,1194
6100,0.299965086,0.000927618,0.030249917,0.668857379,0.331142621,0.159753762,0.000261224,0.01517831,0.82414031,0.175193296,0.003082887,798
6120,0.013331865,0.341226449,0.024826826,0.62061486,0.37938514,0.019260128,0.276497513,-0.050964401,0.690477824,0.24479324,0.962398666,1770
6130,0.186409067,0.022047571,0.099717498,0.691825864,0.308174136,0.102895138,0.036338326,0.095649958,0.779407333,0.234883422,0.105765743,2466
6140,0.173467489,0.066372318,0.053463042,0.706697151,0.293302849,0.041631285,0.118599382,0.081512734,0.810483663,0.241743401,0.276736039,1977
6150,0.13319548,0.076088775,0.043983722,0.746732023,0.253267977,0.0758947,0.109612905,0.045021308,0.802995217,0.230528913,0.363566647,579
6160,0.065202904,0.112456197,-0.018471781,0.84081268,0.15918732,0.024985502,0.118347309,-0.005137481,0.867695782,0.13819533,0.632988663,843
6170,0.075323552,0.001421517,-0.001351685,0.924606616,0.075393384,0.007927881,0.063047975,0.07012581,0.920524792,0.141101666,0.018522591,1986
6190,0.241631334,0,0,0.758368666,0.241631334,0.132691583,0,0,0.867308417,0.132691583,0,1695
6220,0.082535195,0,0,0.917464805,0.082535195,0.039053041,0,0,0.960946959,0.039053041,0,906
6240,0.075513561,0.342171477,0.061505019,0.520809943,0.479190057,0.015079024,0.500721927,0.233751831,0.408997668,0.749552782,0.819209322,1869
6270,0.116973301,0.157289739,0.013047198,0.712689762,0.287310238,0.026469944,0.203899606,0.097457722,0.718782595,0.327827272,0.573499582,1686
6280,0.029267353,0.014411005,0.007489367,0.948832275,0.051167725,0.019605805,0.078914917,0.063467786,0.902515404,0.161988508,0.329934677,1209
6290,0.035300756,0.167436068,-0.020873916,0.818137092,0.181862908,0.057422207,0.471130497,0.259478738,0.515662987,0.788031442,0.825878916,612
