"FocalAOU","main_g_non_e","Comp_count","nulle","Null"
2881,0,149,0,"Null"
2890,0,174,0,"Null"
2940,0,143,0,"Null"
3000,1,200,0.00497512437810945,"Null"
3120,0,156,0,"Null"
3160,1,276,0.0036101083032491,"Null"
3190,0,179,0,"Null"
3200,0,144,0,"Null"
3870,0,203,0,"Null"
3880,0,171,0,"Null"
3930,10,254,0.0392156862745098,"Null"
3940,3,254,0.0117647058823529,"Null"
3960,4,162,0.0245398773006135,"Null"
4020,1,154,0.00645161290322581,"Null"
4021,0,147,0,"Null"
4060,1,194,0.00512820512820513,"Null"
4090,2,161,0.0123456790123457,"Null"
4120,1,191,0.00520833333333333,"Null"
4290,0,207,0,"Null"
4320,0,146,0,"Null"
4330,0,139,0,"Null"
4430,5,133,0.0373134328358209,"Null"
4440,2,231,0.00862068965517241,"Null"
4470,1,257,0.00387596899224806,"Null"
4480,0,153,0,"Null"
4520,3,188,0.0158730158730159,"Null"
4540,0,200,0,"Null"
4560,2,192,0.0103626943005181,"Null"
4570,1,218,0.0045662100456621,"Null"
4590,1,222,0.00448430493273543,"Null"
4610,1,179,0.00555555555555556,"Null"
4620,6,230,0.025974025974026,"Null"
4640,0,157,0,"Null"
4641,2,142,0.013986013986014,"Null"
4650,0,141,0,"Null"
4660,0,233,0,"Null"
4670,2,195,0.0102040816326531,"Null"
4680,0,157,0,"Null"
4690,0,169,0,"Null"
4691,2,146,0.0136054421768707,"Null"
4750,1,212,0.00469483568075117,"Null"
4770,1,215,0.00462962962962963,"Null"
4780,0,179,0,"Null"
4812,0,116,0,"Null"
4840,0,182,0,"Null"
4880,3,255,0.01171875,"Null"
4900,1,127,0.0078125,"Null"
4910,0,150,0,"Null"
4940,3,189,0.0157894736842105,"Null"
4950,1,274,0.00363636363636364,"Null"
4970,0,211,0,"Null"
4980,3,272,0.010989010989011,"Null"
5010,4,227,0.0175438596491228,"Null"
5011,0,250,0,"Null"
5060,1,185,0.00537634408602151,"Null"
5070,4,178,0.0223463687150838,"Null"
5080,6,218,0.0273972602739726,"Null"
5100,1,226,0.00440528634361234,"Null"
5110,2,230,0.00865800865800866,"Null"
5120,2,195,0.0102040816326531,"Null"
5170,3,206,0.0144927536231884,"Null"
5180,0,143,0,"Null"
5190,2,273,0.0072992700729927,"Null"
5210,0,229,0,"Null"
5220,0,150,0,"Null"
5290,2,233,0.00854700854700855,"Null"
5300,1,203,0.00490196078431373,"Null"
5330,1,233,0.00427350427350427,"Null"
5400,1,230,0.00432900432900433,"Null"
5460,0,253,0,"Null"
5480,0,136,0,"Null"
5520,0,255,0,"Null"
5540,0,172,0,"Null"
5580,1,154,0.00645161290322581,"Null"
5600,3,263,0.0113636363636364,"Null"
5610,3,176,0.0169491525423729,"Null"
5620,2,160,0.0124223602484472,"Null"
5630,1,184,0.00540540540540541,"Null"
5730,0,185,0,"Null"
5780,1,157,0.00632911392405063,"Null"
5810,9,253,0.0354330708661417,"Null"
5840,0,155,0,"Null"
5850,0,174,0,"Null"
5870,0,156,0,"Null"
5880,0,207,0,"Null"
5900,0,156,0,"Null"
5930,3,215,0.0138888888888889,"Null"
5950,2,162,0.0122699386503067,"Null"
5960,0,210,0,"Null"
5970,0,230,0,"Null"
5980,1,235,0.00423728813559322,"Null"
5990,0,197,0,"Null"
