"focalAOU","Focal","FocalSciName","CompAOU","Competitor","CompSciName","Family","mainCompetitor"
3940,"Downy Woodpecker","Dryobates pubescens",4030,"Red-breasted Sapsucker","Sphyrapicus ruber","Picidae",0
3940,"Downy Woodpecker","Dryobates pubescens",4040,"Williamson's Sapsucker","Sphyrapicus thyroideus","Picidae",0
3960,"Ladder-backed Woodpecker","Dryobates scalaris",3940,"Downy Woodpecker","Dryobates pubescens","Picidae",1
3960,"Ladder-backed Woodpecker","Dryobates scalaris",3970,"Nuttall's Woodpecker","Dryobates nuttallii","Picidae",0
3960,"Ladder-backed Woodpecker","Dryobates scalaris",4021,"Red-naped Sapsucker","Sphyrapicus nuchalis","Picidae",0
3970,"Nuttall's Woodpecker","Dryobates nuttallii",3930,"Hairy Woodpecker","Leuconotopicus villosus","Picidae",1
3970,"Nuttall's Woodpecker","Dryobates nuttallii",3940,"Downy Woodpecker","Dryobates pubescens","Picidae",0
3970,"Nuttall's Woodpecker","Dryobates nuttallii",3960,"Ladder-backed Woodpecker","Dryobates scalaris","Picidae",0
3970,"Nuttall's Woodpecker","Dryobates nuttallii",3990,"White-headed Woodpecker","Leuconotopicus albolarvatus","Picidae",0
3970,"Nuttall's Woodpecker","Dryobates nuttallii",4000,"Black-backed Woodpecker","Picoides arcticus","Picidae",0
3970,"Nuttall's Woodpecker","Dryobates nuttallii",4030,"Red-breasted Sapsucker","Sphyrapicus ruber","Picidae",0
3970,"Nuttall's Woodpecker","Dryobates nuttallii",4040,"Williamson's Sapsucker","Sphyrapicus thyroideus","Picidae",0
4020,"Yellow-bellied Sapsucker","Sphyrapicus varius",3930,"Hairy Woodpecker","Leuconotopicus villosus","Picidae",1
4020,"Yellow-bellied Sapsucker","Sphyrapicus varius",3940,"Downy Woodpecker","Dryobates pubescens","Picidae",0
4020,"Yellow-bellied Sapsucker","Sphyrapicus varius",4000,"Black-backed Woodpecker","Picoides arcticus","Picidae",0
4020,"Yellow-bellied Sapsucker","Sphyrapicus varius",4010,"American Three-toed Woodpecker","Picoides tridactylus","Picidae",0
4020,"Yellow-bellied Sapsucker","Sphyrapicus varius",4060,"Red-headed Woodpecker","Melanerpes erythrocephalus","Picidae",0
4020,"Yellow-bellied Sapsucker","Sphyrapicus varius",4090,"Red-bellied Woodpecker","Melanerpes carolinus","Picidae",0
4021,"Red-naped Sapsucker","Sphyrapicus nuchalis",4040,"Williamson's Sapsucker","Sphyrapicus thyroideus","Picidae",1
4030,"Red-breasted Sapsucker","Sphyrapicus ruber",4070,"Acorn Woodpecker","Melanerpes formicivorus","Picidae",1
4030,"Red-breasted Sapsucker","Sphyrapicus ruber",3970,"Nuttall's Woodpecker","Dryobates nuttallii","Picidae",0
4060,"Red-headed Woodpecker","Melanerpes erythrocephalus",4120,"Northern Flicker","Colaptes auratus","Picidae",1
4060,"Red-headed Woodpecker","Melanerpes erythrocephalus",4090,"Red-bellied Woodpecker","Melanerpes carolinus","Picidae",0
4090,"Red-bellied Woodpecker","Melanerpes carolinus",4060,"Red-headed Woodpecker","Melanerpes erythrocephalus","Picidae",1
4090,"Red-bellied Woodpecker","Melanerpes carolinus",3930,"Hairy Woodpecker","Leuconotopicus villosus","Picidae",0
4090,"Red-bellied Woodpecker","Melanerpes carolinus",3950,"Red-cockaded Woodpecker","Leuconotopicus borealis","Picidae",0
4090,"Red-bellied Woodpecker","Melanerpes carolinus",4000,"Black-backed Woodpecker","Picoides arcticus","Picidae",0
4090,"Red-bellied Woodpecker","Melanerpes carolinus",4020,"Yellow-bellied Sapsucker","Sphyrapicus varius","Picidae",0
4090,"Red-bellied Woodpecker","Melanerpes carolinus",4100,"Golden-fronted Woodpecker","Melanerpes aurifrons","Picidae",0
4090,"Red-bellied Woodpecker","Melanerpes carolinus",4120,"Northern Flicker","Colaptes auratus","Picidae",0
4100,"Golden-fronted Woodpecker","Melanerpes aurifrons",4070,"Acorn Woodpecker","Melanerpes formicivorus","Picidae",1
4100,"Golden-fronted Woodpecker","Melanerpes aurifrons",3930,"Hairy Woodpecker","Leuconotopicus villosus","Picidae",0
4100,"Golden-fronted Woodpecker","Melanerpes aurifrons",4021,"Red-naped Sapsucker","Sphyrapicus nuchalis","Picidae",0
4100,"Golden-fronted Woodpecker","Melanerpes aurifrons",4060,"Red-headed Woodpecker","Melanerpes erythrocephalus","Picidae",0
4100,"Golden-fronted Woodpecker","Melanerpes aurifrons",4090,"Red-bellied Woodpecker","Melanerpes carolinus","Picidae",0
4100,"Golden-fronted Woodpecker","Melanerpes aurifrons",4120,"Northern Flicker","Colaptes auratus","Picidae",0
4110,"Gila Woodpecker","Melanerpes uropygialis",4140,"Gilded Flicker","Colaptes chrysoides","Picidae",1
4110,"Gila Woodpecker","Melanerpes uropygialis",3930,"Hairy Woodpecker","Leuconotopicus villosus","Picidae",0
4110,"Gila Woodpecker","Melanerpes uropygialis",4021,"Red-naped Sapsucker","Sphyrapicus nuchalis","Picidae",0
4110,"Gila Woodpecker","Melanerpes uropygialis",4070,"Acorn Woodpecker","Melanerpes formicivorus","Picidae",0
4120,"Northern Flicker","Colaptes auratus",3930,"Hairy Woodpecker","Leuconotopicus villosus","Picidae",1
4120,"Northern Flicker","Colaptes auratus",4000,"Black-backed Woodpecker","Picoides arcticus","Picidae",0
4120,"Northern Flicker","Colaptes auratus",4060,"Red-headed Woodpecker","Melanerpes erythrocephalus","Picidae",0
4120,"Northern Flicker","Colaptes auratus",4070,"Acorn Woodpecker","Melanerpes formicivorus","Picidae",0
4120,"Northern Flicker","Colaptes auratus",4080,"Lewis's Woodpecker","Melanerpes lewis","Picidae",0
