AOU,CommonName,Competitor
4650,Acadian Flycatcher,Eastern Wood-Pewee
4650,Acadian Flycatcher,Alder Flycatcher
4650,Acadian Flycatcher,Yellow-bellied Flycatcher
4650,Acadian Flycatcher,Willow Flycatcher
4650,Acadian Flycatcher,Least Flycatcher
4650,Acadian Flycatcher,Olive-sided Flycatcher
4070,Acorn Woodpecker,Nuttall's Woodpecker
4661,Alder Flycatcher,Olive-sided Flycatcher
4661,Alder Flycatcher,Western Wood-Pewee
4661,Alder Flycatcher,Yellow-bellied Flycatcher
4661,Alder Flycatcher,Acadian Flycatcher
4661,Alder Flycatcher,Willow Flycatcher
4661,Alder Flycatcher,Least Flycatcher
6870,American Redstart,Black-throated Blue Warbler
6870,American Redstart,Magnolia Warbler
6870,American Redstart,Canada Warbler
6870,American Redstart,Least Flycatcher
4310,Anna's Hummingbird,Allen's Hummingbird
4540,Ash-throated Flycatcher,Cassin's Kingbird
4540,Ash-throated Flycatcher,Say's Phoebe
5450,Baird's Sparrow,Grasshopper Sparrow
5450,Baird's Sparrow,Lark Sparrow
3120,Band-tailed Pigeon,Rock Pigeon
3120,Band-tailed Pigeon,Mourning Dove
6160,Bank Swallow,Cliff Swallow
6160,Bank Swallow,Tree Swallow
6600,Bay-breasted Warbler,Tennessee Warbler
6600,Bay-breasted Warbler,Orange-crowned Warbler
6600,Bay-breasted Warbler,Nashville Warbler
6600,Bay-breasted Warbler,Cape May Warbler
6600,Bay-breasted Warbler,Blackpoll Warbler
6600,Bay-breasted Warbler,Blackburnian Warbler
6600,Bay-breasted Warbler,Common Yellowthroat
6600,Bay-breasted Warbler,Yellow Warbler
6600,Bay-breasted Warbler,Yellow-rumped Warbler
6600,Bay-breasted Warbler,Chestnut-sided Warbler
6600,Bay-breasted Warbler,Wilson's Warbler
6600,Bay-breasted Warbler,Black-throated Green Warbler
6600,Bay-breasted Warbler,Mourning Warbler
6330,Bell's Vireo,Warbling Vireo
6330,Bell's Vireo,Yellow-throated Vireo
7080,Bendire's Thrasher,Crissal Thrasher
7080,Bendire's Thrasher,Northern Mockingbird
7190,Bewick's Wren,Rock Wren
7190,Bewick's Wren,House Wren
4580,Black Phoebe,Vermilion Flycatcher
6360,Black-and-white Warbler,Prothonotary Warbler
6360,Black-and-white Warbler,Yellow-throated Warbler
6360,Black-and-white Warbler,Pine Warbler
3880,Black-billed Cuckoo,Yellow-billed Cuckoo
6620,Blackburnian Warbler,Blackpoll Warbler
6620,Blackburnian Warbler,Bay-breasted Warbler
6620,Blackburnian Warbler,Tennessee Warbler
6620,Blackburnian Warbler,Orange-crowned Warbler
6620,Blackburnian Warbler,Nashville Warbler
6620,Blackburnian Warbler,Cape May Warbler
6620,Blackburnian Warbler,Common Yellowthroat
6620,Blackburnian Warbler,Yellow Warbler
6620,Blackburnian Warbler,Yellow-rumped Warbler
6620,Blackburnian Warbler,Chestnut-sided Warbler
6620,Blackburnian Warbler,Wilson's Warbler
6620,Blackburnian Warbler,Black-throated Green Warbler
6620,Blackburnian Warbler,Mourning Warbler
4290,Black-chinned Hummingbird,Broad-tailed Hummingbird
5650,Black-chinned Sparrow,Rufous-crowned Sparrow
5650,Black-chinned Sparrow,Black-throated Sparrow
6610,Blackpoll Warbler,Bay-breasted Warbler
6610,Blackpoll Warbler,Tennessee Warbler
6610,Blackpoll Warbler,Orange-crowned Warbler
6610,Blackpoll Warbler,Nashville Warbler
6610,Blackpoll Warbler,Cape May Warbler
6610,Blackpoll Warbler,Blackburnian Warbler
6610,Blackpoll Warbler,Common Yellowthroat
6610,Blackpoll Warbler,Yellow Warbler
6610,Blackpoll Warbler,Yellow-rumped Warbler
6610,Blackpoll Warbler,Chestnut-sided Warbler
6610,Blackpoll Warbler,Wilson's Warbler
6610,Blackpoll Warbler,Black-throated Green Warbler
6610,Blackpoll Warbler,Townsend's Warbler
6610,Blackpoll Warbler,Mourning Warbler
7520,Black-tailed Gnatcatcher,Blue-gray Gnatcatcher
6540,Black-throated Blue Warbler,Magnolia Warbler
6540,Black-throated Blue Warbler,Canada Warbler
6540,Black-throated Blue Warbler,American Redstart
6650,Black-throated Gray Warbler,Lucy's Warbler
6650,Black-throated Gray Warbler,Yellow Warbler
6650,Black-throated Gray Warbler,Painted Redstart
6650,Black-throated Gray Warbler,Grace's Warbler
6650,Black-throated Gray Warbler,Yellow-breasted Chat
5730,Black-throated Sparrow,Black-chinned Sparrow
5730,Black-throated Sparrow,Rufous-crowned Sparrow
6410,Blue-winged Warbler,Worm-eating Warbler
6410,Blue-winged Warbler,Pine Warbler
6410,Blue-winged Warbler,Northern Parula
6410,Blue-winged Warbler,Prairie Warbler
6410,Blue-winged Warbler,Yellow Warbler
6410,Blue-winged Warbler,Common Yellowthroat
6410,Blue-winged Warbler,Yellow-breasted Chat
6410,Blue-winged Warbler,Hooded Warbler
7400,Boreal Chickadee,Black-capped Chickadee
5620,Brewer's Sparrow,Lark Sparrow
5620,Brewer's Sparrow,Vesper Sparrow
4320,Broad-tailed Hummingbird,Black-chinned Hummingbird
7260,Brown Creeper,Red-breasted Nuthatch
7260,Brown Creeper,White-breasted Nuthatch
4530,Brown-crested Flycatcher,Dusky-capped Flycatcher
7430,Bushtit,Chestnut-backed Chickadee
7430,Bushtit,Oak Titmouse
7100,California Thrasher,Northern Mockingbird
5911,California Towhee,Spotted Towhee
4360,Calliope Hummingbird,Rufous Hummingbird
6860,Canada Warbler,Black-throated Blue Warbler
6860,Canada Warbler,Magnolia Warbler
6860,Canada Warbler,American Redstart
6500,Cape May Warbler,Tennessee Warbler
6500,Cape May Warbler,Orange-crowned Warbler
6500,Cape May Warbler,Nashville Warbler
6500,Cape May Warbler,Bay-breasted Warbler
6500,Cape May Warbler,Blackpoll Warbler
