Focal.AOU,Focal.Common.Name,Focal.Scientitic.Name,Focal.Family,Competitor.AOU,Competitor.Common.Name,Competitor.Scientific.Name,Most.Widespread.Competitor,maxCompetitor
7430,Bushtit,Psaltriparus minimus,Aegithalidae,7410,Chestnut-backed Chickadee,Parus rufescens,1,0
6190,Cedar Waxwing,Bombycilla cedrorum,Bombycillidae,6180,Bohemian Waxwing,Bombycilla garrulus,1,0
5960,Black-headed Grosbeak,Pheucticus melanocephalus,Cardinalidae,5930,Northern Cardinal,Cardinalis cardinalis,0,0
5960,Black-headed Grosbeak,Pheucticus melanocephalus,Cardinalidae,5940,Pyrrhuloxia,Cardinalis sinuatus,0,0
5960,Black-headed Grosbeak,Pheucticus melanocephalus,Cardinalidae,5970,Blue Grosbeak,Passerina caerulea,1,1
5960,Black-headed Grosbeak,Pheucticus melanocephalus,Cardinalidae,5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,0,0
5960,Black-headed Grosbeak,Pheucticus melanocephalus,Cardinalidae,6040,Dickcissel,Spiza americana,0,0
5970,Blue Grosbeak,Passerina caerulea,Cardinalidae,5930,Northern Cardinal,Cardinalis cardinalis,1,0
5970,Blue Grosbeak,Passerina caerulea,Cardinalidae,5940,Pyrrhuloxia,Cardinalis sinuatus,0,0
5970,Blue Grosbeak,Passerina caerulea,Cardinalidae,5990,Lazuli Bunting,Passerina amoena,0,0
5970,Blue Grosbeak,Passerina caerulea,Cardinalidae,6010,Painted Bunting,Passerina ciris,0,0
5970,Blue Grosbeak,Passerina caerulea,Cardinalidae,5980,Indigo Bunting,Passerina cyanea,0,0
5970,Blue Grosbeak,Passerina caerulea,Cardinalidae,5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,0,1
5970,Blue Grosbeak,Passerina caerulea,Cardinalidae,5960,Black-headed Grosbeak,Pheucticus melanocephalus,0,0
5970,Blue Grosbeak,Passerina caerulea,Cardinalidae,6040,Dickcissel,Spiza americana,0,0
6040,Dickcissel,Spiza americana,Cardinalidae,5930,Northern Cardinal,Cardinalis cardinalis,0,0
6040,Dickcissel,Spiza americana,Cardinalidae,5940,Pyrrhuloxia,Cardinalis sinuatus,0,0
6040,Dickcissel,Spiza americana,Cardinalidae,5990,Lazuli Bunting,Passerina amoena,0,0
6040,Dickcissel,Spiza americana,Cardinalidae,5970,Blue Grosbeak,Passerina caerulea,0,1
6040,Dickcissel,Spiza americana,Cardinalidae,6010,Painted Bunting,Passerina ciris,0,0
6040,Dickcissel,Spiza americana,Cardinalidae,5980,Indigo Bunting,Passerina cyanea,1,0
6040,Dickcissel,Spiza americana,Cardinalidae,5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,0,0
6040,Dickcissel,Spiza americana,Cardinalidae,5960,Black-headed Grosbeak,Pheucticus melanocephalus,0,0
5980,Indigo Bunting,Passerina cyanea,Cardinalidae,5940,Pyrrhuloxia,Cardinalis sinuatus,0,1
5980,Indigo Bunting,Passerina cyanea,Cardinalidae,5990,Lazuli Bunting,Passerina amoena,0,0
5980,Indigo Bunting,Passerina cyanea,Cardinalidae,5970,Blue Grosbeak,Passerina caerulea,1,0
5980,Indigo Bunting,Passerina cyanea,Cardinalidae,6010,Painted Bunting,Passerina ciris,0,0
5980,Indigo Bunting,Passerina cyanea,Cardinalidae,6000,Varied Bunting,Passerina versicolor,0,0
5980,Indigo Bunting,Passerina cyanea,Cardinalidae,6040,Dickcissel,Spiza americana,0,0
5990,Lazuli Bunting,Passerina amoena,Cardinalidae,5960,Black-headed Grosbeak,Pheucticus melanocephalus,0,1
5930,Northern Cardinal,Cardinalis cardinalis,Cardinalidae,5970,Blue Grosbeak,Passerina caerulea,1,0
5930,Northern Cardinal,Cardinalis cardinalis,Cardinalidae,5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,0,1
5930,Northern Cardinal,Cardinalis cardinalis,Cardinalidae,5960,Black-headed Grosbeak,Pheucticus melanocephalus,0,0
5930,Northern Cardinal,Cardinalis cardinalis,Cardinalidae,6040,Dickcissel,Spiza americana,0,0
6010,Painted Bunting,Passerina ciris,Cardinalidae,5970,Blue Grosbeak,Passerina caerulea,1,1
6010,Painted Bunting,Passerina ciris,Cardinalidae,5980,Indigo Bunting,Passerina cyanea,0,0
6010,Painted Bunting,Passerina ciris,Cardinalidae,6000,Varied Bunting,Passerina versicolor,0,0
6010,Painted Bunting,Passerina ciris,Cardinalidae,6040,Dickcissel,Spiza americana,0,0
5940,Pyrrhuloxia,Cardinalis sinuatus,Cardinalidae,5930,Northern Cardinal,Cardinalis cardinalis,1,0
5940,Pyrrhuloxia,Cardinalis sinuatus,Cardinalidae,5970,Blue Grosbeak,Passerina caerulea,0,0
5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinalidae,5930,Northern Cardinal,Cardinalis cardinalis,1,0
5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinalidae,5970,Blue Grosbeak,Passerina caerulea,0,1
5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinalidae,5960,Black-headed Grosbeak,Pheucticus melanocephalus,0,0
5950,Rose-breasted Grosbeak,Pheucticus ludovicianus,Cardinalidae,6040,Dickcissel,Spiza americana,0,0
7260,Brown Creeper,Certhia americana,Certhiidae,7280,Red-breasted Nuthatch,Sitta canadensis,1,0
7260,Brown Creeper,Certhia americana,Certhiidae,7270,White-breasted Nuthatch,Sitta carolinensis,0,1
3120,Band-tailed Pigeon,Patagioenas fasciata,Columbidae,3160,Mourning Dove,Zenaida macroura,0,1
3120,Band-tailed Pigeon,Patagioenas fasciata,Columbidae,3131,Rock Pigeon,Columba livia,1,0
3200,Common Ground-Dove,Columbina passerina,Columbidae,3210,Inca Dove,Columbina inca,1,0
3200,Common Ground-Dove,Columbina passerina,Columbidae,3160,Mourning Dove,Zenaida macroura,0,1
3210,Inca Dove,Columbina inca,Columbidae,3200,Common Ground-Dove,Columbina passerina,1,0
3160,Mourning Dove,Zenaida macroura,Columbidae,3120,Band-tailed Pigeon,Patagioenas fasciata,0,1
3160,Mourning Dove,Zenaida macroura,Columbidae,22860,Eurasian Collared-Dove,Streptopelia decaocto,0,0
3160,Mourning Dove,Zenaida macroura,Columbidae,3190,White-winged Dove,Zenaida asiatica,1,0
3131,Rock Pigeon,Columba livia,Columbidae,3120,Band-tailed Pigeon,Patagioenas fasciata,1,0
3190,White-winged Dove,Zenaida asiatica,Columbidae,22860,Eurasian Collared-Dove,Streptopelia decaocto,0,0
3190,White-winged Dove,Zenaida asiatica,Columbidae,3160,Mourning Dove,Zenaida macroura,1,1
