"","Focal","focalAOU","Competitor","compAOU","FocalArea","CompArea","area_overlap"
"1","Bonasa umbellus","3000","Perdix_perdix","2881","8125106.16244731","12802476.9529709","1551004.0006337"
"2","Bonasa umbellus","3000","Falcipennis_canadensis","2980","8125106.16244731","6182333.73163864","4294097.59347047"
"3","Oreortyx pictus","2920","Callipepla_californica","2940","346048.996701771","1542584.17453311","290708.479818363"
"4","Perdix perdix","2881","Falcipennis_canadensis","2980","12802476.9529709","6182333.73163864","297608.78088629"
"5","Perdix perdix","2881","Bonasa_umbellus","3000","12802476.9529709","8125106.16244731","1551004.00063369"
"6","Columbina inca","3210","Columbina_passerina","3200","2764119.88080669","7563890.38462736","1706671.66194053"
"7","Coccyzus erythropthalmus","3880","Coccyzus_americanus","3870","5189825.6371103","5273151.51804721","2977148.79993854"
"8","Sphyrapicus ruber","4030","Dryobates_nuttallii","3970","1000123.50197508","183838.803086181","59015.1389220412"
"9","Sphyrapicus ruber","4030","Melanerpes_formicivorus","4070","1000123.50197508","1503556.97443414","123861.897003097"
"10","Sphyrapicus nuchalis","4021","Sphyrapicus_thyroideus","4040","2080628.74754262","649129.220196877","582585.007762987"
"11","Melanerpes erythrocephalus","4060","Melanerpes_carolinus","4090","5465758.50217252","3074161.21629421","3009866.19417989"
"12","Melanerpes erythrocephalus","4060","Colaptes_auratus","4120","5465758.50217252","10805319.4189033","5003038.53621714"
"13","Selasphorus platycercus","4320","Archilochus_alexandri","4290","696941.808012465","2399358.5723709","359675.417679704"
"14","Archilochus alexandri","4290","Selasphorus_platycercus","4320","2399358.5723709","696941.808012465","359675.417679704"
"15","Selasphorus calliope","4360","Selasphorus_rufus","4330","1219564.22549549","1526769.17181695","717304.555375202"
"16","Calypte anna","4310","Selasphorus_sasin","4340","499565.219437764","31440.1948616306","31440.1190301776"
"17","Selasphorus rufus","4330","Selasphorus_calliope","4360","1526769.17181695","1219564.22549549","717304.555375201"
"18","Sayornis saya","4570","Tyrannus_verticalis","4470","7567465.47160796","5134049.75263959","4173572.78014596"
"19","Sayornis saya","4570","Myiarchus_cinerascens","4540","7567465.47160796","3499142.41100036","2605019.9717526"
"20","Contopus cooperi","4590","Tyrannus_verticalis","4470","9719737.06825723","5134049.75263959","2863231.62954759"
"21","Myiarchus cinerascens","4540","Tyrannus_vociferans","4480","3499142.41100036","1436464.42306362","1072396.98269765"
"22","Myiarchus cinerascens","4540","Sayornis_saya","4570","3499142.41100036","7567465.47160796","2605019.9717526"
"23","Tyrannus vociferans","4480","Myiarchus_cinerascens","4540","1436464.42306362","3499142.41100036","1072396.98269765"
"24","Pyrocephalus rubinus","4710","Sayornis_nigricans","4580","7419349.01617319","2974625.04781577","1973573.07991996"
"25","Empidonax virescens","4650","Contopus_virens","4610","3006589.71273658","4084896.92727598","2804468.36454771"
"26","Empidonax hammondii","4680","Empidonax_occidentalis","4640","2767705.80079329","2351031.85131628","1153808.07232971"
"27","Empidonax hammondii","4680","Empidonax_oberholseri","4690","2767705.80079329","2740104.09879875","1835101.94946504"
"28","Empidonax wrightii","4691","Empidonax_occidentalis","4640","1149345.24522812","2351031.85131628","737290.286127617"
"29","Empidonax wrightii","4691","Empidonax_oberholseri","4690","1149345.24522812","2740104.09879875","1010310.10826267"
"30","Empidonax traillii","4660","Empidonax_alnorum","4661","7306864.44299","7184573.63606488","1298200.17191832"
"31","Setophaga ruticilla","6870","Empidonax_minimus","4670","7468329.47625163","5781012.31439595","4804925.34972613"
"32","Setophaga ruticilla","6870","Dendroica_caerulescens","6540","7468329.47625163","1147825.66562745","1144074.12078978"
"33","Setophaga ruticilla","6870","Dendroica_magnolia","6570","7468329.47625163","3723833.14858862","2901275.60697863"
"34","Setophaga ruticilla","6870","Wilsonia_canadensis","6860","7468329.47625163","2778071.5093701","2255311.30533657"
"35","Empidonax occidentalis","4640","Empidonax_hammondii","4680","2351031.85131628","2767705.80079329","1153808.07232972"
"36","Empidonax occidentalis","4640","Empidonax_wrightii","4691","2351031.85131628","1149345.24522812","737290.286127616"
"37","Empidonax oberholseri","4690","Empidonax_hammondii","4680","2740104.09879875","2767705.80079329","1835101.94946504"
"38","Empidonax oberholseri","4690","Empidonax_wrightii","4691","2740104.09879875","1149345.24522812","1010310.10826267"
"39","Sayornis nigricans","4580","Pyrocephalus_rubinus","4710","2974625.04781577","7419349.01617319","1973573.07991996"
"40","Gymnorhinus cyanocephalus","4920","Pica_pica","4750","1284018.96817758","39269504.082777","984190.752933335"
"41","Aphelocoma californica","4810","Cyanocitta_stelleri","4780","2324656.99491562","3528926.1325185","1423015.39006738"
"42","Perisoreus canadensis","4840","Cyanocitta_stelleri","4780","7552266.38251055","3528926.1325185","1099630.65704884"
"43","Perisoreus canadensis","4840","Nucifraga_columbiana","4910","7552266.38251055","2288046.02130045","834739.951228942"
"44","Cyanocitta stelleri","4780","Aphelocoma_californica","4810","3528926.1325185","2324656.99491562","1423015.39006738"
"45","Cyanocitta stelleri","4780","Perisoreus_canadensis","4840","3528926.1325185","7552266.38251055","1099630.65704884"
"46","Nucifraga columbiana","4910","Perisoreus_canadensis","4840","2288046.02130045","7552266.38251055","834739.951228944"
"47","Xanthocephalus xanthocephalus","4970","Agelaius_phoeniceus","4980","4771448.66197807","13768565.541706","4768929.2823279"
"48","Icterus cucullatus","5050","Icterus_parisorum","5040","1181288.1795104","1844582.62237865","422659.175627267"
"49","Icterus cucullatus","5050","Icterus_bullockii","5080","1181288.1795104","3654495.36741893","657036.169157814"
