"stateroute","evi.point","evi.mean","evi.var"
"2001",7611.36496274848,7597.7138190708,794224.576630143
"2002",6546.64326978894,7236.61905225579,1180934.59544537
"2003",6831.43651558157,7659.12930958967,762983.40287757
"2004",7364.41047131399,7934.69688377771,202247.9372135
"2005",8249.99799924833,7769.20241142109,336686.180018886
"2006",7613.03075071577,7388.68995830328,967607.13571678
"2007",8062.22524163245,7948.51237746369,719059.775731978
"2008",7995.61562534534,7794.65221447924,635399.043636886
"2009",7971.08754256406,7550.48520704309,699714.387045172
"2010",7942.74183373098,8138.26621121733,226834.474750444
"2011",6754.9391776625,8047.39825269378,317819.144918189
"2012",7448.5330083993,8052.14115013483,317489.025738761
"2013",8191.42046961176,7848.3378577942,336704.089447847
"2014",8387.42122792741,7694.39197545065,613882.677288508
"2015",7748.73418177637,7802.23402698255,542949.420517632
"2016",8108.42897258009,8049.02988389341,154511.974625672
"2017",8328.5288744299,7802.72611325189,577072.930750989
"2018",8072.98712659982,7874.51702472374,368795.005179332
"2019",8084.7944265237,7926.86511900774,316198.902759114
"2020",8241.32786694157,8152.21070144305,84457.8227030374
"2021",7865.657456089,7989.90595894021,241589.97965859
"2022",7177.82396241692,7784.66731417888,339500.817749443
"2023",8090.51738535284,7930.27063647822,333436.943920311
"2024",7773.08553336279,7667.80403337183,498853.91759919
"2025",7272.94670850596,7766.27089285704,300731.482324701
"2026",7370.01996944182,7600.66237401558,614149.971855079
"2027",8342.98735550129,7857.25650456918,232646.927818431
"2028",7713.60328194266,7873.29232291398,291554.523083504
"2029",7325.64343875666,7716.39917072139,461757.551934641
"2030",7528.11568249479,7058.18360687946,595556.64406372
"2031",6703.09433797562,6806.48900128953,353607.245477825
"2032",7030.04938315371,7791.01541556858,214238.273276807
"2033",7419.25137107116,7736.88298052209,285416.121685676
"2034",7397.52159995073,7854.36311247871,169443.816794083
"2035",6787.59495826531,7513.93426251837,215819.595696872
"2036",8335.07412971372,8045.70556001928,157896.051487263
"2037",7950.15530204379,7727.2652974782,292592.454093181
"2038",7269.27613978113,7674.59925189993,222059.531199809
"2039",8017.06556357396,8010.93530448301,111799.445176898
"2040",6012.43237781925,4863.41028417521,9437400.93082735
"2041",2087.58641680151,5748.45157812208,5050894.76470659
"2042",6150.3696794775,5934.27869856359,5698577.69894648
"2043",8232.09934753291,7943.48894071367,324053.655600649
"2044",6556.84711076032,7779.50519173842,571656.997385953
"2045",7581.91419280865,8068.23691708441,151914.142476494
"2046",7567.10641871149,7715.35846962673,389302.700659991
"2047",7455.97392274249,8019.99193311186,298282.511437616
"2048",6391.09772019459,7944.25260051309,252607.434705922
"2049",7463.30673779856,7924.42262452465,328527.336258581
"2050",7441.04639744839,7654.77622105611,398563.000055308
"2051",7722.76548002236,7834.43846310958,355928.009839938
"2052",8220.94844562104,7824.07282136247,99635.0693900051
"2053",7355.0683474949,8072.42004043594,129582.857652043
"2054",6877.94217929295,7353.95707487273,326723.798033262
"2055",7759.69057006431,7673.0366218233,297848.230252672
"2056",7271.5596007764,7924.36995969056,372157.034830133
"2057",7460.40838704198,7767.53375766495,655951.483555646
"2058",7826.83565076833,7990.56925243179,265130.283625593
"2059",8196.07045372566,8045.00264699391,222240.630783158
"2060",7786.1934762024,7986.25004496667,334148.392606485
"2061",7730.45475756236,7892.59444154881,378481.816714476
"2062",8284.06343673759,7861.138197426,592568.026040425
"2063",7324.20555342384,7754.09207541871,350030.975682393
"2064",8032.45369802616,7976.10611096048,323948.97628367
"2065",7856.23713345322,7713.89757166282,427645.157042347
"2066",7490.01390788379,7608.00404795013,217435.57387057
"2067",7182.93734132479,7597.31949619895,311862.94336564
"2068",6659.70989439958,6847.78759674534,402295.648977914
"2069",7373.58654940337,7555.66126355544,317859.947552329
"2070",7116.84368646426,5576.82174334691,6445818.09889773
"2071",6702.08046905128,7330.14419602446,1045771.1907179
"2072",6948.21002356265,7265.36313181581,1056041.18267836
"2073",8957.08947582274,8134.29541263391,551472.378048551
"2102",8347.3847331136,7326.0996990991,1267091.98805192
"2105",7290.59583194908,7758.96530500768,343152.799858222
"2109",7711.81346812222,7552.73898963039,701702.822544075
"2111",7674.695974627,8048.63202984845,313771.46416562
"2137",8089.36875529354,7711.85653947559,320923.949342623
"2140",6012.43237781925,4829.86010178165,9472330.14918241
"2141",2087.58641680151,5746.25261867706,5054271.62356501
"2142",6876.84830643611,6099.88418919412,4401046.03520563
"2156",7507.31101680977,7959.72744904084,337398.120664004
"2162",8374.80414199558,7858.00370152564,592947.334914039
"2164",8032.45369802616,7976.25406374301,323944.339761729
"2201",8286.7282473992,8048.36483924356,173481.652485365
"2203",6371.0836381155,7338.82495560895,908724.276149334
"2204",7701.74845892582,8089.89788083009,448754.007961646
"2205",8137.3464008647,7970.75186308901,281806.795897557
"2206",8041.39176991394,7972.63815758469,199351.968300578
"2207",7822.17204705755,7893.63717415399,262373.706098068
"2208",6870.18831375285,7981.93829520078,351494.659824317
"2209",8135.72181522911,8029.6312225052,192565.791210872
"2210",7987.41637762469,7855.17154911668,267388.552150742
"2211",8089.54478447768,7516.40267646525,470305.2206933
"2212",6493.78598562826,7707.09737624046,409326.863138665
"2213",7363.4222860019,7796.7111298539,185606.200468798
"2214",8073.26687670035,8080.61379169729,133252.345709658
"2215",8386.99644376512,7907.67110676638,197575.349768681
"2216",7703.99096893276,7497.66194263434,731187.576083113
"2217",7549.50864529274,6168.71583992482,6475566.11696901
"2218",7574.28130969486,7397.53755665022,612161.218270049
"2306",8041.39176991394,7976.24331446634,193250.34719531
"2750",7526.64635778655,7613.35090763615,688568.663932694
"2751",6275.69465472827,7908.88750496639,367069.285178289
"2752",7991.42601425089,7910.42516027984,325348.822058734
"2753",8110.07410770224,7823.19301856782,304241.822382794
"2754",5472.30321960308,6923.66385819094,2901162.44035868
"2900",7238.16131374462,7395.53440252178,1063355.11491886
"2901",7343.17169856957,7917.63671742158,477540.255002911
"3001",NA,NA,NA
"3002",NA,NA,NA
"3003",NA,NA,NA
"3004",NA,NA,NA
"3005",NA,NA,NA
"3006",NA,NA,NA
"3007",NA,NA,NA
"3008",NA,NA,NA
"3009",NA,NA,NA
"3010",NA,NA,NA
"3011",NA,NA,NA
"3012",NA,NA,NA
"3013",NA,NA,NA
"3015",NA,NA,NA
"3016",NA,5002.48091637474,5068870.71013905
"3017",NA,NA,NA
"3018",NA,NA,NA
"3019",3595.32196517331,5790.63032578136,5789008.72285968
"3020",6268.21399758756,6025.28874505793,5705951.9888502
"3021",8004.30536574695,5493.45491287581,7488533.74447307
"3023",6888.76316932964,7064.71741405743,1650823.24058853
"3024",7116.83532481227,6537.23920749539,3013474.37173905
"3025",7663.60523196429,4097.45436528347,9513641.41820114
"3026",7138.7041557538,7053.72056916641,1782802.14440482
