"Species","FocalAOU","stateroute"
"Bonasa_umbellus",3000,37447
"Bonasa_umbellus",3000,37680
"Bonasa_umbellus",3000,37811
"Bonasa_umbellus",3000,37902
"Bonasa_umbellus",3000,37984
"Bonasa_umbellus",3000,38140
"Bonasa_umbellus",3000,38514
"Bonasa_umbellus",3000,38721
"Bonasa_umbellus",3000,38813
"Bonasa_umbellus",3000,41122
"Bonasa_umbellus",3000,41217
"Bonasa_umbellus",3000,41460
"Bonasa_umbellus",3000,41532
"Bonasa_umbellus",3000,41678
"Bonasa_umbellus",3000,41982
"Bonasa_umbellus",3000,42164
"Bonasa_umbellus",3000,42370
"Bonasa_umbellus",3000,43259
"Bonasa_umbellus",3000,43375
"Bonasa_umbellus",3000,43495
"Bonasa_umbellus",3000,43574
"Bonasa_umbellus",3000,43673
"Bonasa_umbellus",3000,43823
"Bonasa_umbellus",3000,43939
"Bonasa_umbellus",3000,44123
"Bonasa_umbellus",3000,44376
"Bonasa_umbellus",3000,44470
"Bonasa_umbellus",3000,45179
"Bonasa_umbellus",3000,48010
"Bonasa_umbellus",3000,48220
"Bonasa_umbellus",3000,48307
"Bonasa_umbellus",3000,48614
"Bonasa_umbellus",3000,49467
"Bonasa_umbellus",3000,49531
"Bonasa_umbellus",3000,49720
"Bonasa_umbellus",3000,49826
"Bonasa_umbellus",3000,50653
"Bonasa_umbellus",3000,52441
"Bonasa_umbellus",3000,54040
"Bonasa_umbellus",3000,54280
"Bonasa_umbellus",3000,54405
"Bonasa_umbellus",3000,54489
"Bonasa_umbellus",3000,54719
"Bonasa_umbellus",3000,57564
"Bonasa_umbellus",3000,57674
"Bonasa_umbellus",3000,57843
"Bonasa_umbellus",3000,57965
"Bonasa_umbellus",3000,58175
"Bonasa_umbellus",3000,58250
"Bonasa_umbellus",3000,58358
"Bonasa_umbellus",3000,58485
"Bonasa_umbellus",3000,58649
"Bonasa_umbellus",3000,58878
"Bonasa_umbellus",3000,59048
"Bonasa_umbellus",3000,59179
"Bonasa_umbellus",3000,59564
"Bonasa_umbellus",3000,59646
"Bonasa_umbellus",3000,59736
"Bonasa_umbellus",3000,59975
"Bonasa_umbellus",3000,60624
"Bonasa_umbellus",3000,61094
"Bonasa_umbellus",3000,61887
"Bonasa_umbellus",3000,62303
"Bonasa_umbellus",3000,62458
"Bonasa_umbellus",3000,62629
"Bonasa_umbellus",3000,62883
"Bonasa_umbellus",3000,62992
"Bonasa_umbellus",3000,63092
"Bonasa_umbellus",3000,63164
"Bonasa_umbellus",3000,63420
"Bonasa_umbellus",3000,63739
"Bonasa_umbellus",3000,63872
"Bonasa_umbellus",3000,64409
"Bonasa_umbellus",3000,65426
"Bonasa_umbellus",3000,65908
"Bonasa_umbellus",3000,66116
"Bonasa_umbellus",3000,66696
"Bonasa_umbellus",3000,66785
"Bonasa_umbellus",3000,66888
"Bonasa_umbellus",3000,67072
"Bonasa_umbellus",3000,67130
"Bonasa_umbellus",3000,67435
"Bonasa_umbellus",3000,67823
"Bonasa_umbellus",3000,68120
"Bonasa_umbellus",3000,68325
"Bonasa_umbellus",3000,68450
"Bonasa_umbellus",3000,68641
"Bonasa_umbellus",3000,71477
"Bonasa_umbellus",3000,71534
"Bonasa_umbellus",3000,75381
"Bonasa_umbellus",3000,75592
"Bonasa_umbellus",3000,76218
"Bonasa_umbellus",3000,77704
"Bonasa_umbellus",3000,77939
"Bonasa_umbellus",3000,78033
"Bonasa_umbellus",3000,78361
"Bonasa_umbellus",3000,78653
"Bonasa_umbellus",3000,78985
"Bonasa_umbellus",3000,79199
"Bonasa_umbellus",3000,79440
