"X1","X2","X3"
"Bonasa_umbellus","-100.559026563174","53.5056527197658"
"Oreortyx_pictus","-120.399616034861","40.252702973991"
"Perdix_perdix","14.8854253015346","70.3784759251899"
"Patagioenas_fasciata","-108.117556746888","32.0590135840569"
"Columbina_inca","-101.729970524346","26.1227963610936"
"Coccyzus_erythropthalmus","-90.7680122445633","43.5929936077623"
"Sphyrapicus_ruber","-124.837676283401","49.7912714615598"
"Sphyrapicus_nuchalis","-112.370932192435","42.6249977745759"
"Melanerpes_erythrocephalus","-92.7955261179052","40.1027462151817"
"Selasphorus_platycercus","-106.527341434758","31.9059203606508"
"Archilochus_alexandri","-110.012922776573","36.5666125469169"
"Selasphorus_calliope","-117.190278370042","45.1611793952122"
"Calypte_anna","-117.871636826","37.2617131554919"
"Selasphorus_rufus","-121.995364241667","50.6904258425836"
"Sayornis_saya","-115.382944473751","48.7114859340913"
"Contopus_cooperi","-106.137081825936","52.2135679952994"
"Myiarchus_cinerascens","-108.979423155836","33.8553525302276"
"Tyrannus_vociferans","-105.619298132274","28.4014116590193"
"Pyrocephalus_rubinus","-76.8954751342091","-0.351225689958047"
"Empidonax_virescens","-88.2342109993105","36.726783006499"
"Empidonax_wrightii","-112.944991948526","39.5508066680146"
"Empidonax_hammondii","-120.417554600808","50.1057998198202"
"Empidonax_traillii","-102.449799171405","42.6265232641331"
"Setophaga_ruticilla","-93.8439745906705","48.1449788823513"
"Empidonax_occidentalis","-108.823035873278","36.9847152409146"
"Empidonax_oberholseri","-115.084342966758","43.9365411642411"
"Sayornis_nigricans","-93.4365908096973","17.6864562314228"
"Gymnorhinus_cyanocephalus","-111.521891564096","38.9813677209935"
"Aphelocoma_californica","-109.83150288049","34.563526349732"
"Perisoreus_canadensis","-100.983414181984","57.0329342228807"
"Cyanocitta_stelleri","-112.319464620546","40.0407215789788"
"Nucifraga_columbiana","-113.519086321512","42.8572418993332"
"Xanthocephalus_xanthocephalus","-107.604338440804","46.0071538485301"
"Icterus_cucullatus","-106.950836186408","30.0290619197699"
"Icterus_parisorum","-106.179460011224","29.1253290470639"
"Loxia_leucoptera","-124.675189916292","82.5340839393867"
"Loxia_curvirostra","89.3683866837506","84.7825848536392"
"Carpodacus_cassinii","-113.864705158496","42.8963456956126"
"Carduelis_pinus","-104.522906073245","50.019375119496"
"Carduelis_psaltria","-104.370260487874","30.0069951385375"
"Calamospiza_melanocorys","-103.345484991237","43.2058066995198"
"Calcarius_ornatus","-105.331969550221","47.961569906233"
"Anthus_spragueii","-105.607818611116","50.66105574345"
"Ammodramus_leconteii","-99.8438670144347","53.0458127870149"
"Junco_hyemalis","-104.286069558167","54.287751478011"
"Ammodramus_savannarum","-93.8589787250302","40.348406436122"
