"stateroute","map.point","map.mean","map.var"
"2001",116.833333333333,118.029411764706,1.89491421568628
"2002",119.416666666667,118.691176470588,2.3609068627451
"2003",116.083333333333,118.161764705882,2.13495710784314
"2004",122.333333333333,121.686274509804,2.96226511437909
"2005",118.583333333333,119.648148148148,1.73738198983297
"2006",117.833333333333,119.361111111111,1.71977124183007
"2007",124.333333333333,121.637254901961,8.86106004901961
"2008",118,118.161764705882,2.36499183006536
"2009",119.416666666667,119.731481481481,3.89996368917937
"2010",123.916666666667,121.573529411765,3.08323120915032
"2011",118.75,119.013888888889,5.2126225490196
"2012",118.75,119.228070175439,5.79463125406107
"2013",115.75,117.661764705882,2.55249183006535
"2014",119.583333333333,119.055555555556,1.66258169934641
"2015",119,119.861111111111,1.90359477124184
"2016",125.416666666667,124.578431372549,1.28947099673202
"2017",120.916666666667,120.703703703704,3.34576978939724
"2018",122.083333333333,120.865740740741,1.75828340595497
"2019",119.416666666667,120.197368421053,8.34815627030539
"2020",124.416666666667,123,4.88802083333334
"2021",119.083333333333,118.515625,5.53631365740741
"2022",113.75,114.68137254902,7.10350285947712
"2023",116.25,116.769607843137,1.7765012254902
"2024",113.166666666667,113.357843137255,4.98243464052287
"2025",116.25,116.194444444444,11.2165032679739
"2026",117.75,116.460784313725,15.4714562908497
"2027",112.083333333333,112.583333333333,12.4583333333333
"2028",115,114.852941176471,17.0968137254902
"2029",105.25,105.274509803922,11.6412888071895
"2030",112.083333333333,114.520833333333,4.37083333333333
"2031",115.25,116.648148148148,7.46940813362381
"2032",112.5,113.8125,3.82361111111111
"2033",120.666666666667,120.061403508772,14.4558966861598
"2034",126.5,125.509259259259,13.6445170660857
"2035",132.666666666667,131.828431372549,3.07853349673203
"2036",121,122.56862745098,18.2831903594771
"2037",134.416666666667,133.539215686275,4.13812295751634
"2038",131.833333333333,130.455882352941,7.05652573529412
"2039",128.833333333333,127.869791666667,4.02311921296298
"2040",127.666666666667,130.479166666667,3.86884469696969
"2041",127.083333333333,128.451388888889,9.76446759259259
"2042",131.083333333333,129.814102564103,10.5696225071225
"2043",122.166666666667,120.949074074074,1.53932915758896
"2044",117.833333333333,119.25,1.015522875817
"2045",125.833333333333,124.666666666667,1.03839869281046
