"stateroute","elev.point","elev.mean","elev.var"
"2001",204,207.529411764706,1102.13970588235
"2002",208,200.470588235294,364.264705882353
"2003",164,202.294117647059,1021.47058823529
"2004",215,198.823529411765,2243.02941176471
"2005",258,263.611111111111,1037.19281045752
"2006",184,232.833333333333,1293.79411764706
"2007",385,302.470588235294,5431.13970588235
"2008",180,238.823529411765,2485.27941176471
"2009",280,284.5,4556.02941176471
"2010",328,247.823529411765,2904.65441176471
"2011",271,265.555555555556,3542.96732026144
"2012",271,267.421052631579,3412.25730994152
"2013",178,221.764705882353,1828.56617647059
"2014",214,192.055555555556,1286.52614379085
"2015",161,181.111111111111,1654.57516339869
"2016",184,165.764705882353,760.316176470588
"2017",143,168.388888888889,812.486928104575
"2018",158,155.833333333333,835.676470588235
"2019",94,92.2105263157895,588.842105263158
"2020",74,81.6470588235294,939.242647058824
"2021",43,54.25,160.466666666667
"2022",54,73.2352941176471,589.816176470588
"2023",79,74.9411764705882,531.433823529412
"2024",113,101,883.375
"2025",118,126.055555555556,1664.52614379085
"2026",127,126.529411764706,2444.38970588235
"2027",125,126.882352941176,1037.23529411765
"2028",212,218.411764705882,494.007352941176
"2029",89,116.823529411765,391.904411764706
"2030",94,94.9375,299.129166666667
"2031",57,56.2777777777778,278.330065359477
"2032",126,123.875,258.25
"2033",109,109.894736842105,284.543859649123
"2034",93,95.0555555555556,233.820261437908
"2035",61,60.8823529411765,111.985294117647
"2036",67,84.6470588235294,611.992647058824
"2037",54,46.4117647058824,605.757352941176
"2038",72,86.5882352941177,420.632352941176
"2039",52,61.3125,269.5625
"2040",3,12.9166666666667,147.901515151515
"2041",10,18.6666666666667,178.424242424242
"2042",23,20.7692307692308,186.025641025641
"2043",134,149.388888888889,828.957516339869
"2044",216,192.888888888889,1491.04575163399
"2045",204,206.944444444444,1827.34967320261
"2046",258,258.111111111111,1497.75163398693
"2047",72,86.5,413.441176470588
"2048",42,55.2941176470588,162.220588235294
"2049",52,65.9411764705882,544.183823529412
"2050",67,80.2352941176471,603.816176470588
"2051",150,156.947368421053,2435.16374269006
"2052",68,59.6470588235294,211.867647058824
"2053",106,64,448
"2054",80,80.0588235294118,373.933823529412
"2055",138,123.944444444444,241.349673202614
"2056",166,208.944444444444,2741.58496732026
"2057",235,221.55,1083.83947368421
"2058",446,330.888888888889,6524.1045751634
"2059",87,88.1764705882353,423.779411764706
"2060",122,123.894736842105,1051.76608187135
"2061",243,209.352941176471,1862.24264705882
"2062",325,273.764705882353,3203.69117647059
"2063",66,59.8333333333333,280.147058823529
"2064",189,179.235294117647,2186.19117647059
"2065",80,122.5,1606.26470588235
"2066",72,79.8947368421053,442.099415204678
"2067",117,94.8,285.326315789474
"2068",68,60,364.75
"2069",56,51.6,259.257142857143
"2070",8,18.6923076923077,200.564102564103
"2071",173,203.941176470588,742.058823529412
"2072",247,225.222222222222,717.24183006536
"2073",426,339.176470588235,4502.02941176471
"2102",208,206.368421052632,656.134502923977
"2105",258,262.588235294118,1082.00735294118
"2109",280,289.411764705882,4379.38235294118
"2111",271,265.555555555556,3542.96732026144
"2137",15,45.9411764705882,573.933823529412
"2140",3,12,151.6
"2141",10,18.6666666666667,178.424242424242
"2142",24,20.5,186.576923076923
"2156",166,203.588235294118,2573.50735294118
"2162",325,275.736842105263,3602.64912280702
"2164",189,179.235294117647,2186.19117647059
"2201",183,176.777777777778,2618.30065359477
"2203",240,242.6,2418.14736842105
"2204",237,357.888888888889,4598.81045751634
"2205",101,107.111111111111,806.81045751634
"2206",128,168.444444444444,810.143790849673
"2207",308,226.294117647059,1984.34558823529
"2208",281,227.5,4114.14705882353
"2209",310,267.529411764706,2045.63970588235
"2210",61,58.2941176470588,163.220588235294
"2211",70,98,1464.75
"2212",196,155.9375,1822.19583333333
"2213",74,47.7647058823529,400.441176470588
"2214",83,68.4705882352941,347.264705882353
"2215",139,119.705882352941,409.345588235294
"2216",120,113.947368421053,369.497076023392
"2217",7,18.7058823529412,310.470588235294
"2218",51,50.7058823529412,422.720588235294
"2306",128,168.444444444444,810.143790849673
"2750",262,255.777777777778,1467.12418300654
"2751",164,211.111111111111,2094.1045751634
"2752",87,89.6875,777.429166666667
"2753",54,56.3529411764706,817.617647058824
"2754",19,36.1764705882353,350.279411764706
"2900",214,229.555555555556,989.555555555556
"2901",188,179.625,968.116666666667
"3001",897,785.3125,33705.7056451613
"3002",221,305.805555555556,13282.903968254
"3003",579,696.882352941176,28560.2281639929
"3004",303,425.257142857143,9489.49075630252
"3005",435,386.676470588235,12941.1951871658
"3006",1374,1240.90909090909,82646.7727272727
"3007",930,1014.2,50436.2344827586
"3008",505,776.969696969697,83775.0928030303
"3009",660,854.090909090909,147709.147727273
"3010",784,658.352941176471,13337.8110516934
"3011",1101,1054.5,25095.4838709677
"3012",990,1137.57575757576,38497.0643939394
"3013",864,1127.87878787879,29022.9223484848
"3015",1110,1137.24242424242,108019.751893939
"3016",285,715.8,93883.8206896552
"3017",33,214.833333333333,93158.4885057471
"3018",304,418.933333333333,95368.9609195402
"3019",131,363.62962962963,60443.8575498576
"3020",357,449.785714285714,102496.619047619
"3021",278,529.62962962963,133704.011396011
"3023",119,196.36,6128.49
"3024",175,175.703703703704,11671.5242165242
"3025",806,893.709677419355,100170.879569892
"3026",347,208.04,6082.95666666667
"3028",77,130.666666666667,15655.7101449275
"3029",698,947.866666666667,186770.671264368
"3030",56,137.064516129032,42201.1290322581
"3031",247,221.56,29298.0066666667
"3040",503,566.647058823529,25070.0534759358
"3041",244,289.030303030303,11695.0303030303
"3042",268,271.818181818182,10815.2159090909
"3050",150,243.833333333333,50121.1014492754
"3051",834,868.733333333333,128065.926436782
"3052",397,806.258064516129,82083.7978494624
"3053",1022,1078.9,55827.3344827586
"3054",564,634.064516129032,16548.9290322581
"3055",752,842.8,79159.3379310345
"3060",44,235.071428571429,28122.1428571429
"3084",303,176.235294117647,13881.76114082
"3090",174,127.944444444444,6195.93790849673
"3101",782,830.78125,14321.4022177419
"3112",405,661.258064516129,56471.7311827957
"3113",422,713.21875,143949.337701613
"3115",985,900.25,64443.935483871
"3116",855,725.233333333333,27654.4609195402
"3117",93,482.5,147255.741935484
"3118",78,107.448275862069,12816.3275862069
"3119",97,195.352941176471,17251.6176470588
"3121",215,356.52,75049.5933333333
"3122",708,305.615384615385,44329.6061538462
"3123",230,215.692307692308,6241.42153846154
"3124",266,370.615384615385,30763.2861538462
"3125",13,146.55,41306.2605263158
"3131",161,241.1,34833.5684210526
"3142",620,620.8,16786.8705882353
"3180",28,45.1071428571429,1898.61772486772
"3191",9,78.85,11228.0289473684
"3192",66,83.2857142857143,5001.24867724868
"3212",757,777.966666666667,15011.6195402299
