"stateroute","env.point","env.mean","env.var"
"2001",152,151.754901960784,151.754901960784
"2002",154.5,153.730392156863,153.730392156863
"2003",155.083333333333,152.18137254902,152.18137254902
"2004",154.416666666667,156.156862745098,156.156862745098
"2005",154.25,153.578703703704,153.578703703704
"2006",155,152.810185185185,152.810185185185
"2007",141.833333333333,146.053921568627,146.053921568627
"2008",156.583333333333,154.519607843137,154.519607843137
"2009",150.833333333333,150.537037037037,150.537037037037
"2010",155.583333333333,160.573529411765,160.573529411765
"2011",156.333333333333,156.175925925926,156.175925925926
"2012",156.333333333333,156.188596491228,156.188596491228
"2013",160.583333333333,157.980392156863,157.980392156863
"2014",163.916666666667,163.708333333333,163.708333333333
"2015",161.833333333333,161.736111111111,161.736111111111
"2016",154.833333333333,156.656862745098,156.656862745098
"2017",163.416666666667,163.662037037037,163.662037037037
"2018",168.25,167.615740740741,167.615740740741
"2019",166,165.19298245614,165.19298245614
"2020",176.833333333333,176.142156862745,176.142156862745
"2021",177.25,176.635416666667,176.635416666667
"2022",177.166666666667,176.901960784314,176.901960784314
"2023",173.583333333333,173.049019607843,173.049019607843
"2024",179.416666666667,179.245098039216,179.245098039216
"2025",175.583333333333,173.814814814815,173.814814814815
"2026",173,173.421568627451,173.421568627451
"2027",176.25,175.774509803922,175.774509803922
"2028",167.5,167.81862745098,167.81862745098
"2029",180.583333333333,179.754901960784,179.754901960784
"2030",187.166666666667,186.9375,186.9375
"2031",190.75,191.101851851852,191.101851851852
"2032",181.666666666667,182.015625,182.015625
"2033",179.416666666667,180.495614035088,180.495614035088
"2034",179,179.884259259259,179.884259259259
"2035",186.083333333333,185.406862745098,185.406862745098
"2036",179.666666666667,179.269607843137,179.269607843137
"2037",188.416666666667,188.102941176471,188.102941176471
"2038",181.083333333333,181.06862745098,181.06862745098
"2039",181,179.984375,179.984375
"2040",198.166666666667,195.888888888889,195.888888888889
"2041",198.416666666667,197.076388888889,197.076388888889
"2042",196.25,196.384615384615,196.384615384615
"2043",169.166666666667,167.944444444444,167.944444444444
"2044",163.083333333333,162.523148148148,162.523148148148
"2045",152.083333333333,152.805555555556,152.805555555556
"2046",154.25,152.893518518519,152.893518518519
"2047",170.833333333333,168.861111111111,168.861111111111
"2048",173.083333333333,173.21568627451,173.21568627451
"2049",173.666666666667,172.671568627451,172.671568627451
"2050",180.666666666667,179.490196078431,179.490196078431
"2051",171.25,171.342105263158,171.342105263158
"2052",182.583333333333,182.642156862745,182.642156862745
"2053",178.333333333333,180.455882352941,180.455882352941
"2054",184.416666666667,184.852941176471,184.852941176471
"2055",181.5,182.796296296296,182.796296296296
"2056",164.083333333333,161.708333333333,161.708333333333
"2057",153.5,153.204166666667,153.204166666667
"2058",139.583333333333,145.328703703704,145.328703703704
"2059",167.25,167,167
"2060",167.5,166.719298245614,166.719298245614
"2061",158.583333333333,160.671568627451,160.671568627451
"2062",151.333333333333,153.392156862745,153.392156862745
"2063",176,176.106481481481,176.106481481481
"2064",167.583333333333,167.75,167.75
"2065",176.666666666667,174.351851851852,174.351851851852
"2066",181.083333333333,182.267543859649,182.267543859649
"2067",179.666666666667,181.658333333333,181.658333333333
"2068",189.833333333333,190.142156862745,190.142156862745
"2069",187.583333333333,187.616666666667,187.616666666667
"2070",198.5,196.621794871795,196.621794871795
"2071",155.25,152.377450980392,152.377450980392
"2072",149.25,150.226851851852,150.226851851852
"2073",139.583333333333,142.960784313725,142.960784313725
"2102",154.5,153.530701754386,153.530701754386
"2105",154.25,153.725490196078,153.725490196078
"2109",150.833333333333,150.245098039216,150.245098039216
"2111",156.333333333333,156.175925925926,156.175925925926
"2137",189.75,188.127450980392,188.127450980392
"2140",198.166666666667,195.856060606061,195.856060606061
"2141",198.416666666667,197.076388888889,197.076388888889
"2142",196.75,196.738095238095,196.738095238095
"2156",164.583333333333,163.348039215686,163.348039215686
"2162",151.333333333333,153.293859649123,153.293859649123
"2164",167.583333333333,167.75,167.75
"2201",153.666666666667,154.782407407407,154.782407407407
"2203",150.5,149.5875,149.5875
"2204",148.833333333333,143.37037037037,143.37037037037
"2205",162.25,162.467592592593,162.467592592593
"2206",161.833333333333,159.032407407407,159.032407407407
"2207",153.75,158.196078431373,158.196078431373
"2208",158.5,161.078703703704,161.078703703704
"2209",157.5,160.455882352941,160.455882352941
"2210",177.333333333333,178.338235294118,178.338235294118
"2211",179.5,177.200980392157,177.200980392157
"2212",171.5,174.203125,174.203125
"2213",185.583333333333,185.950980392157,185.950980392157
"2214",178.916666666667,179.838235294118,179.838235294118
"2215",178.75,179.43137254902,179.43137254902
"2216",182.916666666667,183.793859649123,183.793859649123
"2217",193.5,194,194
"2218",191.916666666667,190.941176470588,190.941176470588
"2306",161.833333333333,159.032407407407,159.032407407407
"2750",152.75,151.787037037037,151.787037037037
"2751",163.166666666667,160.550925925926,160.550925925926
"2752",174.166666666667,174.572916666667,174.572916666667
"2753",183.166666666667,184.024509803922,184.024509803922
"2754",193.5,192.995098039216,192.995098039216
"2900",151.083333333333,149.560185185185,149.560185185185
"2901",153.666666666667,154.104166666667,154.104166666667
"3001",-74.5,-70,-70
"3002",-57.6666666666667,-61.5185185185185,-61.5185185185185
"3003",-56.1666666666667,-60.9730392156863,-60.9730392156863
"3004",-30.25,-37.1761904761905,-37.1761904761905
"3005",-53.9166666666667,-51.9607843137255,-51.9607843137255
"3006",-65.75,-59.8661616161616,-59.8661616161616
"3007",-41.4166666666667,-47.5361111111111,-47.5361111111111
"3008",-39.0833333333333,-51.6136363636364,-51.6136363636364
"3009",-33.25,-42.3863636363636,-42.3863636363636
"3010",-65.8333333333333,-59.1838235294118,-59.1838235294118
"3011",-60.6666666666667,-58.6328125,-58.6328125
