"stateroute","mat.point","mat.mean","mat.var","elev.point","elev.mean","elev.var","map.point","map.mean","map.var","evi.point","evi.mean","evi.var"
"11001",89.8333333333333,86.5208333333333,115.972861842105,146,252.5,51169.8421052632,98,105.6875,881.059119152047,8174.34792582873,7236.07234800764,2674228.86999891
"11002",77.4166666666667,82.7986111111111,71.0699979871176,443,314.958333333333,39053.4329710145,169.583333333333,158.361111111111,1296.7751610306,5813.16778774173,7881.29614882444,1491612.21930259
"11003",6.66666666666667,20.5108695652174,194.723045674133,1871,1582.69565217391,73596.8577075099,63.8333333333333,60.2826086956522,18.372941370224,6584.10841671232,6551.85404582155,1005962.93137147
"11004",32.0833333333333,32.3560606060606,240.294432419432,1343,1324.04545454545,89501.6645021645,58.5833333333333,57.9469696969697,52.5876623376623,6772.89614342867,6600.6364788223,846099.387571602
"11005",40.75,27.3522727272727,263.495986652237,1216,1485.77272727273,102964.850649351,61.6666666666667,65.3409090909091,14.7320827320827,6835.11916550969,6717.18043205922,1284784.56856899
"11006",51.6666666666667,38.8958333333333,229.994716183575,1083,1325.5,76688.5217391304,65.6666666666667,66.4027777777778,8.19786634460547,7160.5366055391,7346.47923253611,602748.967998005
"11007",48.4166666666667,26.8560606060606,212.270622895623,1031,1453.5,88961.2142857143,58.25,56.9734848484848,48.1834565897066,6378.42235326503,6763.4977699591,1277075.41547278
"11008",45,36.2878787878788,230.739237614238,1152,1317.31818181818,77463.7510822511,32.0833333333333,34.0151515151515,25.1340187590188,6760.11844699144,6743.53346410168,451385.945891901
"11009",23.9166666666667,21.2465277777778,145.392801429147,1475,1541.875,63728.4619565217,48.5833333333333,50.4270833333333,224.429536533816,6146.04707112528,6490.63603838558,1008527.65484483
"11010",90.25,61.0113636363636,383.673475829726,239,791.409090909091,146240.634199134,138.75,111.405303030303,352.83881974507,7586.39445021591,7380.31452078892,1532192.68565695
"11011",91.6666666666667,86.0952380952381,146.94880952381,137,261.47619047619,66892.1619047619,134.333333333333,120.960317460317,287.976818783069,6901.52086875498,7006.69510218528,1652752.7947075
"11012",76.6666666666667,77.9210526315789,332.872279077323,498,456.263157894737,127677.649122807,109.083333333333,105.635964912281,72.0024772579597,6364.15435004244,6722.70005632069,3332742.03326708
"11013",83.0833333333333,76.4810606060606,121.59387025012,249,429.954545454545,49643.2835497835,164.833333333333,162.106060606061,826.055014430014,7539.13775124097,7641.63981523087,1242729.23775032
"11014",67.25,68.7619047619048,255.385615079365,579,562.190476190476,105802.261904762,174.916666666667,161.285714285714,904.204563492063,8282.84191102416,7103.96632701348,2187121.16174932
"11015",2.75,-4.30555555555556,79.7636876006441,1792,1947.375,33579.9836956522,56,56.2951388888889,7.3707603663446,6970.92564764342,5615.17482863271,2503086.63021536
"11016",24,7.33333333333333,251.247584541063,1247,1639.58333333333,117831.557971014,51.1666666666667,55.7986111111111,25.1207226247987,5083.93186200185,6145.93392705733,1454888.97802219
"11017",22.75,-4.42708333333333,205.119753925121,1131,1777.45833333333,119807.998188406,52.5,59.5243055555556,36.343284520934,6854.31810413712,5546.64482879018,4459691.33810562
"11018",7.33333333333333,18,277.492724867725,1761,1553.68181818182,113059.465367965,72.25,70.4128787878788,5.90904581529582,7870.82279382057,6276.64722041546,2905886.3888073
"11019",50.75,36.0869565217391,281.560907992973,851,1150.34782608696,113502.328063241,56.5,56.4130434782609,78.1050999121651,7076.89988576283,7334.6782916294,706399.267717548
"11020",61.4166666666667,47.1984126984127,144.628802910053,610,920.047619047619,65147.1476190476,49.75,46.6269841269841,69.2351521164021,7327.57401137434,7289.14586342604,620013.121239863
"11021",34.5833333333333,40.286231884058,76.9134003074221,1301,1191.60869565217,28319.4308300395,31.75,31.6847826086957,14.7474472990777,6880.13906474758,6021.93916532517,882406.297692736
