"","x"
"3753",2
"3803",2
"3910",2
"4598",2
"4915",2
"5293",2
"5351",1
"5505",1
"5569",1
"5661",1
"5770",1
"5832",1
"5888",1
"5939",1
"8014",2
"8797",2
"9054",1
"9216",1
"9481",1
"10304",1
"10461",2
"10792",1
"10916",1
"11271",2
"11472",1
"11567",1
"11669",2
"11749",2
"11848",2
"12108",2
"12214",2
"12281",2
"12461",2
"12619",2
"12970",2
"13125",2
"13166",2
"13221",2
"13381",2
"13436",1
"13540",2
"13629",2
"13721",2
"13904",1
"13963",2
"14139",2
"14254",2
"14427",1
"14478",1
"14578",2
"14698",1
"18661",2
"18774",2
"18974",2
"19000",2
"19300",2
"19396",2
"19565",2
"19626",2
"19872",2
"19956",2
"20001",2
"20129",2
"20190",2
"20286",2
"20413",2
"20493",2
"20507",2
"20559",2
"20633",2
"26845",2
"40826",2
"41184",2
"41254",2
"41368",2
"41505",2
"41619",2
"41692",2
"41803",2
"41940",2
"42123",2
"42204",2
"42868",2
"43057",2
"43164",2
"45308",1
"45368",1
"45438",1
"45535",1
"45669",1
"45737",1
"45812",1
"45971",1
"46224",1
"46268",1
"46323",1
"46469",1
"46566",1
"46594",1
"46736",1
"46819",1
"46922",1
"47101",1
"47151",1
"47363",1
"47450",1
"47503",1
"47568",1
"47750",1
"47800",1
"53654",2
"60303",2
"60330",2
"60526",2
"60763",2
"61413",2
"70171",2
"73006",1
"73063",1
"73523",1
"73667",1
"73780",1
"74159",1
"74315",2
"74397",2
"74449",2
"74583",2
"74645",2
"74703",2
"74763",2
"74811",2
"74884",1
"74953",2
"75079",1
"75160",2
"75256",2
"75327",1
"75376",2
"75435",2
"75606",2
"75704",2
"75750",2
"75784",2
"75842",1
"75976",2
"78136",2
"78390",2
"78842",2
"79053",2
"79535",2
"79550",2
"85369",2
"85493",2
"85588",2
"85717",2
"85802",2
"85950",2
"86155",2
"86257",2
"86324",2
"86392",2
"86448",2
"86552",2
"86620",2
"86678",2
"86749",2
