"","latitude","longitude","stateroute","optional"
"1",60.1279267,-149.434341,3016,TRUE
"2",60.4588347,-150.274628,3018,TRUE
"3",60.2959485,-151.2763427,3028,TRUE
"4",60.4971524,-145.870208,3050,TRUE
"5",61.0587623,-145.9169019,3051,TRUE
"6",60.5022017,-149.370988,3116,TRUE
"7",60.5957398,-150.7868883,3118,TRUE
"8",59.7967661,-151.7956533,3119,TRUE
"9",59.4439512,-139.5646039,3125,TRUE
"10",60.7796745,-149.5527653,3216,TRUE
"11",60.3668387,-151.371947,3218,TRUE
"12",59.4466527,-151.486467,3219,TRUE
"13",60.5259627,-150.5656383,3318,TRUE
"14",59.6464107,-151.560698,3319,TRUE
"15",59.4178465,-139.0217497,3321,TRUE
"16",59.5294227,-135.3507079,3425,TRUE
"17",61.2964911,-149.7786148,3432,TRUE
"18",55.9156605,-130.0162113,3439,TRUE
"19",60.3856237,-149.68837,3816,TRUE
"20",61,-149,3817,TRUE
"21",59.4192119,-139.0259182,3821,TRUE
"22",61.2560417,-149.544356,3832,TRUE
"23",60.4652137,-145.3482303,3850,TRUE
"24",61.1264627,-146.358644,3851,TRUE
"25",61.5260959,-144.4072212,3903,TRUE
"26",61.4337187,-142.9452499,3905,TRUE
"27",49.81509,-113.56982,4004,TRUE
"28",49.6325,-114.58692,4005,TRUE
"29",50.48053,-114.42456,4010,TRUE
"30",51.09521,-115.09111,4016,TRUE
"31",51.46021,-116.22023,4017,TRUE
"32",52.25872,-116.39168,4024,TRUE
"33",52.73141,-117.63709,4025,TRUE
"34",50.98545,-115.07526,4096,TRUE
"35",49.0201,-114.04528,4105,TRUE
"36",50.42635,-113.82728,4109,TRUE
"37",50.54263,-114.09345,4110,TRUE
"38",51.66166,-115.40694,4116,TRUE
"39",52.20935,-115.96781,4123,TRUE
"40",52.48771,-117.51832,4125,TRUE
"41",50.6917,-115.13917,4196,TRUE
"42",49.26174,-113.65683,4204,TRUE
"43",49.63589,-114.48967,4205,TRUE
"44",50.51364,-114.2469,4210,TRUE
"45",51.21046,-114.7631,4215,TRUE
"46",52.98463,-117.34166,4225,TRUE
"47",49.74948,-113.78431,4304,TRUE
"48",50.27017,-114.20751,4310,TRUE
"49",49.875772,-114.079114,4404,TRUE
"50",49.98083,-113.908,4504,TRUE
"51",36.4118157,-113.3253169,6001,TRUE
"52",36.7313947,-112.0460509,6002,TRUE
"53",36.1623537,-111.3865819,6003,TRUE
"54",36.5612867,-110.5019459,6004,TRUE
"55",36.5089267,-109.4726859,6005,TRUE
"56",35.8986777,-114.2909089,6006,TRUE
"57",35.5156177,-113.2016679,6007,TRUE
"58",35.7549067,-112.8721919,6008,TRUE
"59",35.3950617,-111.5777809,6009,TRUE
"60",35.8687197,-110.6230399,6010,TRUE
"61",35.678979,-109.2046208,6011,TRUE
"62",34.6437087,-112.4327389,6014,TRUE
"63",34.8492047,-111.4342499,6015,TRUE
"64",34.6673667,-110.3230139,6016,TRUE
"65",34.4781336,-109.6046705,6017,TRUE
"66",33.7034749,-112.2723363,6020,TRUE
"67",33.0219797,-111.2169189,6021,TRUE
"68",33.8114477,-110.9051519,6022,TRUE
