"","x"
"14819",1
"14899",1
"15002",1
"15083",1
"15486",1
"20749",1
"20849",1
"21061",1
"21109",1
"21581",1
"21670",1
"21889",1
"22068",1
"22848",1
"23169",1
"23260",1
"23432",1
"23585",1
"24098",1
"24154",1
"24393",1
"24457",1
"24531",1
"25471",1
"25608",1
"25736",1
"25876",1
"25989",1
"26038",1
"26365",1
"26494",1
"26792",1
"26924",1
"27062",1
"27169",1
"27239",1
"27294",1
"27566",1
"27651",1
"27707",1
"27855",1
"28042",1
"28722",1
"30703",1
"30773",1
"30917",1
"31167",1
"31318",1
"31399",1
"31522",1
"31623",1
"31765",1
"31772",1
"31873",1
"32097",1
"32167",1
"32236",1
"32340",1
"32783",1
"33212",1
"33270",1
"33363",1
"33591",1
"33956",1
"34311",1
"34415",1
"34542",1
"34931",1
"34988",1
"35071",1
"35359",1
"35371",1
"35526",1
"35611",1
"35694",1
"35830",1
"35984",1
"36040",1
"36231",1
"36392",1
"36624",1
"36738",1
"36860",1
"36925",1
"37167",1
"37285",1
"37376",1
"37469",1
"37520",1
"37640",1
"37790",1
"37870",1
"37978",1
"38097",1
"38229",1
"38330",1
"38386",1
"38583",1
"38715",1
"38749",1
"40374",1
"40521",1
"40592",1
"40741",1
"42561",1
"42648",1
"43213",1
"43320",1
"43604",1
"43708",1
"43867",1
"43947",1
"44077",1
"44174",1
"44225",1
"44375",1
"44597",1
"44676",1
"44811",1
"44971",1
"45074",1
"45139",1
"47898",1
"48005",1
"48070",1
"48214",1
"48356",1
"48432",1
"48534",1
"48643",1
"48718",1
"48806",1
"48919",1
"48955",1
"49098",1
"49163",1
"49318",1
"49423",1
"49456",1
"49570",1
"49654",1
"49757",1
"49862",1
"50683",1
"51714",1
"52212",1
"52439",1
"52761",1
"52971",1
"53005",1
"53178",1
"53297",1
"53554",1
"53594",1
"53732",1
"53841",1
"54006",1
"54101",1
"54169",1
"54271",1
"54420",1
"54720",1
"54785",1
"54956",1
"55101",1
"55197",1
"55511",1
"55645",1
"55898",1
"56700",1
"57197",1
"57320",1
"57361",1
"57469",1
"57599",1
"57728",1
"57853",1
"57941",1
"58015",1
"58109",1
"58233",1
"58339",1
"58588",1
"58701",1
"58864",1
"58915",1
"59051",1
"59108",1
"59200",1
"59314",1
"59388",1
"59568",1
"59632",1
"59754",1
"59849",1
"59943",1
"61513",1
"61626",1
"61761",1
"61850",1
"61941",1
"62021",1
"62230",1
"62346",1
"62467",1
"62590",1
"62653",1
"62858",1
"62947",1
"63105",1
"63213",1
"63375",1
"63428",1
"63517",1
"63652",1
"63752",1
"63828",1
"63958",1
"63981",1
"64084",1
"64187",1
"64278",1
"64437",1
"64559",1
"64718",1
"64774",1
"64907",1
"65126",1
"65247",1
"65548",1
"65696",1
"65796",1
"65888",1
"65930",1
"66206",1
"66316",1
"66747",1
"66788",1
"66896",1
"66972",1
"67069",1
"67131",1
"67333",1
"67443",1
"67776",1
"68111",1
"68145",1
"68254",1
"68681",1
"69443",1
"69581",1
"69661",1
"69792",1
"69848",1
"71200",1
"76107",1
"76228",1
"76298",1
"76353",1
"77659",1
"79760",1
"79814",1
"79924",1
"80031",1
"80214",1
"80303",1
"80390",1
"80567",1
"80641",1
"80839",1
"80984",1
"81188",1
"81313",1
"81341",1
"81507",1
"81667",1
"81821",1
"81916",1
"82070",1
"82187",1
"82305",1
"82413",1
"82494",1
"82618",1
"82705",1
"82867",1
"82993",1
"83042",1
"83193",1
"83301",1
"83532",1
"83642",1
"83762",1
"83787",1
"83887",1
"83989",1
"84091",1
"84229",1
"84311",1
"84541",1
"84648",1
"84764",1
"84859",1
"85050",1
"85138",1
"85206",1
"85258",1
"85549",1
