"","x"
"3943",1
"4011",1
"4105",1
"4173",1
"4345",1
"4488",1
"4628",1
"4773",1
"4889",1
"5027",1
"5077",1
"5244",1
"7684",1
"31259",1
"31369",1
"31478",1
"31666",1
"31768",1
"31805",1
"31872",1
"32037",1
"36585",1
"37375",1
"37704",1
"37904",1
"37985",1
"38483",1
"38635",1
"52803",1
"52886",1
"53014",1
"53151",1
"53257",1
"53372",1
"53469",1
"53768",1
"53848",1
"53971",1
"54124",1
"54195",1
"58599",1
"68336",1
"68467",1
"68561",1
"68688",1
"80936",1
"81568",1
"81641",1
"81798",1
"81904",1
"82039",1
"82296",1
"83769",1
