"","x"
"73",1
"104",1
"250",1
"314",1
"422",1
"527",1
"534",1
"614",1
"770",1
"819",1
"888",1
"1000",1
"1048",1
"1133",1
"1255",1
"1338",1
"1439",1
"1492",1
"1630",1
"1693",1
"1814",1
"1861",1
"1988",1
"2063",1
"2150",1
"5343",1
"5421",1
"5534",1
"5567",1
"5687",1
"5705",1
"5834",1
"5859",1
"5952",1
"6093",1
"6190",1
"6298",1
"6403",1
"6498",1
"6605",1
"6683",1
"6783",1
"6877",1
"6973",1
"7092",1
"7192",1
"7210",1
"8944",1
"9155",1
"9203",1
"9363",1
"9661",1
"9699",1
"9821",1
"9997",1
"10077",1
"10164",1
"10362",1
"10440",1
"10648",1
"10866",1
"10963",1
"11055",1
"11201",1
"11560",1
"11753",1
"11971",1
"11982",1
"12166",1
"12259",1
"12392",1
"12580",1
"12810",1
"12998",1
"13361",1
"13490",1
"13545",1
"13689",1
"13826",1
"13902",1
"14249",1
"14473",1
"14530",1
"14634",1
"14672",1
"14783",1
"14893",1
"14995",1
"15051",1
"15170",1
"15317",1
"15365",1
"15481",1
"15598",1
"15669",1
"15801",1
"15870",1
"15947",1
"16038",1
"16132",1
"16152",1
"16268",1
"16357",1
"16387",1
"16621",1
"16703",1
"16714",1
"16814",1
"16890",1
"16991",1
"17010",1
"17097",1
"17197",1
"17232",1
"17347",1
"17436",1
"17514",1
"17541",1
"17667",1
"17769",1
"17824",1
"17921",1
"17983",1
"18044",1
"18124",1
"18253",1
"18328",1
"18399",1
"18477",1
"20462",1
"20536",1
"20911",1
"21033",1
"21125",1
"21224",1
"21266",1
"21371",1
"21425",1
"21529",1
"21585",1
"21659",1
"21756",1
"21829",1
"21911",1
"22004",1
"22077",1
"22175",1
"22319",1
"22392",1
"22519",1
"22561",1
"22695",1
"22894",1
"23061",1
"23144",1
"23239",1
"23291",1
"23384",1
"23602",1
"23751",1
"23827",1
"23868",1
"24016",1
"24072",1
"24217",1
"24243",1
"24336",1
"24479",1
"24557",1
"24617",1
"24689",1
"24831",1
"24932",1
"25058",1
"25158",1
"25219",1
"25319",1
"25475",1
"25660",1
"25743",1
"25761",1
"26175",1
"26189",1
"26348",1
"26449",1
"26560",1
"26639",1
"26715",1
"26817",1
"26839",1
"26923",1
"27061",1
"27100",1
"27218",1
"27258",1
"27363",1
"27477",1
"27573",1
"27630",1
"27734",1
"27755",1
"27849",1
"27893",1
"28032",1
"28054",1
"28226",1
"28317",1
"28376",1
"28472",1
"28547",1
"28648",1
"28702",1
"28836",1
"28904",1
"28985",1
"29041",1
"29125",1
"29239",1
"29319",1
