"","x"
"148",1
"247",1
"300",1
"424",1
"484",1
"601",1
"722",1
"856",1
"998",1
"1063",1
"1169",1
"1222",1
"1380",1
"1472",1
"1538",1
"1629",1
"1676",1
"1966",1
"2020",1
"2166",1
"6080",1
"6452",1
"6577",1
"6647",1
"6828",1
"6853",1
"6991",1
"7145",1
"7258",1
"7286",1
"14746",1
"14842",1
"14968",1
"15085",1
"15247",1
"15636",1
"17740",1
"17866",1
"17957",1
"18096",1
"18289",1
"18460",1
"21609",1
"21983",1
"22455",1
"22548",1
"23016",1
"23165",1
"23430",1
"24562",1
"24792",1
"24971",1
"25008",1
"25227",1
"25332",1
"27107",1
"27587",1
"27968",1
"28052",1
"28230",1
"28239",1
"28337",1
"28441",1
"28518",1
"28601",1
"28773",1
"28923",1
"29057",1
"29209",1
"29605",1
"29908",1
"29955",1
"30048",1
"32181",1
"32249",1
"32377",1
"32431",1
"32513",1
"32614",1
"32687",1
"32777",1
"32906",1
"32954",1
"33049",1
"33209",1
"33370",1
"33557",1
"33759",1
"33808",1
"34117",1
"34210",1
"34499",1
"34509",1
"34611",1
"34781",1
"34839",1
"34999",1
"35149",1
"39062",1
"39348",1
"39407",1
"39534",1
"39675",1
"39742",1
"39865",1
"39953",1
"40092",1
"40118",1
"40454",1
"40631",1
"43689",1
"43787",1
"43833",1
"44012",1
"44194",1
"44285",1
"44623",1
"45023",1
"45112",1
"45216",1
"47920",1
"48016",1
"48135",1
"48233",1
"49019",1
"49454",1
"49784",1
"49901",1
"50239",1
"50519",1
"51428",1
"51543",1
"51625",1
"51737",1
"51763",1
"51926",1
"51970",1
"52125",1
"52422",1
"52474",1
"52558",1
"52583",1
"55571",1
"55932",1
"56023",1
"56234",1
"56489",1
"56515",1
"56973",1
"57047",1
"57124",1
"57742",3
"61632",1
"62115",1
"62389",1
"62549",1
"62810",1
"62930",1
"63080",1
"63206",1
"63338",1
"63472",1
"63650",1
"63716",1
"63950",1
"64006",1
"64140",1
"64255",1
"64410",1
"64631",1
"64744",1
"64860",1
"64943",1
"65136",1
"65377",1
"65502",1
"65557",1
"65743",1
"65918",1
"66024",1
"66183",1
"66326",1
"66510",1
"66664",1
"66805",1
"66856",1
"66936",1
"67011",1
"69030",1
"69104",1
"69167",1
"70252",1
"70352",1
"70517",1
"70580",1
"70655",1
"70739",1
"70832",1
"70933",1
"70996",1
"71187",1
"71342",1
"71399",1
"71423",1
"71489",1
"72360",1
"72463",1
"73724",1
"76090",1
"76378",1
"76438",1
"76567",1
"76654",1
"76700",1
"76812",1
"76879",1
"77107",1
"77156",1
"77317",1
"77344",1
"77519",1
"77547",1
"77696",1
"79807",1
"79892",1
"79976",1
"80079",1
"80121",1
"80216",1
"80355",1
"80502",1
"80609",1
"80713",1
