"","x"
"2218",1
"2320",1
"2381",1
"2408",1
"2624",1
"2636",1
"2689",1
"2770",1
"2868",1
"3126",1
"3177",1
"3224",1
"3385",1
"3453",1
"3486",1
"3522",1
"3656",1
"4020",1
"4116",1
"4554",1
"4767",1
"5052",1
"7361",1
"7560",1
"7670",1
"7810",1
"7863",1
"7944",1
"8064",1
"8295",1
"8349",1
"8455",1
"8551",1
"8698",1
"8803",1
"8892",1
"9060",1
"9283",1
"9494",1
"9595",1
"9784",1
"9940",1
"10051",1
"10300",1
"10515",1
"10579",1
"10725",1
"10821",1
"10922",1
"11006",1
"11160",1
"11213",1
"11385",1
"11416",1
"11538",1
"11772",1
"12076",1
"12319",1
"12446",1
"12666",1
"12782",1
"12859",1
"12961",1
"13101",1
"13211",1
"13262",1
"13393",1
"13717",1
"13947",1
"14117",1
"14163",1
"14375",1
"14495",1
"14651",1
"18631",1
"18928",1
"19375",1
"19784",1
"19975",1
"20037",1
"20179",1
"30407",1
"30510",1
"30661",1
"30771",1
"30885",1
"31004",1
"31057",1
"31227",1
"31512",1
"35171",1
"35455",1
"36645",1
"37347",1
"37417",1
"37507",1
"37666",1
"37945",1
"38073",1
"38494",1
"38797",1
"41093",1
"41146",1
"41491",1
"41519",1
"41681",1
"41793",1
"41931",1
"42173",1
"42352",1
"43335",1
"44075",1
"44358",1
"45234",1
"45706",1
"46087",1
"46455",1
"46598",1
"46697",1
"47355",1
"47532",1
"54260",1
"54446",1
"54554",1
"54652",1
"57748",1
"57911",1
"58181",1
"58240",1
"58513",1
"58589",1
"58797",1
"59091",1
"59154",1
"59544",1
"59921",1
"60054",1
"60079",1
"60174",1
"60442",1
"60537",1
"60612",1
"60665",1
"60861",1
"60961",1
"61051",1
"61180",1
"61230",1
"61350",1
"61450",1
"67689",1
"67770",1
"68026",1
"75003",1
"75182",1
"75600",1
"76214",1
"77718",1
"77941",1
"78048",1
"78253",1
"78385",1
"78401",1
"78560",1
"78607",1
"78728",1
"78923",1
"79017",1
"79161",1
"79223",1
"79416",1
"79420",1
"79654",1
"81080",1
"81204",1
"81903",1
"82576",1
"84596",1
"85343",1
"85922",1
"86133",1
"86200",1
