"","x"
"5354",1
"5649",1
"5692",1
"5713",1
"5882",1
"5962",1
"9217",4
"9868",1
"11592",1
"19268",4
"43189",4
"45842",3
"45999",1
"46028",1
"46222",1
"46283",4
"46552",3
"46707",3
"46816",3
"47016",1
"47063",1
"47135",1
"47284",1
"47293",1
"47534",3
"47619",1
"72083",1
"72207",1
"72298",1
"72559",1
"73004",1
"73404",1
"73497",1
"73600",1
"73785",1
"74151",1
"74318",4
"74366",4
"74487",4
"74500",4
"74605",4
"74723",4
"74767",4
"74823",4
"74927",4
"75010",4
"75088",4
"75161",4
"75269",1
"75648",4
"75716",4
"75792",4
"75849",4
