"","latitude","longitude","stateroute","optional"
"1",35.8986777,-114.2909089,6006,TRUE
"2",35.5156177,-113.2016679,6007,TRUE
"3",35.7549067,-112.8721919,6008,TRUE
"4",35.3950617,-111.5777809,6009,TRUE
"5",34.9859877,-114.4831159,6012,TRUE
"6",34.7270747,-113.9188229,6013,TRUE
"7",34.6437087,-112.4327389,6014,TRUE
"8",34.8492047,-111.4342499,6015,TRUE
"9",33.6562037,-114.2169649,6018,TRUE
"10",33.8839297,-113.8530119,6019,TRUE
"11",33.7034749,-112.2723363,6020,TRUE
"12",33.0219797,-111.2169189,6021,TRUE
"13",33.8114477,-110.9051519,6022,TRUE
"14",32.8332815,-114.3988546,6024,TRUE
"15",32.9285617,-113.5413359,6025,TRUE
"16",32.3325717,-112.7874759,6026,TRUE
"17",33.0156287,-111.3839189,6027,TRUE
"18",32.0343407,-110.3031159,6028,TRUE
"19",32.4996877,-109.3368449,6029,TRUE
"20",32.0266567,-112.9573589,6030,TRUE
"21",31.387449,-111.064564,6031,TRUE
"22",31.5175977,-110.7949529,6032,TRUE
"23",31.8181957,-109.6948089,6033,TRUE
"24",36.3131479,-112.0319722,6052,TRUE
"25",35.1226722,-114.582156,6056,TRUE
"26",35.4272901,-113.8087941,6057,TRUE
"27",35.0556327,-112.2188339,6058,TRUE
"28",35.1634107,-111.9475859,6059,TRUE
"29",34.2318174,-113.5975476,6063,TRUE
"30",34.7733727,-112.6192267,6064,TRUE
"31",34.3566847,-111.1008299,6065,TRUE
"32",34.7,-110.7666667,6066,TRUE
"33",33.2314477,-114.668276,6068,TRUE
"34",33.2869987,-112.9375459,6069,TRUE
"35",33.3339864,-112.677217,6070,TRUE
"36",33.8177037,-111.6398389,6071,TRUE
"37",33.1754789,-110.5290913,6072,TRUE
"38",32.8548017,-114.4452209,6074,TRUE
"39",32.1764407,-112.2624969,6076,TRUE
"40",32.57312,-111.3291239,6077,TRUE
"41",32.5434377,-110.5053099,6078,TRUE
"42",32.6498267,-109.8181145,6079,TRUE
"43",32.4009815,-112.9321083,6080,TRUE
"44",31.7120327,-111.0671459,6081,TRUE
"45",31.9576267,-110.9446259,6082,TRUE
"46",31.6464055,-109.4732045,6083,TRUE
"47",35.8663787,-114.6619869,6106,TRUE
"48",35.5541565,-113.3760172,6107,TRUE
"49",35.2307957,-112.5859679,6108,TRUE
"50",34.8379964,-111.4382855,6115,TRUE
"51",33.9225847,-113.8247909,6119,TRUE
"52",33.0385437,-111.3789069,6121,TRUE
"53",33.5656117,-110.9464649,6122,TRUE
"54",32.4655,-112.86988,6126,TRUE
"55",32.9583127,-111.3334729,6127,TRUE
"56",31.9571917,-112.7999879,6130,TRUE
"57",31.9825267,-109.2013399,6133,TRUE
"58",33.3339864,-112.677217,6170,TRUE
"59",33.178809,-110.215069,6172,TRUE
"60",32.3559327,-112.8270799,6176,TRUE
"61",32.57312,-111.329123,6177,TRUE
"62",35.8663187,-114.6620259,6206,TRUE
"63",33.9225847,-113.82479,6219,TRUE
"64",31.75871,-109.73797,6233,TRUE
"65",31.9197167,-109.9150009,6900,TRUE
"66",31.6064617,-109.2258228,6901,TRUE
"67",34.5108617,-115.4898379,14043,TRUE
