"","x"
"2202",1
"2268",1
"2363",1
"2400",1
"2460",1
"2606",1
"2645",1
"2699",1
"2757",1
"2831",1
"2934",1
"3128",1
"3195",1
"3246",1
"3387",1
"3470",1
"3528",1
"3651",1
"3966",1
"4145",1
"4225",1
"4382",1
"4474",1
"4533",1
"4704",1
"4788",1
"5114",1
"7367",1
"7510",1
"7629",1
"7667",1
"7804",1
"7865",1
"8052",1
"8153",1
"8392",1
"8507",1
"8600",1
"8722",1
"9013",1
"9500",1
"10332",1
"10790",1
"11754",1
"11799",1
"12065",1
"12370",1
"12544",1
"12575",1
"12691",1
"12891",1
"12973",1
"13090",1
"13167",1
"13270",1
"13414",1
"13766",1
"14144",1
"14412",1
"14463",1
"14712",1
"18871",1
"19715",1
"30428",1
"30974",1
"31537",1
"32016",1
"35427",1
"36635",1
"37381",1
"37420",1
"38820",1
"40916",1
"41088",1
"41196",1
"41723",1
"41969",1
"42119",1
"42351",1
"43409",1
"43464",1
"44471",1
"45285",1
"54306",1
"54534",1
"57757",1
"58479",1
"58627",1
"67667",1
"67708",1
"67797",1
"68006",1
"75236",1
"75779",1
"75884",1
"78555",1
"80891",1
"81018",1
"81131",1
"82574",1
"84530",1
"85394",1
"85794",1
"85951",1
"86037",1
"86144",1
"86229",1
