"","x"
"15016",1
"30445",1
"30598",1
"30707",1
"30737",1
"30881",1
"31014",1
"31032",1
"31206",1
"31560",1
"35063",1
"35101",1
"35313",1
"35428",1
"35547",1
"36671",1
"36739",1
"37368",1
"37494",1
"37541",1
"38730",1
"38810",1
"43273",1
"43407",1
"43869",1
"44016",1
"44239",1
"44349",1
"44492",1
"44614",1
"47967",1
"48090",1
"48204",1
"48357",1
"49270",1
"49550",1
"49643",1
"49751",1
"49878",1
"50747",1
"51594",1
"51733",1
"52561",1
"54343",1
"54447",1
"54725",1
"57737",1
"57855",1
"58045",1
"58139",1
"58234",1
"58365",1
"58472",1
"58606",1
"59045",1
"59123",1
"59541",1
"61746",1
"62260",1
"62695",1
"62888",1
"63040",1
"63127",1
"63157",1
"64272",1
"65082",1
"65429",1
"65735",1
"65812",1
"67164",1
"67353",1
"67445",1
"67571",1
"67635",1
"67736",1
"67820",1
"68049",1
"71227",1
"71520",1
"76134",1
"76236",1
"77688",1
"80854",1
"80930",1
"81081",1
"81143",1
"81953",1
"82048",1
"82275",1
"82379",1
"82484",1
"82604",1
"82767",1
"82810",1
"84567",1
"84732",1
"84784",1
