"","x"
"2907",3
"3258",3
"3987",3
"5405",3
"7351",3
"7456",3
"7621",3
"7786",3
"7874",3
"7996",3
"8099",3
"8140",3
"8253",3
"8488",3
"8560",3
"8705",3
"8835",3
"8919",3
"9039",3
"9251",3
"9434",3
"10310",3
"10457",3
"10756",3
"11113",3
"11171",3
"11313",3
"11410",3
"11525",3
"11819",3
"12034",3
"12145",3
"12358",3
"12468",3
"12635",3
"12733",3
"12972",3
"13135",3
"13188",3
"13218",3
"13474",3
"13980",3
"14129",3
"14406",3
"14498",3
"18561",3
"18932",3
"19421",3
"19739",3
"19921",3
"30434",3
"30541",3
"31111",3
"31450",3
"31534",3
"35469",3
"36638",3
"37457",3
"37991",3
"38779",3
"40861",3
"41047",3
"41218",3
"41408",3
"41506",3
"41696",3
"41783",3
"41874",3
"42132",3
"42349",3
"43096",3
"44385",3
"45329",3
"45487",3
"45775",3
"46150",3
"46342",3
"46660",3
"47037",3
"47405",3
"47555",3
"49253",3
"58512",3
"60034",3
"60203",3
"60439",3
"60510",3
"60633",3
"60724",3
"61003",3
"61034",3
"61165",3
"61290",3
"61405",3
"67851",3
"68015",3
"69940",3
"70155",3
"74971",3
"75225",3
"75416",3
"75582",3
"77758",3
"77933",3
"78221",3
"78309",3
"78502",3
"78639",3
"78681",3
"78888",3
"78931",3
"79140",3
"79242",3
"79398",3
"79450",3
"79568",3
"79701",3
"80847",3
"80991",3
"81182",3
"82670",3
"84573",3
"85426",3
"85982",3
"86127",3
"86236",3
"86361",3
"86481",3
"86832",3
