"","latitude","longitude","stateroute","optional"
"1",52.49814,-116.00016,4023,TRUE
"2",52.25872,-116.39168,4024,TRUE
"3",52.73141,-117.63709,4025,TRUE
"4",53.71555,-111.52556,4027,TRUE
"5",53.33769,-112.78208,4028,TRUE
"6",53.68701,-113.88548,4029,TRUE
"7",53.16381,-114.22008,4030,TRUE
"8",53.80272,-115.26551,4031,TRUE
"9",53.59917,-116.40425,4032,TRUE
"10",53.3741,-117.71063,4033,TRUE
"11",53.81254,-118.48345,4034,TRUE
"12",54.0577,-110.8863,4036,TRUE
"13",54.26763,-111.2782,4037,TRUE
"14",54.49999,-112.97986,4038,TRUE
"15",54.83513,-113.15816,4039,TRUE
"16",54.12038,-114.71491,4040,TRUE
"17",54.76026,-115.53764,4041,TRUE
"18",54.13311,-116.21592,4042,TRUE
"19",54.76609,-117.24782,4043,TRUE
"20",54.75011,-118.22621,4044,TRUE
"21",54.93788,-119.19583,4045,TRUE
"22",55.00613,-111.73195,4047,TRUE
"23",55.38705,-112.45371,4048,TRUE
"24",55.486,-113.44,4049,TRUE
"25",55.49903,-114.91416,4050,TRUE
"26",55.25797,-115.38534,4051,TRUE
"27",55.5528,-116.78184,4052,TRUE
"28",55.78143,-117.82555,4053,TRUE
"29",55.84027,-118.45722,4054,TRUE
"30",55.1415,-119.21774,4055,TRUE
"31",56.28424,-115.36416,4061,TRUE
"32",56.3628,-117.00335,4062,TRUE
"33",56.27611,-117.82119,4063,TRUE
"34",56.50842,-118.73912,4064,TRUE
"35",51.66166,-115.40694,4116,TRUE
"36",52.5814,-114.40959,4122,TRUE
"37",52.20935,-115.96781,4123,TRUE
"38",53.11978,-113.1229,4129,TRUE
"39",53.54122,-114.78685,4130,TRUE
"40",53.77362,-115.61189,4131,TRUE
"41",54.18052,-110.30494,4136,TRUE
"42",54.75735,-111.97184,4137,TRUE
"43",54.43414,-112.8288,4138,TRUE
"44",54.05083,-113.91555,4139,TRUE
"45",54.74231,-115.78253,4141,TRUE
"46",54.36335,-117.03659,4143,TRUE
"47",55.59954,-116.61371,4152,TRUE
"48",55.08341,-117.357,4153,TRUE
"49",55.69463,-118.38853,4154,TRUE
"50",55.31601,-119.66554,4155,TRUE
"51",56.74097,-117.45825,4163,TRUE
"52",56.24743,-118.07956,4164,TRUE
"53",56.36365,-119.0307,4165,TRUE
"54",52.65721,-114.19363,4222,TRUE
"55",52.79593,-115.52037,4223,TRUE
"56",52.98463,-117.34166,4225,TRUE
"57",53.93434,-112.70335,4228,TRUE
"58",53.3377,-113.85339,4229,TRUE
"59",53.48311,-114.78773,4230,TRUE
