"","latitude","longitude","stateroute","optional"
"1",36.4118157,-113.3253169,6001,TRUE
"2",36.7313947,-112.0460509,6002,TRUE
"3",36.1623537,-111.3865819,6003,TRUE
"4",36.5612867,-110.5019459,6004,TRUE
"5",36.5089267,-109.4726859,6005,TRUE
"6",35.8986777,-114.2909089,6006,TRUE
"7",35.5156177,-113.2016679,6007,TRUE
"8",35.7549067,-112.8721919,6008,TRUE
"9",35.3950617,-111.5777809,6009,TRUE
"10",35.8687197,-110.6230399,6010,TRUE
"11",35.678979,-109.2046208,6011,TRUE
"12",34.9859877,-114.4831159,6012,TRUE
"13",34.7270747,-113.9188229,6013,TRUE
"14",34.6437087,-112.4327389,6014,TRUE
"15",34.8492047,-111.4342499,6015,TRUE
"16",34.6673667,-110.3230139,6016,TRUE
"17",34.4781336,-109.6046705,6017,TRUE
"18",33.6562037,-114.2169649,6018,TRUE
"19",33.8839297,-113.8530119,6019,TRUE
"20",33.7034749,-112.2723363,6020,TRUE
"21",33.0219797,-111.2169189,6021,TRUE
"22",33.8114477,-110.9051519,6022,TRUE
"23",33.6100527,-109.1067429,6023,TRUE
"24",32.8332815,-114.3988546,6024,TRUE
"25",33.0156287,-111.3839189,6027,TRUE
"26",32.0343407,-110.3031159,6028,TRUE
"27",32.4996877,-109.3368449,6029,TRUE
"28",31.387449,-111.064564,6031,TRUE
"29",31.5175977,-110.7949529,6032,TRUE
"30",31.8181957,-109.6948089,6033,TRUE
"31",36.2863797,-113.0649869,6051,TRUE
"32",36.3131479,-112.0319722,6052,TRUE
"33",36.9132282,-111.4526999,6053,TRUE
"34",36.3915637,-110.8794319,6054,TRUE
"35",36.3599237,-109.6437909,6055,TRUE
"36",35.1226722,-114.582156,6056,TRUE
"37",35.4272901,-113.8087941,6057,TRUE
"38",35.0556327,-112.2188339,6058,TRUE
"39",35.1634107,-111.9475859,6059,TRUE
"40",35.2779817,-110.3798989,6060,TRUE
"41",35.5302347,-109.8516089,6061,TRUE
"42",34.2318174,-113.5975476,6063,TRUE
"43",34.7733727,-112.6192267,6064,TRUE
"44",34.3566847,-111.1008299,6065,TRUE
"45",34.7,-110.7666667,6066,TRUE
"46",34.1153987,-109.9154509,6067,TRUE
"47",33.2314477,-114.668276,6068,TRUE
"48",33.2869987,-112.9375459,6069,TRUE
"49",33.3339864,-112.677217,6070,TRUE
"50",33.8177037,-111.6398389,6071,TRUE
"51",33.1754789,-110.5290913,6072,TRUE
"52",33.8668667,-109.1657669,6073,TRUE
"53",32.8548017,-114.4452209,6074,TRUE
"54",32.57312,-111.3291239,6077,TRUE
"55",32.5434377,-110.5053099,6078,TRUE
"56",32.6498267,-109.8181145,6079,TRUE
"57",31.7120327,-111.0671459,6081,TRUE
"58",31.9576267,-110.9446259,6082,TRUE
"59",31.6464055,-109.4732045,6083,TRUE
"60",36.6901017,-113.4587859,6101,TRUE
"61",36.6095467,-111.0768659,6103,TRUE
"62",36.3019687,-109.1965869,6105,TRUE
"63",35.8663787,-114.6619869,6106,TRUE
"64",35.5541565,-113.3760172,6107,TRUE
"65",35.2307957,-112.5859679,6108,TRUE
"66",34.8379964,-111.4382855,6115,TRUE
"67",34.6116178,-110.3781682,6116,TRUE
"68",33.9225847,-113.8247909,6119,TRUE
"69",33.0385437,-111.3789069,6121,TRUE
"70",33.5656117,-110.9464649,6122,TRUE
"71",33.6103817,-109.1063079,6123,TRUE
"72",32.9583127,-111.3334729,6127,TRUE
"73",31.9825267,-109.2013399,6133,TRUE
"74",35.5413048,-109.3232177,6161,TRUE
"75",33.3339864,-112.677217,6170,TRUE
"76",33.178809,-110.215069,6172,TRUE
"77",32.57312,-111.329123,6177,TRUE
"78",35.8663187,-114.6620259,6206,TRUE
"79",33.9225847,-113.82479,6219,TRUE
"80",31.75871,-109.73797,6233,TRUE
"81",31.9197167,-109.9150009,6900,TRUE
"82",31.6064617,-109.2258228,6901,TRUE
"83",49.2998,-116.66111,11005,TRUE
"84",49.14681,-117.25726,11006,TRUE
"85",49.77716,-118.14029,11007,TRUE
"86",49.44594,-119.07822,11008,TRUE
"87",49.15319,-120.59727,11009,TRUE
"88",50.03801,-117.20573,11018,TRUE
"89",50.28285,-120.69166,11021,TRUE
"90",50.02257,-121.09934,11022,TRUE
"91",49.07317,-116.52268,11205,TRUE
"92",49.50856,-117.61742,11206,TRUE
"93",49.04169,-118.47504,11207,TRUE
"94",49.59762,-119.72963,11208,TRUE
"95",49.1322,-120.29275,11209,TRUE
"96",50.33732,-116.99999,11218,TRUE
"97",50.22497,-120.61948,11221,TRUE
"98",49.03906,-120.38993,11309,TRUE
"99",49.00246,-121.06323,11310,TRUE
"100",49.70977,-118.77692,11407,TRUE
"101",49.10741,-119.27952,11408,TRUE
"102",49.77692,-120.8548,11409,TRUE
"103",49.02589,-121.38798,11410,TRUE
"104",49.25746,-119.5261,11608,TRUE
"105",49.40133,-120.22432,11609,TRUE
"106",49.72025,-120.14918,11709,TRUE
"107",50.13425,-120.9503,11721,TRUE
"108",49.37134,-117.94334,11900,TRUE
"109",41.1014068,-121.2571315,14003,TRUE
