"","latitude","longitude","stateroute","optional"
"1",56.8076137,-132.9127349,3121,TRUE
"2",56.4698397,-132.3749999,3124,TRUE
"3",59.4439512,-139.5646039,3125,TRUE
"4",56.7395445,-132.7658694,3221,TRUE
"5",59.4178465,-139.0217497,3321,TRUE
"6",57.9218687,-135.0455629,3411,TRUE
"7",59.5294227,-135.3507079,3425,TRUE
"8",57.8376397,-135.0598309,3435,TRUE
"9",55.9156605,-130.0162113,3439,TRUE
"10",59.4192119,-139.0259182,3821,TRUE
"11",49.08995,-112.39699,4003,TRUE
"12",49.81509,-113.56982,4004,TRUE
"13",50.56388,-111.84916,4007,TRUE
"14",50.30279,-112.02041,4008,TRUE
"15",50.60147,-113.02852,4009,TRUE
"16",51.32875,-111.07823,4012,TRUE
"17",51.77818,-112.64694,4013,TRUE
"18",51.21261,-113.77234,4014,TRUE
"19",51.83143,-114.45039,4015,TRUE
"20",51.09521,-115.09111,4016,TRUE
"21",52.46309,-110.65127,4018,TRUE
"22",52.20111,-111.07638,4019,TRUE
"23",52.17208,-112.33861,4020,TRUE
"24",52.20126,-113.22753,4021,TRUE
"25",52.02799,-114.47782,4022,TRUE
"26",52.49814,-116.00016,4023,TRUE
"27",52.25872,-116.39168,4024,TRUE
"28",52.73141,-117.63709,4025,TRUE
"29",53.49666,-110.86644,4026,TRUE
"30",53.71555,-111.52556,4027,TRUE
"31",53.33769,-112.78208,4028,TRUE
"32",53.68701,-113.88548,4029,TRUE
"33",53.16381,-114.22008,4030,TRUE
"34",53.80272,-115.26551,4031,TRUE
"35",53.59917,-116.40425,4032,TRUE
"36",53.3741,-117.71063,4033,TRUE
"37",53.81254,-118.48345,4034,TRUE
"38",54.0577,-110.8863,4036,TRUE
"39",54.26763,-111.2782,4037,TRUE
"40",54.49999,-112.97986,4038,TRUE
"41",54.83513,-113.15816,4039,TRUE
"42",54.12038,-114.71491,4040,TRUE
"43",54.76026,-115.53764,4041,TRUE
"44",54.13311,-116.21592,4042,TRUE
"45",54.76609,-117.24782,4043,TRUE
"46",54.75011,-118.22621,4044,TRUE
"47",54.93788,-119.19583,4045,TRUE
"48",55.55421,-110.90708,4046,TRUE
"49",55.00613,-111.73195,4047,TRUE
"50",55.38705,-112.45371,4048,TRUE
"51",55.486,-113.44,4049,TRUE
"52",55.49903,-114.91416,4050,TRUE
"53",55.25797,-115.38534,4051,TRUE
"54",55.5528,-116.78184,4052,TRUE
"55",55.78143,-117.82555,4053,TRUE
"56",55.84027,-118.45722,4054,TRUE
"57",55.1415,-119.21774,4055,TRUE
"58",56.23349,-111.67212,4057,TRUE
"59",56.28424,-115.36416,4061,TRUE
"60",56.3628,-117.00335,4062,TRUE
"61",56.27611,-117.82119,4063,TRUE
"62",56.50842,-118.73912,4064,TRUE
"63",56.19496,-119.8199,4065,TRUE
"64",57.06812,-117.61089,4073,TRUE
"65",59.98857,-111.83849,4077,TRUE
"66",59.31102,-112.48716,4078,TRUE
"67",59.86175,-111.61484,4079,TRUE
"68",49.61134,-112.1495,4103,TRUE
"69",49.90214,-113.09867,4104,TRUE
"70",50.30279,-112.02041,4108,TRUE
"71",50.42635,-113.82728,4109,TRUE
"72",50.54263,-114.09345,4110,TRUE
"73",51.57551,-111.20079,4112,TRUE
"74",51.95441,-112.13115,4113,TRUE
"75",51.56148,-113.89621,4114,TRUE
"76",51.54794,-114.21268,4115,TRUE
"77",51.66166,-115.40694,4116,TRUE
"78",52.93074,-110.58437,4118,TRUE
"79",52.90149,-111.89042,4119,TRUE
"80",52.63801,-111.99628,4120,TRUE
"81",52.61069,-113.98702,4121,TRUE
"82",52.5814,-114.40959,4122,TRUE
"83",52.20935,-115.96781,4123,TRUE
"84",52.48771,-117.51832,4125,TRUE
"85",53.29003,-110.54172,4126,TRUE
"86",53.10329,-111.76012,4127,TRUE
"87",53.10505,-112.14825,4128,TRUE
"88",53.11978,-113.1229,4129,TRUE
"89",53.54122,-114.78685,4130,TRUE
"90",53.77362,-115.61189,4131,TRUE
"91",54.18052,-110.30494,4136,TRUE
"92",54.75735,-111.97184,4137,TRUE
"93",54.43414,-112.8288,4138,TRUE
"94",54.05083,-113.91555,4139,TRUE
"95",54.74231,-115.78253,4141,TRUE
"96",54.36335,-117.03659,4143,TRUE
"97",55.66923,-111.10694,4147,TRUE
"98",55.90366,-113.69851,4149,TRUE
"99",55.59954,-116.61371,4152,TRUE
"100",55.08341,-117.357,4153,TRUE
"101",55.69463,-118.38853,4154,TRUE
"102",55.31601,-119.66554,4155,TRUE
"103",56.1651,-110.85584,4157,TRUE
"104",56.74097,-117.45825,4163,TRUE
"105",56.24743,-118.07956,4164,TRUE
"106",56.36365,-119.0307,4165,TRUE
"107",49.38423,-112.65106,4203,TRUE
"108",50.15235,-111.98355,4207,TRUE
"109",50.16448,-112.31428,4208,TRUE
"110",50.48464,-113.39021,4209,TRUE
"111",50.51364,-114.2469,4210,TRUE
"112",51.76553,-111.51697,4212,TRUE
"113",51.18333,-112.33055,4213,TRUE
"114",51.4154,-113.7321,4214,TRUE
"115",51.21046,-114.7631,4215,TRUE
"116",52.28851,-110.19538,4218,TRUE
"117",52.66775,-111.10859,4219,TRUE
"118",52.52175,-112.85969,4220,TRUE
"119",52.55125,-113.93962,4221,TRUE
"120",52.65721,-114.19363,4222,TRUE
"121",52.79593,-115.52037,4223,TRUE
"122",52.98463,-117.34166,4225,TRUE
"123",53.26353,-110.15187,4226,TRUE
"124",53.77624,-111.24257,4227,TRUE
"125",53.93434,-112.70335,4228,TRUE
"126",53.3377,-113.85339,4229,TRUE
"127",53.48311,-114.78773,4230,TRUE
"128",53.72457,-115.71055,4231,TRUE
"129",54.3556,-110.35393,4236,TRUE
"130",54.4716,-111.37939,4237,TRUE
"131",54.23924,-112.22591,4238,TRUE
"132",54.03624,-113.32135,4239,TRUE
"133",54.47181,-114.0776,4240,TRUE
"134",54.03515,-115.11754,4241,TRUE
"135",54.999,-115.25994,4251,TRUE
"136",55.43233,-116.4117,4252,TRUE
"137",55.43279,-117.17992,4253,TRUE
"138",55.34589,-118.35911,4254,TRUE
"139",55.46148,-119.0514,4255,TRUE
"140",49.46501,-112.42692,4303,TRUE
"141",50.93578,-111.86568,4307,TRUE
"142",50.60144,-112.99408,4308,TRUE
"143",50.01932,-113.39054,4309,TRUE
"144",51.44452,-110.91913,4311,TRUE
"145",51.41613,-111.47615,4312,TRUE
"146",51.32885,-112.04431,4313,TRUE
"147",51.35786,-113.16917,4314,TRUE
"148",51.32922,-114.25969,4315,TRUE
"149",52.01191,-110.74296,4318,TRUE
"150",51.99756,-111.81444,4319,TRUE
"151",52.81435,-112.03574,4320,TRUE
"152",52.72674,-113.22096,4321,TRUE
"153",52.40635,-114.40958,4322,TRUE
"154",52.52326,-115.95438,4323,TRUE
"155",53.99143,-110.94575,4326,TRUE
"156",53.45383,-111.13402,4327,TRUE
"157",53.30862,-112.78189,4328,TRUE
"158",53.1343,-113.19621,4329,TRUE
"159",53.62844,-114.3987,4330,TRUE
"160",53.61388,-115.45111,4331,TRUE
"161",54.63619,-110.76131,4336,TRUE
"162",54.26769,-111.2532,4337,TRUE
"163",54.67334,-112.37493,4338,TRUE
"164",54.61755,-113.43309,4339,TRUE
"165",54.34059,-114.48941,4340,TRUE
"166",55.43277,-116.30623,4352,TRUE
"167",56.00454,-117.18531,4353,TRUE
"168",55.81052,-118.12955,4354,TRUE
"169",55.2579,-119.97593,4355,TRUE
"170",50.56388,-111.84916,4407,TRUE
"171",50.92147,-112.17449,4408,TRUE
"172",51.27059,-111.19086,4412,TRUE
"173",49.34834,-112.26998,4413,TRUE
"174",51.67828,-113.666157,4414,TRUE
"175",52.20114,-113.21913,4421,TRUE
"176",53.11978,-113.1229,4429,TRUE
"177",53.01772,-114.17258,4430,TRUE
"178",54.91816,-112.01798,4438,TRUE
"179",54.23922,-114.05202,4440,TRUE
"180",55.11255,-116.79778,4452,TRUE
"181",50.83397,-112.45127,4508,TRUE
"182",54.48029,-114.15326,4540,TRUE
"183",50.60144,-112.99408,4608,TRUE
"184",53.71625,-112.81534,4928,TRUE
"185",53.27895,-120.0785,11053,TRUE
"186",53.97137,-122.46127,11055,TRUE
"187",53.59811,-124.90146,11057,TRUE
"188",53.08394,-119.67144,11058,TRUE
"189",54.968859,-120.110868,11063,TRUE
"190",54.98797,-123.0335,11065,TRUE
"191",54.08715,-124.83168,11067,TRUE
"192",54.41321,-125.41909,11068,TRUE
"193",54.36058,-126.79256,11069,TRUE
"194",55.00224,-127.31883,11070,TRUE
"195",54.37166,-128.58215,11071,TRUE
"196",54.33308,-129.29622,11072,TRUE
"197",55.45441,-120.15842,11074,TRUE
"198",55.45083,-123.20833,11075,TRUE
"199",55.7995,-124.73047,11078,TRUE
"200",55.60208,-125.17355,11079,TRUE
"201",55.15831,-127.8863,11081,TRUE
"202",55.77153,-128.84994,11082,TRUE
"203",55.208608,-129.134639,11083,TRUE
"204",56.363,-120.39971,11084,TRUE
"205",56.03028,-121.90827,11085,TRUE
"206",56.10483,-129.28439,11093,TRUE
"207",57.50214,-130.22035,11106,TRUE
"208",58.84236,-122.91585,11110,TRUE
"209",58.66046,-123.85158,11111,TRUE
"210",58.66678,-123.95445,11112,TRUE
"211",58.1,-129.86339,11117,TRUE
"212",59.98089,-122.92073,11125,TRUE
"213",59.22053,-129.7417,11132,TRUE
"214",59.94131,-131.97479,11134,TRUE
"215",60.00029,-133.79492,11136,TRUE
"216",60.00179,-134.66026,11137,TRUE
"217",59.4505,-136.36189,11139,TRUE
"218",54.08715,-124.83168,11167,TRUE
"219",55.925337,-120.992768,11175,TRUE
"220",55.196991,-127.74637,11181,TRUE
"221",55.57768,-121.5912,11185,TRUE
"222",53.73398,-121.74297,11254,TRUE
"223",53.9421,-122.8157,11255,TRUE
"224",53.65356,-122.96084,11256,TRUE
"225",54.34294,-122.6524,11265,TRUE
"226",54.521077,-124.102046,11267,TRUE
"227",55.00224,-127.31883,11270,TRUE
"228",54.82941,-128.84598,11271,TRUE
