"","latitude","longitude","stateroute","optional"
"1",64.552796,-141.2785932,3001,TRUE
"2",65.7907167,-144.0890949,3002,TRUE
"3",65.2698047,-146.727508,3003,TRUE
"4",64.2556227,-146.0769649,3004,TRUE
"5",65.5631957,-148.417832,3005,TRUE
"6",62.5131787,-143.1732939,3006,TRUE
"7",62.7247807,-143.8893879,3007,TRUE
"8",63.6152141,-143.9862892,3008,TRUE
"9",63.0127307,-141.8052529,3010,TRUE
"10",63.0531897,-146.0607299,3011,TRUE
"11",63.2771884,-147.944427,3012,TRUE
"12",63.3793062,-148.86,3013,TRUE
"13",63.5152626,-150.0484937,3015,TRUE
"14",61.7327327,-148.752472,3029,TRUE
"15",64.9459157,-146.250915,3040,TRUE
"16",64.5464143,-146.9948586,3041,TRUE
"17",64.8922107,-147.541411,3042,TRUE
"18",61.7342231,-144.9583298,3052,TRUE
"19",61.6605217,-145.1834259,3055,TRUE
"20",58.5472473,-155.7906521,3060,TRUE
"21",64.5,-157,3084,TRUE
"22",64.1668176,-141.4111936,3101,TRUE
"23",62.0285997,-145.3989869,3112,TRUE
"24",62.7457057,-150.121842,3113,TRUE
"25",63.7379551,-149.2910681,3115,TRUE
"26",60.5022017,-149.370988,3116,TRUE
"27",61.58697,-149.4276,3117,TRUE
"28",65.0544087,-146.0599662,3142,TRUE
"29",62.2317426,-146.515638,3212,TRUE
"30",62.3970477,-150.262923,3213,TRUE
"31",60.7796745,-149.5527653,3216,TRUE
"32",64.7706568,-157.0287273,3284,TRUE
"33",62.3172987,-150.2366378,3313,TRUE
"34",66.4417734,-150.6324337,3403,TRUE
"35",64.0157146,-145.7282965,3406,TRUE
"36",63.5963002,-158.0780083,3410,TRUE
"37",63.0461337,-146.0316309,3413,TRUE
"38",66.3335727,-152.9504467,3414,TRUE
"39",62.9510075,-155.5890429,3415,TRUE
"40",66.5800037,-151.942126,3416,TRUE
"41",61.5640897,-149.350356,3417,TRUE
"42",65.0076556,-150.6131749,3418,TRUE
"43",65.4883997,-148.65472,3419,TRUE
"44",63.6093407,-142.3235417,3420,TRUE
"45",63.583047,-157.8441809,3421,TRUE
"46",64.4609377,-155.523896,3423,TRUE
"47",64.9122387,-147.942277,3428,TRUE
"48",66.6919918,-144.7314019,3430,TRUE
"49",63.856257,-145.7381802,3431,TRUE
"50",62.9209173,-160.6919837,3433,TRUE
"51",55.9156605,-130.0162113,3439,TRUE
"52",62.9117822,-155.6186013,3440,TRUE
"53",66.2372145,-152.1177445,3445,TRUE
"54",60.3856237,-149.68837,3816,TRUE
"55",61,-149,3817,TRUE
"56",66.5989357,-159.1257,3881,TRUE
"57",66.5554507,-159.029436,3882,TRUE
"58",64.7399997,-156.966,3883,TRUE
"59",63.0291587,-145.4974345,3901,TRUE
"60",61.5260959,-144.4072212,3903,TRUE
"61",52.73141,-117.63709,4025,TRUE
"62",53.59917,-116.40425,4032,TRUE
"63",53.3741,-117.71063,4033,TRUE
"64",53.81254,-118.48345,4034,TRUE
"65",54.83513,-113.15816,4039,TRUE
"66",54.76026,-115.53764,4041,TRUE
"67",54.13311,-116.21592,4042,TRUE
"68",54.76609,-117.24782,4043,TRUE
"69",54.75011,-118.22621,4044,TRUE
"70",54.93788,-119.19583,4045,TRUE
"71",55.55421,-110.90708,4046,TRUE
"72",55.00613,-111.73195,4047,TRUE
"73",55.38705,-112.45371,4048,TRUE
